Month,Number waiting for more than 6 weeks
01/01/2018,20803
01/02/2018,14921
01/03/2018,20236
01/04/2018,24697
01/05/2018,27855
01/06/2018,29037
01/07/2018,27574
01/08/2018,28554
01/09/2018,25280
01/10/2018,23024
01/11/2018,23892
01/12/2018,31359
01/01/2019,35497
01/02/2019,23934
01/03/2019,26483
01/04/2019,37720
01/05/2019,43230
01/06/2019,40099
01/07/2019,37206
01/08/2019,42926
01/09/2019,38750
01/10/2019,33178
01/11/2019,31104
01/12/2019,41906
01/01/2020,46157
01/02/2020,29832
01/03/2020,85446
01/04/2020,468622
01/05/2020,571459
01/06/2020,540593
01/07/2020,489647
01/08/2020,472088
01/09/2020,420445
01/10/2020,362084
01/11/2020,330346
