,Occupied by COVID-19 patients,Total beds occupied,Total beds occupied last reported value,Average total beds occupied 2019,Dummy
2020-04-02,12135,50871.0,,113189.0,0
2020-04-03,13635,55221.0,,113189.0,0
2020-04-04,15469,59667.0,,113189.0,0
2020-04-05,16657,62314.0,,113189.0,0
2020-04-06,17154,63977.0,,113189.0,0
2020-04-07,17814,67206.0,,113189.0,0
2020-04-08,18152,70507.0,,113189.0,0
2020-04-09,18423,71573.0,,113189.0,0
2020-04-10,18669,71900.0,,113189.0,0
2020-04-11,18604,71018.0,,113189.0,0
2020-04-12,18974,70558.0,,113189.0,0
2020-04-13,18621,71254.0,,113189.0,0
2020-04-14,18552,71795.0,,113189.0,0
2020-04-15,17934,71394.0,,113189.0,0
2020-04-16,17783,72549.0,,113189.0,0
2020-04-17,16728,72856.0,,113189.0,0
2020-04-18,16850,73633.0,,113189.0,0
2020-04-19,16928,74427.0,,113189.0,0
2020-04-20,16654,74333.0,,113189.0,0
2020-04-21,16517,76118.0,,113189.0,0
2020-04-22,16018,76271.0,,113189.0,0
2020-04-23,15402,75554.0,,113189.0,0
2020-04-24,14642,76098.0,,113189.0,0
2020-04-25,14202,75956.0,,113189.0,0
2020-04-26,14174,75769.0,,113189.0,0
2020-04-27,14255,79262.0,,113189.0,0
2020-04-28,13565,79496.0,,113189.0,0
2020-04-29,13224,80401.0,,113189.0,0
2020-04-30,12922,81175.0,,113189.0,0
2020-05-01,12623,81666.0,,113189.0,0
2020-05-02,12314,81170.0,,113189.0,0
2020-05-03,12119,80756.0,,113189.0,0
2020-05-04,12020,82530.0,,113189.0,0
2020-05-05,11754,83681.0,,113189.0,0
2020-05-06,11227,83478.0,,113189.0,0
2020-05-07,10726,83917.0,,113189.0,0
2020-05-08,10249,82315.0,,113189.0,0
2020-05-09,10176,82286.0,,113189.0,0
2020-05-10,9893,83135.0,,113189.0,0
2020-05-11,10109,85781.0,,113189.0,0
2020-05-12,9791,87123.0,,113189.0,0
2020-05-13,9602,86788.0,,113189.0,0
2020-05-14,9231,86689.0,,113189.0,0
2020-05-15,9079,86999.0,,113189.0,0
2020-05-16,8643,84688.0,,113189.0,0
2020-05-17,8611,84077.0,,113189.0,0
2020-05-18,8668,88357.0,,113189.0,0
2020-05-19,8518,89837.0,,113189.0,0
2020-05-20,8115,89019.0,,113189.0,0
2020-05-21,7903,89138.0,,113189.0,0
2020-05-22,7761,89403.0,,113189.0,0
2020-05-23,7428,87685.0,,113189.0,0
2020-05-24,7415,87721.0,,113189.0,0
2020-05-25,7448,89043.0,,113189.0,0
2020-05-26,7305,92089.0,,113189.0,0
2020-05-27,6836,92175.0,,113189.0,0
2020-05-28,6528,92386.0,,113189.0,0
2020-05-29,6250,91926.0,,113189.0,0
2020-05-30,5972,88815.0,,113189.0,0
2020-05-31,5933,88691.0,,113189.0,0
2020-06-01,5954,92077.0,,113189.0,0
2020-06-02,5827,94075.0,,113189.0,0
2020-06-03,5600,93970.0,,113189.0,0
2020-06-04,5398,93545.0,,113189.0,0
2020-06-05,5213,93831.0,,113189.0,0
2020-06-06,5004,91285.0,,113189.0,0
2020-06-07,4820,90723.0,,113189.0,0
2020-06-08,4830,94205.0,,113189.0,0
2020-06-09,4665,96832.0,,113189.0,0
2020-06-10,4447,94154.0,,113189.0,0
2020-06-11,4179,91981.0,,113189.0,0
2020-06-12,4136,94342.0,,113189.0,0
2020-06-13,4000,92111.0,,113189.0,0
2020-06-14,3973,92580.0,,113189.0,0
2020-06-15,3920,92955.0,,113189.0,0
2020-06-16,3934,97255.0,,113189.0,0
2020-06-17,3826,97156.0,,113189.0,0
2020-06-18,3681,97050.0,,113189.0,0
