date,20-24,30-34,40-44,50-54,60+
2021-01-01,1517.1,1151.5,1538.5,935.0,610.8
2021-01-02,1725.5,1262.9,1556.0,1022.9,620.6
2021-01-03,1748.7,1235.0,1503.3,943.0,610.8
2021-01-04,1841.3,1337.2,1564.8,1078.9,721.6
2021-01-05,1621.3,1309.3,1389.0,1014.9,738.9
2021-01-06,1459.2,1207.2,1327.5,983.0,692.1
2021-01-07,1632.9,1179.3,1204.4,935.0,667.4
2021-01-08,1806.6,1272.2,1195.6,983.0,689.6
2021-01-09,1737.1,1151.5,1134.1,911.1,665.0
2021-01-10,1656.1,1095.7,1019.8,927.0,620.6
2021-01-11,1679.2,1067.9,887.9,847.1,561.5
2021-01-12,1714.0,1049.3,844.0,871.1,527.1
2021-01-13,1667.6,1132.9,729.7,847.1,512.3
2021-01-14,1412.9,1235.0,782.4,831.1,485.2
2021-01-15,1366.5,1160.7,826.4,831.1,500.0
2021-01-16,1273.9,1235.0,782.4,831.1,502.4
2021-01-17,1239.1,1207.2,826.4,863.1,495.0
2021-01-18,1192.8,1179.3,817.6,823.1,455.6
2021-01-19,1077.0,1132.9,844.0,743.2,418.7
2021-01-20,1053.9,1086.5,870.3,735.2,418.7
2021-01-21,938.0,919.3,817.6,687.3,413.8
2021-01-22,833.8,872.9,773.6,647.3,406.4
2021-01-23,764.3,770.7,782.4,607.4,381.7
2021-01-24,775.9,742.9,712.1,511.5,369.4
2021-01-25,590.6,761.4,685.7,487.5,376.8
2021-01-26,590.6,780.0,624.2,487.5,408.8
2021-01-27,486.4,705.7,606.6,407.6,408.8
2021-01-28,532.7,696.4,589.0,423.6,416.2
2021-01-29,498.0,752.2,518.7,391.6,357.1
2021-01-30,486.4,724.3,492.3,383.6,347.3
2021-01-31,486.4,780.0,527.5,391.6,330.0
2021-02-01,509.6,687.2,553.8,383.6,290.6
2021-02-02,463.2,622.2,492.3,375.6,243.8
2021-02-03,474.8,705.7,509.9,391.6,211.8
2021-02-04,451.7,650.0,501.1,367.6,177.3
2021-02-05,428.5,557.2,501.1,335.7,192.1
2021-02-06,428.5,529.3,457.1,335.7,187.2
2021-02-07,451.7,464.3,395.6,375.6,206.9
2021-02-08,416.9,445.7,316.5,375.6,216.7
2021-02-09,416.9,445.7,307.7,327.7,221.7
2021-02-10,509.6,371.4,246.2,303.7,209.3
2021-02-11,474.8,380.7,184.6,271.7,197.0
2021-02-12,428.5,352.9,184.6,263.7,155.2
2021-02-13,393.7,352.9,158.2,239.8,152.7
2021-02-14,359.0,325.0,167.0,183.8,147.8
2021-02-15,382.2,269.3,140.7,151.8,133.0
2021-02-16,347.4,241.4,167.0,175.8,120.7
2021-02-17,220.0,195.0,184.6,167.8,123.1
2021-02-18,243.2,176.4,175.8,199.8,123.1
2021-02-19,254.8,195.0,193.4,199.8,123.1
2021-02-20,277.9,176.4,184.6,207.8,110.8
2021-02-21,254.8,195.0,184.6,183.8,108.4
2021-02-22,243.2,213.6,202.2,175.8,88.7
2021-02-23,231.6,222.9,175.8,143.9,78.8
2021-02-24,266.4,232.1,131.9,135.9,66.5
2021-02-25,254.8,232.1,131.9,95.9,56.6
2021-02-26,220.0,232.1,105.5,79.9,64.0
2021-02-27,196.9,222.9,105.5,71.9,64.0
2021-02-28,196.9,195.0,87.9,71.9,46.8
2021-03-01,185.3,195.0,114.3,48.0,39.4
2021-03-02,162.1,148.6,96.7,40.0,27.1
2021-03-03,139.0,130.0,87.9,24.0,32.0
2021-03-04,92.6,111.4,79.1,24.0,34.5
2021-03-05,92.6,74.3,79.1,24.0,29.6
2021-03-06,115.8,74.3,79.1,24.0,32.0
2021-03-07,92.6,74.3,79.1,24.0,34.5
2021-03-08,92.6,74.3,61.5,32.0,32.0
2021-03-09,92.6,65.0,70.3,32.0,32.0
2021-03-10,69.5,55.7,70.3,32.0,22.2
2021-03-11,92.6,55.7,79.1,40.0,17.2
2021-03-12,115.8,65.0,79.1,48.0,14.8
2021-03-13,115.8,74.3,79.1,48.0,12.3
2021-03-14,139.0,74.3,79.1,48.0,9.9
2021-03-15,150.6,46.4,52.7,48.0,12.3
2021-03-16,150.6,55.7,44.0,48.0,12.3
2021-03-17,139.0,46.4,44.0,48.0,9.9
2021-03-18,104.2,46.4,35.2,40.0,9.9
2021-03-19,81.1,46.4,8.8,40.0,9.9
2021-03-20,81.1,46.4,17.6,40.0,7.4
2021-03-21,69.5,55.7,17.6,48.0,7.4
2021-03-22,46.3,65.0,17.6,48.0,4.9
2021-03-23,46.3,74.3,17.6,48.0,4.9
2021-03-24,57.9,92.9,17.6,48.0,7.4
2021-03-25,57.9,83.6,17.6,55.9,7.4
2021-03-26,69.5,74.3,35.2,40.0,4.9
2021-03-27,46.3,74.3,26.4,32.0,7.4
2021-03-28,34.7,74.3,26.4,40.0,7.4
2021-03-29,23.2,83.6,26.4,32.0,4.9
2021-03-30,23.2,83.6,26.4,24.0,4.9
2021-03-31,11.6,55.7,44.0,32.0,2.5
2021-04-01,11.6,65.0,61.5,40.0,4.9
2021-04-02,0.0,65.0,44.0,48.0,4.9
2021-04-03,0.0,55.7,52.7,48.0,4.9
2021-04-04,0.0,55.7,52.7,32.0,4.9
2021-04-05,0.0,37.1,61.5,32.0,7.4
2021-04-06,0.0,18.6,61.5,32.0,12.3
2021-04-07,23.2,18.6,35.2,32.0,12.3
2021-04-08,34.7,9.3,17.6,16.0,9.9
2021-04-09,34.7,9.3,35.2,24.0,14.8
2021-04-10,34.7,9.3,44.0,24.0,14.8
2021-04-11,34.7,9.3,44.0,32.0,14.8
2021-04-12,34.7,18.6,44.0,32.0,12.3
2021-04-13,46.3,18.6,44.0,32.0,7.4
2021-04-14,23.2,18.6,44.0,32.0,12.3
2021-04-15,11.6,27.9,52.7,40.0,12.3
2021-04-16,23.2,37.1,35.2,24.0,7.4
2021-04-17,34.7,37.1,17.6,24.0,7.4
2021-04-18,34.7,27.9,17.6,24.0,7.4
2021-04-19,34.7,18.6,8.8,24.0,7.4
2021-04-20,34.7,18.6,17.6,24.0,7.4
2021-04-21,34.7,18.6,17.6,16.0,2.5
2021-04-22,57.9,9.3,17.6,8.0,4.9
2021-04-23,57.9,0.0,44.0,16.0,7.4
2021-04-24,69.5,0.0,44.0,24.0,4.9
2021-04-25,81.1,0.0,44.0,16.0,4.9
2021-04-26,92.6,9.3,44.0,32.0,4.9
2021-04-27,92.6,9.3,44.0,48.0,7.4
2021-04-28,92.6,18.6,52.7,48.0,7.4
2021-04-29,81.1,37.1,44.0,48.0,7.4
2021-04-30,81.1,46.4,17.6,40.0,4.9
2021-05-01,69.5,55.7,17.6,40.0,4.9
2021-05-02,92.6,74.3,17.6,40.0,4.9
2021-05-03,127.4,65.0,35.2,24.0,4.9
2021-05-04,127.4,83.6,35.2,16.0,2.5
2021-05-05,162.1,83.6,52.7,24.0,4.9
2021-05-06,150.6,74.3,61.5,32.0,12.3
2021-05-07,185.3,83.6,70.3,32.0,12.3
2021-05-08,208.5,74.3,87.9,32.0,14.8
