date,Cases,Recent
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-05,,
2020-09-06,,
2020-09-07,1053.0,
2020-09-08,1109.0,
2020-09-09,1126.0,
2020-09-10,1127.0,
2020-09-11,1057.0,
2020-09-12,1036.0,
2020-09-13,1007.0,
2020-09-14,951.0,
2020-09-15,931.0,
2020-09-16,960.0,
2020-09-17,1017.0,
2020-09-18,1108.0,
2020-09-19,1233.0,
2020-09-20,1417.0,
2020-09-21,1556.0,
2020-09-22,1702.0,
2020-09-23,1827.0,
2020-09-24,1901.0,
2020-09-25,1889.0,
2020-09-26,1842.0,
2020-09-27,1736.0,
2020-09-28,1723.0,
2020-09-29,1771.0,
2020-09-30,1853.0,
2020-10-01,1899.0,
2020-10-02,2014.0,
2020-10-03,2073.0,
2020-10-04,2159.0,
2020-10-05,2299.0,
2020-10-06,2380.0,
2020-10-07,2380.0,
2020-10-08,2467.0,
2020-10-09,2458.0,
2020-10-10,2494.0,
2020-10-11,2505.0,
2020-10-12,2543.0,
2020-10-13,2606.0,
2020-10-14,2719.0,
2020-10-15,2715.0,
2020-10-16,2804.0,
2020-10-17,2784.0,
2020-10-18,2800.0,
2020-10-19,2910.0,
2020-10-20,2992.0,
2020-10-21,3047.0,
2020-10-22,3112.0,
2020-10-23,3135.0,
2020-10-24,3176.0,
2020-10-25,3211.0,
2020-10-26,3220.0,
2020-10-27,3141.0,
2020-10-28,3126.0,
2020-10-29,3150.0,
2020-10-30,3241.0,
2020-10-31,3326.0,
2020-11-01,3344.0,
2020-11-02,3528.0,
2020-11-03,3683.0,
2020-11-04,3711.0,
2020-11-05,3746.0,
2020-11-06,3789.0,
2020-11-07,3881.0,
2020-11-08,3984.0,
2020-11-09,4039.0,
2020-11-10,4168.0,
2020-11-11,4294.0,
2020-11-12,4388.0,
2020-11-13,4444.0,
2020-11-14,4421.0,
2020-11-15,4373.0,
2020-11-16,4318.0,
2020-11-17,4295.0,
2020-11-18,4229.0,
2020-11-19,4139.0,
2020-11-20,4033.0,
2020-11-21,3903.0,
2020-11-22,3856.0,
2020-11-23,3607.0,
2020-11-24,3391.0,
2020-11-25,3175.0,
2020-11-26,3000.0,
2020-11-27,2754.0,
2020-11-28,2654.0,
2020-11-29,2566.0,
2020-11-30,2439.0,
2020-12-01,2257.0,
2020-12-02,2192.0,
2020-12-03,2151.0,
2020-12-04,2176.0,
2020-12-05,2201.0,
2020-12-06,2217.0,
2020-12-07,2261.0,
2020-12-08,2287.0,
2020-12-09,2304.0,
2020-12-10,2349.0,
2020-12-11,2410.0,
2020-12-12,2419.0,
2020-12-13,2461.0,
2020-12-14,2596.0,
2020-12-15,2758.0,
2020-12-16,2873.0,
2020-12-17,2967.0,
2020-12-18,3063.0,
2020-12-19,3127.0,
2020-12-20,3360.0,
2020-12-21,3463.0,
2020-12-22,3606.0,
2020-12-23,3744.0,
2020-12-24,3882.0,
2020-12-25,3646.0,
2020-12-26,3934.0,
2020-12-27,4112.0,
2020-12-28,4160.0,
2020-12-29,4918.0,
2020-12-30,5654.0,
2020-12-31,6083.0,
2021-01-01,6509.0,
2021-01-02,7163.0,
2021-01-03,7568.0,
2021-01-04,8590.0,
2021-01-05,8563.0,
2021-01-06,8602.0,
2021-01-07,8791.0,
2021-01-08,9247.0,
2021-01-09,8973.0,
2021-01-10,8827.0,
2021-01-11,8432.0,
2021-01-12,8431.0,
2021-01-13,8301.0,
2021-01-14,8320.0,
2021-01-15,8319.0,
2021-01-16,8138.0,
2021-01-17,8038.0,
2021-01-18,7942.0,
2021-01-19,7670.0,
2021-01-20,7459.0,
2021-01-21,7131.0,
2021-01-22,6881.0,
2021-01-23,6661.0,
2021-01-24,6025.0,
2021-01-25,5505.0,
2021-01-26,5125.0,
2021-01-27,4842.0,
2021-01-28,4729.0,
2021-01-29,4491.0,
2021-01-30,4385.0,
2021-01-31,4568.0,
2021-02-01,4475.0,
2021-02-02,4248.0,
2021-02-03,4001.0,
2021-02-04,3665.0,
2021-02-05,3470.0,
2021-02-06,3334.0,
2021-02-07,3219.0,
2021-02-08,3056.0,
2021-02-09,2939.0,
2021-02-10,2778.0,
2021-02-11,2678.0,
2021-02-12,2566.0,2566.0
2021-02-13,,2409.0
2021-02-14,,2305.0
2021-02-15,,2205.0
2021-02-16,,2067.0
2021-02-17,,1738.0
