date,Cases,Recent
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-05,,
2020-09-06,,
2020-09-07,35.0,
2020-09-08,37.0,
2020-09-09,32.0,
2020-09-10,32.0,
2020-09-11,48.0,
2020-09-12,46.0,
2020-09-13,47.0,
2020-09-14,55.0,
2020-09-15,65.0,
2020-09-16,75.0,
2020-09-17,84.0,
2020-09-18,86.0,
2020-09-19,92.0,
2020-09-20,96.0,
2020-09-21,93.0,
2020-09-22,93.0,
2020-09-23,88.0,
2020-09-24,104.0,
2020-09-25,96.0,
2020-09-26,113.0,
2020-09-27,118.0,
2020-09-28,137.0,
2020-09-29,159.0,
2020-09-30,180.0,
2020-10-01,190.0,
2020-10-02,218.0,
2020-10-03,228.0,
2020-10-04,248.0,
2020-10-05,264.0,
2020-10-06,279.0,
2020-10-07,312.0,
2020-10-08,344.0,
2020-10-09,365.0,
2020-10-10,377.0,
2020-10-11,392.0,
2020-10-12,431.0,
2020-10-13,458.0,
2020-10-14,499.0,
2020-10-15,505.0,
2020-10-16,565.0,
2020-10-17,612.0,
2020-10-18,613.0,
2020-10-19,661.0,
2020-10-20,718.0,
2020-10-21,733.0,
2020-10-22,746.0,
2020-10-23,727.0,
2020-10-24,697.0,
2020-10-25,704.0,
2020-10-26,672.0,
2020-10-27,641.0,
2020-10-28,581.0,
2020-10-29,585.0,
2020-10-30,546.0,
2020-10-31,523.0,
2020-11-01,503.0,
2020-11-02,514.0,
2020-11-03,506.0,
2020-11-04,504.0,
2020-11-05,463.0,
2020-11-06,473.0,
2020-11-07,476.0,
2020-11-08,482.0,
2020-11-09,449.0,
2020-11-10,428.0,
2020-11-11,420.0,
2020-11-12,448.0,
2020-11-13,428.0,
2020-11-14,423.0,
2020-11-15,405.0,
2020-11-16,394.0,
2020-11-17,371.0,
2020-11-18,369.0,
2020-11-19,317.0,
2020-11-20,292.0,
2020-11-21,292.0,
2020-11-22,285.0,
2020-11-23,252.0,
2020-11-24,244.0,
2020-11-25,239.0,
2020-11-26,235.0,
2020-11-27,235.0,
2020-11-28,219.0,
2020-11-29,225.0,
2020-11-30,219.0,
2020-12-01,203.0,
2020-12-02,193.0,
2020-12-03,191.0,
2020-12-04,196.0,
2020-12-05,207.0,
2020-12-06,201.0,
2020-12-07,204.0,
2020-12-08,211.0,
2020-12-09,215.0,
2020-12-10,228.0,
2020-12-11,231.0,
2020-12-12,228.0,
2020-12-13,229.0,
2020-12-14,233.0,
2020-12-15,233.0,
2020-12-16,230.0,
2020-12-17,221.0,
2020-12-18,220.0,
2020-12-19,211.0,
2020-12-20,216.0,
2020-12-21,224.0,
2020-12-22,231.0,
2020-12-23,243.0,
2020-12-24,247.0,
2020-12-25,226.0,
2020-12-26,253.0,
2020-12-27,271.0,
2020-12-28,280.0,
2020-12-29,311.0,
2020-12-30,341.0,
2020-12-31,358.0,
2021-01-01,368.0,
2021-01-02,411.0,
2021-01-03,411.0,
2021-01-04,450.0,
2021-01-05,429.0,
2021-01-06,430.0,
2021-01-07,456.0,
2021-01-08,493.0,
2021-01-09,443.0,
2021-01-10,437.0,
2021-01-11,456.0,
2021-01-12,458.0,
2021-01-13,448.0,
2021-01-14,435.0,
2021-01-15,429.0,
2021-01-16,438.0,
2021-01-17,438.0,
2021-01-18,386.0,
2021-01-19,408.0,
2021-01-20,405.0,
2021-01-21,393.0,
2021-01-22,380.0,
2021-01-23,356.0,
2021-01-24,353.0,
2021-01-25,340.0,
2021-01-26,325.0,
2021-01-27,312.0,
2021-01-28,319.0,
2021-01-29,321.0,
2021-01-30,323.0,
2021-01-31,321.0,
2021-02-01,334.0,
2021-02-02,326.0,326.0
2021-02-03,,323.0
2021-02-04,,301.0
2021-02-05,,291.0
2021-02-06,,278.0
2021-02-07,,247.0
