,Covid patients in hospital,Covid patients in MV beds
2021-01-01,107,5.0
2021-01-02,109,5.0
2021-01-03,108,5.0
2021-01-04,111,5.0
2021-01-05,108,9.0
2021-01-06,116,9.0
2021-01-07,122,10.0
2021-01-08,126,10.0
2021-01-09,130,10.0
2021-01-10,127,9.0
2021-01-11,130,9.0
2021-01-12,133,10.0
2021-01-13,133,11.0
2021-01-14,121,14.0
2021-01-15,123,14.0
2021-01-16,124,13.0
2021-01-17,122,13.0
2021-01-18,135,15.0
2021-01-19,145,15.0
2021-01-20,150,13.0
2021-01-21,147,12.0
2021-01-22,146,12.0
2021-01-23,143,12.0
2021-01-24,149,12.0
2021-01-25,148,15.0
2021-01-26,136,14.0
2021-01-27,131,14.0
2021-01-28,115,13.0
2021-01-29,109,12.0
2021-01-30,106,11.0
2021-01-31,111,11.0
2021-02-01,108,10.0
2021-02-02,121,12.0
2021-02-03,124,10.0
2021-02-04,120,9.0
2021-02-05,126,9.0
2021-02-06,119,8.0
2021-02-07,114,8.0
2021-02-08,115,8.0
2021-02-09,115,7.0
2021-02-10,109,7.0
2021-02-11,111,7.0
2021-02-12,106,8.0
2021-02-13,110,9.0
2021-02-14,107,9.0
2021-02-15,113,9.0
2021-02-16,114,11.0
2021-02-17,110,10.0
2021-02-18,102,12.0
2021-02-19,98,10.0
2021-02-20,100,10.0
2021-02-21,103,11.0
2021-02-22,104,12.0
2021-02-23,99,14.0
2021-02-24,95,13.0
2021-02-25,84,14.0
2021-02-26,78,14.0
2021-02-27,69,12.0
2021-02-28,66,10.0
2021-03-01,68,9.0
2021-03-02,60,8.0
2021-03-03,66,11.0
2021-03-04,61,10.0
2021-03-05,54,10.0
2021-03-06,57,9.0
2021-03-07,56,10.0
2021-03-08,56,11.0
2021-03-09,56,9.0
2021-03-10,51,8.0
2021-03-11,50,7.0
2021-03-12,49,11.0
2021-03-13,52,11.0
2021-03-14,51,11.0
2021-03-15,49,8.0
2021-03-16,49,7.0
2021-03-17,47,5.0
2021-03-18,42,5.0
2021-03-19,40,6.0
2021-03-20,36,6.0
2021-03-21,37,4.0
2021-03-22,34,4.0
2021-03-23,28,2.0
2021-03-24,27,3.0
2021-03-25,25,3.0
2021-03-26,20,2.0
2021-03-27,18,2.0
2021-03-28,20,2.0
2021-03-29,21,2.0
2021-03-30,23,2.0
2021-03-31,21,2.0
2021-04-01,21,2.0
2021-04-02,19,2.0
2021-04-03,13,2.0
2021-04-04,14,2.0
2021-04-05,12,2.0
2021-04-06,13,2.0
2021-04-07,13,2.0
2021-04-08,17,2.0
2021-04-09,15,2.0
2021-04-10,12,2.0
2021-04-11,12,2.0
2021-04-12,12,2.0
2021-04-13,14,3.0
2021-04-14,14,4.0
2021-04-15,14,4.0
2021-04-16,13,4.0
2021-04-17,14,4.0
2021-04-18,13,4.0
2021-04-19,12,2.0
2021-04-20,15,2.0
2021-04-21,15,2.0
2021-04-22,16,2.0
2021-04-23,16,2.0
2021-04-24,12,2.0
2021-04-25,12,2.0
2021-04-26,12,2.0
2021-04-27,11,2.0
2021-04-28,12,2.0
2021-04-29,12,2.0
2021-04-30,13,2.0
2021-05-01,13,3.0
2021-05-02,13,3.0
2021-05-03,13,3.0
2021-05-04,13,3.0
2021-05-05,12,3.0
2021-05-06,15,3.0
2021-05-07,14,3.0
2021-05-08,12,3.0
2021-05-09,11,3.0
2021-05-10,12,3.0
2021-05-11,18,3.0
2021-05-12,19,3.0
2021-05-13,18,5.0
2021-05-14,20,5.0
2021-05-15,24,5.0
2021-05-16,18,5.0
2021-05-17,19,5.0
2021-05-18,24,5.0
2021-05-19,25,5.0
2021-05-20,30,7.0
2021-05-21,30,7.0
2021-05-22,32,8.0
2021-05-23,34,6.0
2021-05-24,44,8.0
2021-05-25,41,8.0
2021-05-26,44,9.0
2021-05-27,49,9.0
2021-05-28,48,10.0
2021-05-29,47,12.0
2021-05-30,47,12.0
2021-05-31,43,9.0
2021-06-01,42,11.0
