,PCCF R-rate
2020-06-30,0.7618494691851285
2020-07-01,0.7524446670669557
2020-07-02,0.7613430043878171
2020-07-03,0.7669226204196716
2020-07-04,0.7772278387526581
2020-07-05,0.7884066638818698
2020-07-06,0.7903947610206642
2020-07-07,0.7880553312583884
2020-07-08,0.7932342165627999
2020-07-09,0.8009618872633487
2020-07-10,0.7979060127481986
2020-07-11,0.7732563740098978
2020-07-12,0.7483011003200216
2020-07-13,0.721633836445905
2020-07-14,0.6995048354032497
2020-07-15,0.687186691964103
2020-07-16,0.7132344129832112
2020-07-17,0.7563323578763044
2020-07-18,0.7900388792478057
2020-07-19,0.8253962512398493
2020-07-20,0.8695274193615016
2020-07-21,0.9054973533640833
2020-07-22,0.9210113696250509
2020-07-23,0.9336343984869406
2020-07-24,0.94812571142544
2020-07-25,0.957784066845126
2020-07-26,0.9672408818719648
2020-07-27,0.966573062480306
2020-07-28,0.9766055242473183
2020-07-29,0.9826551173389773
2020-07-30,0.9652862189236397
2020-07-31,0.9498946188086861
2020-08-01,0.9473301132192152
2020-08-02,0.9484666400552516
2020-08-03,0.9435999877193658
2020-08-04,0.9356115326809522
2020-08-05,0.9267252106160985
2020-08-06,0.9555317524977077
2020-08-07,0.9693181018163208
2020-08-08,1.0100711586081428
2020-08-09,1.0204366375784126
2020-08-10,1.0492636296681537
2020-08-11,1.0905885619867903
2020-08-12,1.0977693661977876
2020-08-13,1.0710729428677077
2020-08-14,1.0505799213057752
2020-08-15,1.031929491736186
2020-08-16,1.0123717071165546
2020-08-17,0.9972003848061415
2020-08-18,0.9679535622959041
2020-08-19,0.9800393641013101
2020-08-20,0.9861164871544348
2020-08-21,1.0002262042887686
2020-08-22,1.008712782470144
2020-08-23,1.0181952013161317
2020-08-24,1.029962767422596
2020-08-25,1.0472101758134444
2020-08-26,1.0364670217641765
2020-08-27,1.110304579818248
2020-08-28,1.1622151408513373
2020-08-29,1.190563201802337
2020-08-30,1.2329021002690121
2020-08-31,1.2574535329879062
2020-09-01,1.2821508708376441
2020-09-02,1.3213407600915879
2020-09-03,1.3389281506700366
2020-09-04,1.3647614438691575
2020-09-05,1.3674996159644974
2020-09-06,1.3714124857745742
2020-09-07,1.3580028873739347
2020-09-08,1.3580852044463243
2020-09-09,1.357718851534489
2020-09-10,1.2858227867001901
2020-09-11,1.1791561371143198
2020-09-12,1.145079291136586
2020-09-13,1.135053838151371
2020-09-14,1.119047269900677
2020-09-15,1.1150815477774887
2020-09-16,1.0999004535326466
2020-09-17,1.1359702530929576
2020-09-18,1.2142859849355232
2020-09-19,1.2666397673693657
2020-09-20,1.3057687625794614
2020-09-21,1.3556210256107497
2020-09-22,1.3754557473449796
2020-09-23,1.4153757487778984
2020-09-24,1.451860381691659
2020-09-25,1.4733378383980016
2020-09-26,1.4970574357238189
2020-09-27,1.4408411502665481
2020-09-28,1.4369037786082575
2020-09-29,1.4354312503651512
2020-09-30,1.393677805118922
2020-10-01,1.391949713164961
2020-10-02,1.3736287318689409
2020-10-03,1.385174284282246
2020-10-04,1.3964551238302632
2020-10-05,1.4115089078002077
2020-10-06,1.3815582945371123
2020-10-07,1.4067086246851723
2020-10-08,1.3461830306334313
2020-10-09,1.3288525932829658
2020-10-10,1.2838434433933779
2020-10-11,1.2436875718075413
2020-10-12,1.211999761997824
2020-10-13,1.1848348228879733
2020-10-14,1.152636997921892
2020-10-15,1.142555324385318
2020-10-16,1.1369489540381181
2020-10-17,1.1380621983781303
2020-10-18,1.1626545230133751
2020-10-19,1.1281675971097753
2020-10-20,1.1404592016828543
2020-10-21,1.1598365444651355
2020-10-22,1.147214385131261
2020-10-23,1.1416616285826993
2020-10-24,1.131093844353276
2020-10-25,1.0949984486181545
2020-10-26,1.0934380272787
2020-10-27,1.1194966856036368
2020-10-28,1.0923529153484048
2020-10-29,1.1227510280807602
2020-10-30,1.1066416522584626
2020-10-31,1.0771419392145478
2020-11-01,1.0676289430209014
2020-11-02,1.05992006808005
2020-11-03,1.0150233275402565
2020-11-04,1.0063625398310025
2020-11-05,0.974630869179927
2020-11-06,0.9597069432017186
2020-11-07,0.9496938551333823
2020-11-08,0.9024352708853408
2020-11-09,0.9372966243843894
2020-11-10,1.0368762162991811
2020-11-11,1.0412319845295757
2020-11-12,1.0566883394515854
2020-11-13,1.0615728677344276
2020-11-14,1.0541873516199989
2020-11-15,1.0506981794989887
2020-11-16,0.9937145482441074
2020-11-17,0.9619129196036497
2020-11-18,0.9297205812065586
2020-11-19,0.9164633360818725
2020-11-20,0.889996811608806
2020-11-21,0.840126116751361
2020-11-22,0.8530976450869617
2020-11-23,0.8358294092275648
2020-11-24,0.8523199450993152
2020-11-25,0.8582602676044343
2020-11-26,0.8421886151233574
2020-11-27,0.834060301023448
2020-11-28,0.8510174670384258
2020-11-29,0.8397101245617475
2020-11-30,0.8112329125073563
2020-12-01,0.7976101693792983
2020-12-02,0.7818988172112111
2020-12-03,0.8151910745922883
2020-12-04,0.8513592508272587
2020-12-05,0.858689172788178
2020-12-06,0.8571821700427112
2020-12-07,0.9108522252489426
2020-12-08,0.9541164245300862
2020-12-09,0.9922428599676381
2020-12-10,0.9925115492188259
2020-12-11,1.0136473478431787
2020-12-12,1.065452342301706
2020-12-13,1.1953692385103452
2020-12-14,1.2199148457419375
2020-12-15,1.245857069163764
2020-12-16,1.2326575027367122
2020-12-17,1.273435276904607
2020-12-18,1.2515715954396167
2020-12-19,1.2675768747077383
2020-12-20,1.189082778552351
2020-12-21,1.1994890277942285
2020-12-22,1.2302272113626218
2020-12-23,1.3628681760824641
2020-12-24,1.2999484215363464
2020-12-25,1.3298487090831936
2020-12-26,1.433134118484681
2020-12-27,1.4711206276291717
2020-12-28,1.3619942032511585
2020-12-29,1.3668034452443951
2020-12-30,1.3087584362385503
2020-12-31,1.333480627906504
2021-01-01,1.3072244329211715
2021-01-02,1.2013307600764136
2021-01-03,1.156595340113454
2021-01-04,1.1045651069206222
2021-01-05,1.0407339153764317
2021-01-06,0.9935506385056709
2021-01-07,0.9912179270696095
2021-01-08,0.9337014629860344
2021-01-09,0.8779129551399011
2021-01-10,0.8376201100310505
2021-01-11,0.8269807162553635
2021-01-12,0.8262118983051228
2021-01-13,0.8048540093366284
2021-01-14,0.7817297036643069
2021-01-15,0.7665158982128614
2021-01-16,0.7467900902367156
2021-01-17,0.736734351849875
2021-01-18,0.7273267922317782
2021-01-19,0.6999290239011333
2021-01-20,0.6951099517646274
2021-01-21,0.6841642438171258
2021-01-22,0.656981716539651
