,PCCF modelled hospitalisations,Actual hospitalisations,Actual daily deaths
2021-04-01,13470.0,296.0,31.0
2021-04-02,12480.0,289.5,30.0
2021-04-03,10875.0,283.25,29.25
2021-04-04,14600.0,276.75,28.5
2021-04-05,6654.0,269.5,28.0
2021-04-06,6028.0,260.75,27.25
2021-04-07,3974.0,252.0,26.75
2021-04-08,5873.75,243.75,26.0
2021-04-09,4685.25,235.0,25.5
2021-04-10,5849.5,227.25,25.0
2021-04-11,1990.5,220.0,24.0
2021-04-12,1489.5,212.0,23.25
2021-04-13,2600.5,204.0,22.5
2021-04-14,1697.25,197.25,21.75
2021-04-15,4069.75,190.75,21.0
2021-04-16,4445.25,184.5,20.0
2021-04-17,1913.5,178.75,19.25
2021-04-18,3733.0,173.0,18.5
2021-04-19,885.75,167.75,18.0
2021-04-20,4164.5,162.5,17.0
2021-04-21,991.05,157.5,16.5
2021-04-22,3679.75,152.5,16.0
2021-04-23,581.275,148.25,15.25
2021-04-24,2011.0,143.5,15.0
2021-04-25,1080.7,139.5,14.0
2021-04-26,791.8249999999999,136.25,14.0
2021-04-27,21.1595,132.5,13.0
2021-04-28,1597.0,129.0,13.0
2021-04-29,2086.75,125.5,12.25
2021-04-30,1641.0,122.5,12.0
2021-05-01,2650.75,119.5,11.75
2021-05-02,610.375,116.75,11.0
2021-05-03,262.25,114.0,11.0
2021-05-04,1291.5,112.0,10.5
2021-05-05,188.125,109.75,10.0
2021-05-06,380.35,107.5,10.0
2021-05-07,808.875,105.5,10.0
2021-05-08,552.525,103.5,9.0
2021-05-09,660.85,101.5,9.0
2021-05-10,574.675,100.0,9.0
2021-05-11,370.6,98.25,9.0
2021-05-12,14.084999999999999,96.75,8.25
2021-05-13,455.25,95.5,8.0
2021-05-14,483.54999999999995,94.0,8.0
2021-05-15,515.175,92.75,8.0
2021-05-16,1052.0,91.5,8.0
2021-05-17,265.25,90.25,8.0
2021-05-18,0.73675,89.25,7.0
2021-05-19,24.020000000000003,88.25,7.0
2021-05-20,119.10000000000001,87.0,7.0
2021-05-21,1.455775,86.25,7.0
2021-05-22,107.575,85.25,7.0
2021-05-23,60.8175,85.0,7.0
2021-05-24,182.4,84.5,7.0
2021-05-25,13.9275,84.0,7.0
2021-05-26,119.1,84.0,6.5
2021-05-27,0.875575,84.0,6.0
2021-05-28,65.97,84.0,6.0
2021-05-29,225.925,84.0,6.0
2021-05-30,19.990000000000002,84.5,6.0
2021-05-31,165.875,85.0,6.0
2021-06-01,837.0500000000001,86.0,6.0
2021-06-02,187.15,87.5,6.0
2021-06-03,17.5325,88.75,6.0
2021-06-04,29.689999999999998,90.5,6.0
2021-06-05,11.610999999999999,92.75,6.0
2021-06-06,666.175,95.25,6.0
2021-06-07,1066.225,98.5,6.0
2021-06-08,2046.75,101.5,6.5
2021-06-09,2763.5,105.5,7.0
2021-06-10,2750.0,109.5,7.0
2021-06-11,900.6,114.0,7.0
2021-06-12,343.72499999999997,118.5,7.0
2021-06-13,4100.5,123.0,7.75
2021-06-14,3295.75,127.5,8.0
2021-06-15,3075.75,132.5,8.0
2021-06-16,1546.5,137.75,9.0
2021-06-17,3502.25,142.75,9.0
2021-06-18,1361.25,148.0,9.5
2021-06-19,595.8249999999999,153.75,10.0
2021-06-20,140.6575,159.25,10.25
2021-06-21,263.4,165.0,11.0
2021-06-22,133.89,170.5,11.25
2021-06-23,1415.0,176.5,12.0
2021-06-24,128.9025,182.75,12.25
2021-06-25,266.425,190.0,13.0
2021-06-26,670.875,197.0,13.5
2021-06-27,429.59999999999997,205.5,14.0
2021-06-28,855.325,215.0,14.5
2021-06-29,3339.5,225.5,15.0
2021-06-30,8774.75,237.5,16.0
2021-07-01,1969.5,251.0,16.5
2021-07-02,1748.75,265.25,17.0
2021-07-03,1756.0,281.25,18.0
2021-07-04,8434.0,298.25,19.0
2021-07-05,9984.75,316.25,19.75
2021-07-06,15087.5,335.25,21.25
2021-07-07,11351.75,354.5,22.25
2021-07-08,12872.5,374.5,23.75
2021-07-09,3164.0,395.0,25.25
2021-07-10,726.925,415.5,27.0
2021-07-11,4343.0,436.5,28.5
2021-07-12,23627.5,456.5,30.5
2021-07-13,20972.5,476.5,32.5
2021-07-14,19417.5,496.75,34.5
2021-07-15,19650.0,518.0,36.5
2021-07-16,2822.75,540.25,38.5
2021-07-17,3432.5,564.0,40.5
2021-07-18,11850.0,589.5,42.25
2021-07-19,17867.5,618.5,44.0
2021-07-20,24245.0,649.5,46.0
2021-07-21,10636.25,680.25,48.0
2021-07-22,13532.5,711.0,50.25
2021-07-23,297.4525,740.5,52.5
2021-07-24,1144.025,767.0,55.0
2021-07-25,2392.25,787.25,58.0
2021-07-26,1038.375,797.75,61.0
2021-07-27,163.575,803.5,63.75
2021-07-28,5922.5,805.0,66.75
2021-07-29,1935.75,802.0,69.75
2021-07-30,21685.0,797.25,72.25
2021-07-31,39637.5,792.0,74.25
2021-08-01,19210.0,783.5,75.0
2021-08-02,7069.75,770.0,76.0
2021-08-03,5865.25,756.5,76.0
2021-08-04,26.8965,743.25,75.75
2021-08-05,1437.5,730.5,75.0
2021-08-06,3865.0,719.25,74.75
2021-08-07,6094.75,708.0,73.75
2021-08-08,2213.5,698.0,72.5
2021-08-09,569.35,688.75,71.25
2021-08-10,,680.0,70.0
2021-08-11,,672.0,68.75
2021-08-12,,664.0,67.5
2021-08-13,,655.5,66.5
2021-08-14,,647.0,65.5
2021-08-15,,639.0,64.75
2021-08-16,,631.0,64.0
2021-08-17,,622.0,63.0
