,Cases reported,PCCF estimate of cases
2020-07-04,4706.0,4120.0
2020-07-05,3836.0,3960.0
2020-07-06,3636.0,3897.0
2020-07-07,3817.0,3822.0
2020-07-08,3834.0,3774.0
2020-07-09,3876.0,3735.0
2020-07-10,3725.0,3657.0
2020-07-11,4061.0,3561.0
2020-07-12,3425.0,3501.0
2020-07-13,2959.0,3456.0
2020-07-14,2508.0,3367.0
2020-07-15,2480.0,3188.0
2020-07-16,2433.0,3005.0
2020-07-17,2386.0,2815.0
2020-07-18,2837.0,2642.0
2020-07-19,3212.0,2507.0
2020-07-20,3290.0,2512.0
2020-07-21,2782.0,2582.0
2020-07-22,2840.0,2626.0
2020-07-23,3044.0,2683.0
2020-07-24,2895.0,2777.0
2020-07-25,2929.0,2855.0
2020-07-26,3249.0,2878.0
2020-07-27,3396.0,2896.0
2020-07-28,2844.0,2924.0
2020-07-29,2914.0,2942.0
2020-07-30,2916.0,2962.0
2020-07-31,2998.0,2954.0
2020-08-01,2969.0,2979.0
2020-08-02,2800.0,2995.0
2020-08-03,2940.0,2940.0
2020-08-04,2645.0,2885.0
2020-08-05,2782.0,2865.0
2020-08-06,2664.0,2856.0
2020-08-07,2669.0,2828.0
2020-08-08,2607.0,2790.0
2020-08-09,3175.0,2746.0
2020-08-10,3078.0,2815.0
2020-08-11,3373.0,2846.0
2020-08-12,2987.0,2964.0
2020-08-13,3272.0,3005.0
2020-08-14,3388.0,3105.0
2020-08-15,2904.0,3154.0
2020-08-16,2820.0,3216.0
2020-08-17,2780.0,3178.0
2020-08-18,3065.0,3147.0
2020-08-19,2611.0,3114.0
2020-08-20,2936.0,3070.0
2020-08-21,2725.0,3033.0
2020-08-22,3016.0,2946.0
2020-08-23,2842.0,2978.0
2020-08-24,2977.0,2995.0
2020-08-25,3178.0,3039.0
2020-08-26,2769.0,3072.0
2020-08-27,3160.0,3110.0
2020-08-28,3089.0,3160.0
2020-08-29,2857.0,3232.0
2020-08-30,4411.0,3222.0
2020-08-31,4086.0,3480.0
2020-09-01,4169.0,3661.0
2020-09-02,4122.0,3834.0
2020-09-03,4305.0,4075.0
2020-09-04,4313.0,4284.0
2020-09-05,4480.0,4515.0
2020-09-06,6055.0,4827.0
2020-09-07,5982.0,5094.0
2020-09-08,5545.0,5420.0
2020-09-09,5534.0,5682.0
2020-09-10,5249.0,5965.0
2020-09-11,5624.0,6182.0
2020-09-12,5827.0,6463.0
2020-09-13,5409.0,6755.0
2020-09-14,5020.0,6673.0
2020-09-15,5242.0,6665.0
2020-09-16,5895.0,6617.0
2020-09-17,5304.0,6683.0
2020-09-18,6071.0,6704.0
2020-09-19,5852.0,6787.0
2020-09-20,7263.0,6796.0
2020-09-21,8778.0,7124.0
2020-09-22,8518.0,7772.0
2020-09-23,9157.0,8345.0
2020-09-24,9226.0,8908.0
2020-09-25,9183.0,9624.0
2020-09-26,10102.0,10213.0
2020-09-27,12350.0,11024.0
2020-09-28,14165.0,11918.0
2020-09-29,14257.0,12796.0
2020-09-30,13451.0,13793.0
2020-10-01,13651.0,13695.0
2020-10-02,13720.0,14417.0
2020-10-03,11834.0,15196.0
2020-10-04,17772.0,15547.0
2020-10-05,18836.0,16301.0
2020-10-06,21464.0,16875.0
2020-10-07,20552.0,17829.0
2020-10-08,21516.0,18857.0
2020-10-09,16807.0,20025.0
2020-10-10,19880.0,20602.0
2020-10-11,18714.0,22007.0
2020-10-12,24034.0,22104.0
2020-10-13,23438.0,22767.0
2020-10-14,22930.0,22885.0
2020-10-15,23129.0,23201.0
2020-10-16,17188.0,23296.0
2020-10-17,19703.0,23380.0
2020-10-18,20756.0,23272.0
2020-10-19,27401.0,23527.0
2020-10-20,27566.0,23853.0
2020-10-21,30780.0,24314.0
2020-10-22,21972.0,25317.0
2020-10-23,21914.0,25067.0
2020-10-24,26280.0,25787.0
2020-10-25,22652.0,26732.0
2020-10-26,31353.0,26989.0
2020-10-27,30453.0,27380.0
2020-10-28,29080.0,27631.0
2020-10-29,24467.0,27191.0
2020-10-30,29454.0,27511.0
2020-10-31,26739.0,28557.0
2020-11-01,31470.0,28095.0
2020-11-02,33227.0,29276.0
2020-11-03,28899.0,29321.0
2020-11-04,30537.0,28932.0
2020-11-05,25541.0,28987.0
2020-11-06,23312.0,29057.0
2020-11-07,26551.0,28039.0
2020-11-08,26652.0,27893.0
2020-11-09,30873.0,27058.0
2020-11-10,27073.0,26599.0
2020-11-11,21036.0,26234.0
2020-11-12,31299.0,24789.0
2020-11-13,24540.0,25520.0
2020-11-14,27288.0,25827.0
2020-11-15,29499.0,26090.0
2020-11-16,32188.0,26657.0
2020-11-17,26157.0,26999.0
2020-11-18,20643.0,27036.0
2020-11-19,21313.0,27153.0
2020-11-20,18235.0,25828.0
2020-11-21,20320.0,25005.0
2020-11-22,24943.0,24085.0
2020-11-23,24889.0,23588.0
2020-11-24,15266.0,22717.0
2020-11-25,19791.0,21190.0
2020-11-26,15900.0,21181.0
2020-11-27,18069.0,20441.0
2020-11-28,18513.0,20511.0
2020-11-29,19443.0,20355.0
2020-11-30,20293.0,19686.0
2020-12-01,15415.0,19185.0
2020-12-02,15646.0,19259.0
2020-12-03,12280.0,18716.0
2020-12-04,13773.0,16787.0
2020-12-05,13790.0,16214.0
2020-12-06,20542.0,15593.0
2020-12-07,22103.0,15942.0
2020-12-08,14552.0,16385.0
2020-12-09,13721.0,16311.0
2020-12-10,17337.0,16080.0
2020-12-11,17899.0,16895.0
2020-12-12,17687.0,17592.0
2020-12-13,20070.0,18263.0
2020-12-14,24241.0,18289.0
2020-12-15,20979.0,18710.0
2020-12-16,31184.0,19757.0
2020-12-17,22865.0,22430.0
2020-12-18,24093.0,23409.0
2020-12-19,18702.0,24509.0
2020-12-20,28997.0,24900.0
2020-12-21,25434.0,26413.0
2020-12-22,26898.0,26722.0
2020-12-23,24373.0,27823.0
2020-12-24,27158.0,26809.0
2020-12-25,32056.0,27622.0
2020-12-26,43901.0,28981.0
2020-12-27,25181.0,33029.0
2020-12-28,36084.0,32686.0
2020-12-29,53180.0,34552.0
2020-12-30,40036.0,38662.0
2020-12-31,35365.0,41570.0
2021-01-01,43909.0,36228.0
2021-01-02,44303.0,37923.0
2021-01-03,38405.0,37847.0
2021-01-04,40440.0,40019.0
2021-01-05,40056.0,40771.0
2021-01-06,36048.0,38781.0
2021-01-07,27508.0,38296.0
