,PCCF immune,dummy
2020-07-01,19.25,0
2020-07-02,19.27,0
2020-07-03,19.3,0
2020-07-04,19.32,0
2020-07-05,19.35,0
2020-07-06,19.37,0
2020-07-07,19.39,0
2020-07-08,19.41,0
2020-07-09,19.439999999999998,0
2020-07-10,19.46,0
2020-07-11,19.48,0
2020-07-12,19.5,0
2020-07-13,19.52,0
2020-07-14,19.54,0
2020-07-15,19.56,0
2020-07-16,19.57,0
2020-07-17,19.59,0
2020-07-18,19.61,0
2020-07-19,19.62,0
2020-07-20,19.64,0
2020-07-21,19.66,0
2020-07-22,19.67,0
2020-07-23,19.689999999999998,0
2020-07-24,19.7,0
2020-07-25,19.72,0
2020-07-26,19.73,0
2020-07-27,19.75,0
2020-07-28,19.759999999999998,0
2020-07-29,19.78,0
2020-07-30,19.79,0
2020-07-31,19.81,0
2020-08-01,19.82,0
2020-08-02,19.84,0
2020-08-03,19.85,0
2020-08-04,19.869999999999997,0
2020-08-05,19.88,0
2020-08-06,19.900000000000002,0
2020-08-07,19.91,0
2020-08-08,19.93,0
2020-08-09,19.939999999999998,0
2020-08-10,19.96,0
2020-08-11,19.96,0
2020-08-12,19.98,0
2020-08-13,19.99,0
2020-08-14,20.01,0
2020-08-15,20.02,0
2020-08-16,20.04,0
2020-08-17,20.05,0
2020-08-18,20.07,0
2020-08-19,20.080000000000002,0
2020-08-20,20.1,0
2020-08-21,20.11,0
2020-08-22,20.13,0
2020-08-23,20.150000000000002,0
2020-08-24,20.16,0
2020-08-25,20.18,0
2020-08-26,20.19,0
2020-08-27,20.21,0
2020-08-28,20.21,0
2020-08-29,20.22,0
2020-08-30,20.24,0
2020-08-31,20.26,0
2020-09-01,20.28,0
2020-09-02,20.29,0
2020-09-03,20.31,0
2020-09-04,20.330000000000002,0
2020-09-05,20.349999999999998,0
2020-09-06,20.369999999999997,0
2020-09-07,20.4,0
2020-09-08,20.419999999999998,0
2020-09-09,20.45,0
2020-09-10,20.47,0
2020-09-11,20.53,0
2020-09-12,20.560000000000002,0
2020-09-13,20.59,0
2020-09-14,20.62,0
2020-09-15,20.65,0
2020-09-16,20.68,0
2020-09-17,20.71,0
2020-09-18,20.74,0
2020-09-19,20.78,0
2020-09-20,20.810000000000002,0
2020-09-21,20.84,0
2020-09-22,20.880000000000003,0
2020-09-23,20.919999999999998,0
2020-09-24,20.96,0
2020-09-25,21.0,0
2020-09-26,21.05,0
2020-09-27,21.13,0
2020-09-28,21.18,0
2020-09-29,21.240000000000002,0
2020-09-30,21.29,0
2020-10-01,21.349999999999998,0
2020-10-02,21.41,0
2020-10-03,21.48,0
2020-10-04,21.54,0
2020-10-05,21.61,0
2020-10-06,21.69,0
2020-10-07,21.77,0
2020-10-08,21.85,0
2020-10-09,21.93,0
2020-10-10,22.02,0
2020-10-11,22.14,0
2020-10-12,22.23,0
2020-10-13,22.33,0
2020-10-14,22.43,0
2020-10-15,22.53,0
2020-10-16,22.64,0
2020-10-17,22.75,0
2020-10-18,22.85,0
2020-10-19,22.97,0
2020-10-20,23.080000000000002,0
2020-10-21,23.189999999999998,0
2020-10-22,23.31,0
2020-10-23,23.43,0
2020-10-24,23.549999999999997,0
2020-10-25,23.68,0
2020-10-26,23.799999999999997,0
2020-10-27,23.93,0
2020-10-28,24.08,0
2020-10-29,24.21,0
2020-10-30,24.349999999999998,0
2020-10-31,24.48,0
2020-11-01,24.62,0
2020-11-02,24.75,0
2020-11-03,24.89,0
2020-11-04,25.03,0
2020-11-05,25.169999999999998,0
2020-11-06,25.31,0
2020-11-07,25.45,0
2020-11-08,25.580000000000002,0
2020-11-09,25.72,0
2020-11-10,25.580000000000002,0
2020-11-11,25.7,0
2020-11-12,25.83,0
2020-11-13,25.96,0
2020-11-14,26.08,0
2020-11-15,26.21,0
2020-11-16,26.340000000000003,0
2020-11-17,26.47,0
2020-11-18,26.6,0
2020-11-19,26.729999999999997,0
