,Vaccination immunity
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-05,0.0
2020-12-06,0.0
2020-12-07,0.01
2020-12-08,0.02
2020-12-09,0.03
2020-12-10,0.04
2020-12-11,0.06
2020-12-12,0.08
2020-12-13,0.1
2020-12-14,0.12
2020-12-15,0.13999999999999999
2020-12-16,0.16
2020-12-17,0.19
2020-12-18,0.21
2020-12-19,0.24
2020-12-20,0.26
2020-12-21,0.29
2020-12-22,0.32
2020-12-23,0.35000000000000003
2020-12-24,0.38
2020-12-25,0.41000000000000003
2020-12-26,0.44
2020-12-27,0.47000000000000003
2020-12-28,0.51
2020-12-29,0.54
2020-12-30,0.5700000000000001
2020-12-31,0.6
2021-01-01,0.64
2021-01-02,0.69
2021-01-03,0.74
2021-01-04,0.79
2021-01-05,0.8500000000000001
2021-01-06,0.91
2021-01-07,0.97
2021-01-08,1.03
2021-01-09,1.11
2021-01-10,1.1900000000000002
2021-01-11,1.28
2021-01-12,1.39
2021-01-13,1.5
2021-01-14,1.6199999999999999
2021-01-15,1.7399999999999998
2021-01-16,1.8599999999999999
2021-01-17,2.0
2021-01-18,2.15
2021-01-19,2.31
2021-01-20,2.4899999999999998
2021-01-21,2.6599999999999997
2021-01-22,2.8400000000000003
2021-01-23,3.02
2021-01-24,3.2
2021-01-25,3.38
2021-01-26,3.58
2021-01-27,3.7199999999999998
2021-01-28,3.93
2021-01-29,4.14
2021-01-30,4.35
2021-01-31,4.569999999999999
2021-02-01,4.79
2021-02-02,5.0200000000000005
2021-02-03,5.0
2021-02-04,5.220000000000001
2021-02-05,5.43
2021-02-06,5.65
2021-02-07,5.87
2021-02-08,6.09
2021-02-09,6.32
2021-02-10,6.550000000000001
2021-02-11,6.77
2021-02-12,6.99
2021-02-13,7.21
2021-02-14,7.4399999999999995
2021-02-15,7.66
2021-02-16,7.89
2021-02-17,8.12
2021-02-18,8.33
2021-02-19,8.540000000000001
2021-02-20,8.75
2021-02-21,8.959999999999999
2021-02-22,9.180000000000001
2021-02-23,9.41
2021-02-24,9.64
2021-02-25,9.86
2021-02-26,10.07
2021-02-27,10.280000000000001
2021-02-28,10.48
2021-03-01,10.69
2021-03-02,10.9
2021-03-03,11.110000000000001
2021-03-04,11.32
2021-03-05,11.52
2021-03-06,11.709999999999999
2021-03-07,11.899999999999999
2021-03-08,12.06
2021-03-09,12.26
2021-03-10,12.47
2021-03-11,12.67
2021-03-12,12.870000000000001
2021-03-13,13.089999999999998
2021-03-14,13.3
2021-03-15,13.530000000000001
2021-03-16,13.77
2021-03-17,14.02
2021-03-18,14.27
2021-03-19,14.52
2021-03-20,14.77
2021-03-21,15.010000000000002
2021-03-22,15.24
2021-03-23,15.479999999999999
2021-03-24,15.45
2021-03-25,15.68
2021-03-26,15.9
2021-03-27,16.12
2021-03-28,16.33
2021-03-29,16.53
2021-03-30,16.72
2021-03-31,16.900000000000002
2021-04-01,17.06
2021-04-02,17.22
2021-04-03,17.37
2021-04-04,17.51
2021-04-05,17.65
2021-04-06,17.78
2021-04-07,17.9
2021-04-08,18.02
2021-04-09,18.13
2021-04-10,18.240000000000002
2021-04-11,18.34
2021-04-12,18.66
2021-04-13,18.77
2021-04-14,18.87
2021-04-15,18.98
2021-04-16,19.08
2021-04-17,19.18
2021-04-18,19.27
2021-04-19,19.869999999999997
2021-04-20,19.98
2021-04-21,20.080000000000002
2021-04-22,20.19
2021-04-23,20.29
2021-04-24,20.39
2021-04-25,20.49
2021-04-26,20.59
2021-04-27,20.69
2021-04-28,20.79
2021-04-29,20.89
2021-04-30,20.990000000000002
2021-05-01,21.09
2021-05-02,21.19
2021-05-03,21.279999999999998
2021-05-04,21.38
2021-05-05,21.48
2021-05-06,21.58
2021-05-07,21.68
2021-05-08,21.77
2021-05-09,21.87
2021-05-10,21.97
2021-05-11,22.08
2021-05-12,22.189999999999998
2021-05-13,22.3
2021-05-14,22.41
2021-05-15,22.52
2021-05-16,22.63
2021-05-17,22.75
2021-05-18,22.88
2021-05-19,22.99
2021-05-20,23.09
2021-05-21,23.189999999999998
2021-05-22,23.3
2021-05-23,23.400000000000002
2021-05-24,23.51
2021-05-25,23.62
2021-05-26,23.73
2021-05-27,23.84
2021-05-28,23.95
2021-05-29,24.240000000000002
2021-05-30,24.36
2021-05-31,24.48
2021-06-01,24.6
2021-06-02,24.72
2021-06-03,24.84
2021-06-04,24.959999999999997
2021-06-05,25.080000000000002
2021-06-06,25.19
2021-06-07,25.31
2021-06-08,25.430000000000003
2021-06-09,25.55
2021-06-10,25.679999999999996
2021-06-11,25.8
2021-06-12,25.919999999999998
2021-06-13,26.05
2021-06-14,26.169999999999998
2021-06-15,26.3
2021-06-16,26.44
2021-06-17,26.57
2021-06-18,26.71
2021-06-19,26.840000000000003
2021-06-20,26.97
2021-06-21,27.11
2021-06-22,27.24
2021-06-23,27.38
2021-06-24,27.52
2021-06-25,27.650000000000002
2021-06-26,27.779999999999998
2021-06-27,27.900000000000002
2021-06-28,28.03
2021-06-29,28.15
2021-06-30,28.28
2021-07-01,28.389999999999997
2021-07-02,28.51
2021-07-03,28.62
2021-07-04,28.73
2021-07-05,28.83
2021-07-06,28.93
2021-07-07,29.03
2021-07-08,29.13
2021-07-09,29.220000000000002
2021-07-10,29.310000000000002
2021-07-11,29.4
2021-07-12,29.49
2021-07-13,29.57
2021-07-14,29.65
2021-07-15,29.73
2021-07-16,29.799999999999997
