date,Cases,Recent
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-05,,
2020-09-06,,
2020-09-07,80.0,
2020-09-08,91.0,
2020-09-09,85.0,
2020-09-10,84.0,
2020-09-11,88.0,
2020-09-12,103.0,
2020-09-13,111.0,
2020-09-14,100.0,
2020-09-15,102.0,
2020-09-16,130.0,
2020-09-17,126.0,
2020-09-18,141.0,
2020-09-19,149.0,
2020-09-20,161.0,
2020-09-21,198.0,
2020-09-22,214.0,
2020-09-23,239.0,
2020-09-24,253.0,
2020-09-25,273.0,
2020-09-26,311.0,
2020-09-27,332.0,
2020-09-28,341.0,
2020-09-29,361.0,
2020-09-30,362.0,
2020-10-01,384.0,
2020-10-02,383.0,
2020-10-03,374.0,
2020-10-04,359.0,
2020-10-05,393.0,
2020-10-06,425.0,
2020-10-07,464.0,
2020-10-08,476.0,
2020-10-09,495.0,
2020-10-10,500.0,
2020-10-11,530.0,
2020-10-12,509.0,
2020-10-13,488.0,
2020-10-14,477.0,
2020-10-15,472.0,
2020-10-16,463.0,
2020-10-17,445.0,
2020-10-18,425.0,
2020-10-19,439.0,
2020-10-20,438.0,
2020-10-21,416.0,
2020-10-22,423.0,
2020-10-23,412.0,
2020-10-24,384.0,
2020-10-25,372.0,
2020-10-26,356.0,
2020-10-27,333.0,
2020-10-28,320.0,
2020-10-29,309.0,
2020-10-30,311.0,
2020-10-31,324.0,
2020-11-01,333.0,
2020-11-02,321.0,
2020-11-03,321.0,
2020-11-04,323.0,
2020-11-05,360.0,
2020-11-06,355.0,
2020-11-07,367.0,
2020-11-08,357.0,
2020-11-09,383.0,
2020-11-10,391.0,
2020-11-11,392.0,
2020-11-12,352.0,
2020-11-13,375.0,
2020-11-14,374.0,
2020-11-15,378.0,
2020-11-16,357.0,
2020-11-17,366.0,
2020-11-18,354.0,
2020-11-19,369.0,
2020-11-20,345.0,
2020-11-21,326.0,
2020-11-22,317.0,
2020-11-23,297.0,
2020-11-24,277.0,
2020-11-25,272.0,
2020-11-26,249.0,
2020-11-27,257.0,
2020-11-28,264.0,
2020-11-29,253.0,
2020-11-30,253.0,
2020-12-01,242.0,
2020-12-02,238.0,
2020-12-03,236.0,
2020-12-04,222.0,
2020-12-05,220.0,
2020-12-06,235.0,
2020-12-07,240.0,
2020-12-08,256.0,
2020-12-09,257.0,
2020-12-10,266.0,
2020-12-11,275.0,
2020-12-12,284.0,
2020-12-13,287.0,
2020-12-14,304.0,
2020-12-15,335.0,
2020-12-16,378.0,
2020-12-17,395.0,
2020-12-18,397.0,
2020-12-19,399.0,
2020-12-20,420.0,
2020-12-21,445.0,
2020-12-22,439.0,
2020-12-23,447.0,
2020-12-24,446.0,
2020-12-25,425.0,
2020-12-26,453.0,
2020-12-27,486.0,
2020-12-28,501.0,
2020-12-29,551.0,
2020-12-30,598.0,598.0
2020-12-31,,644.0
2021-01-01,,688.0
2021-01-02,,740.0
2021-01-03,,671.0
2021-01-04,,579.0
