date,Cases,Recent
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-05,,
2020-09-06,,
2020-09-07,80.0,
2020-09-08,77.0,
2020-09-09,82.0,
2020-09-10,81.0,
2020-09-11,83.0,
2020-09-12,78.0,
2020-09-13,70.0,
2020-09-14,81.0,
2020-09-15,91.0,
2020-09-16,98.0,
2020-09-17,114.0,
2020-09-18,123.0,
2020-09-19,136.0,
2020-09-20,146.0,
2020-09-21,154.0,
2020-09-22,188.0,
2020-09-23,213.0,
2020-09-24,227.0,
2020-09-25,261.0,
2020-09-26,297.0,
2020-09-27,340.0,
2020-09-28,378.0,
2020-09-29,381.0,
2020-09-30,417.0,
2020-10-01,439.0,
2020-10-02,471.0,
2020-10-03,480.0,
2020-10-04,495.0,
2020-10-05,528.0,
2020-10-06,599.0,
2020-10-07,629.0,
2020-10-08,702.0,
2020-10-09,728.0,
2020-10-10,791.0,
2020-10-11,898.0,
2020-10-12,949.0,
2020-10-13,1037.0,
2020-10-14,1120.0,
2020-10-15,1165.0,
2020-10-16,1242.0,
2020-10-17,1263.0,
2020-10-18,1222.0,
2020-10-19,1256.0,
2020-10-20,1253.0,
2020-10-21,1271.0,
2020-10-22,1244.0,
2020-10-23,1251.0,
2020-10-24,1243.0,
2020-10-25,1243.0,
2020-10-26,1291.0,
2020-10-27,1254.0,
2020-10-28,1185.0,
2020-10-29,1223.0,
2020-10-30,1218.0,
2020-10-31,1165.0,
2020-11-01,1124.0,
2020-11-02,1074.0,
2020-11-03,1063.0,
2020-11-04,1050.0,
2020-11-05,973.0,
2020-11-06,876.0,
2020-11-07,849.0,
2020-11-08,811.0,
2020-11-09,738.0,
2020-11-10,684.0,
2020-11-11,629.0,
2020-11-12,579.0,
2020-11-13,585.0,
2020-11-14,588.0,
2020-11-15,582.0,
2020-11-16,622.0,
2020-11-17,614.0,
2020-11-18,639.0,
2020-11-19,654.0,
2020-11-20,644.0,
2020-11-21,643.0,
2020-11-22,672.0,
2020-11-23,647.0,
2020-11-24,690.0,
2020-11-25,736.0,
2020-11-26,792.0,
2020-11-27,804.0,
2020-11-28,818.0,
2020-11-29,835.0,
2020-11-30,915.0,
2020-12-01,1001.0,
2020-12-02,1085.0,
2020-12-03,1187.0,
2020-12-04,1308.0,
2020-12-05,1439.0,
2020-12-06,1549.0,
2020-12-07,1615.0,
2020-12-08,1715.0,
2020-12-09,1842.0,
2020-12-10,1942.0,
2020-12-11,2046.0,
2020-12-12,2123.0,
2020-12-13,2221.0,
2020-12-14,2346.0,
2020-12-15,2408.0,
2020-12-16,2521.0,
2020-12-17,2567.0,
2020-12-18,2568.0,
2020-12-19,2591.0,
2020-12-20,2529.0,
2020-12-21,2480.0,
2020-12-22,2430.0,
2020-12-23,2257.0,
2020-12-24,2017.0,
2020-12-25,1749.0,
2020-12-26,1664.0,
2020-12-27,1694.0,
2020-12-28,1614.0,
2020-12-29,1682.0,
2020-12-30,1671.0,
2020-12-31,1724.0,
2021-01-01,1762.0,
2021-01-02,1731.0,
2021-01-03,1617.0,
2021-01-04,1590.0,
2021-01-05,1422.0,
2021-01-06,1364.0,
2021-01-07,1348.0,
2021-01-08,1397.0,
2021-01-09,1340.0,
2021-01-10,1279.0,
2021-01-11,1222.0,
2021-01-12,1155.0,
2021-01-13,1081.0,
2021-01-14,1061.0,
2021-01-15,1075.0,
2021-01-16,1039.0,
2021-01-17,1036.0,
2021-01-18,978.0,
2021-01-19,925.0,
2021-01-20,865.0,
2021-01-21,812.0,
2021-01-22,730.0,
2021-01-23,673.0,
2021-01-24,622.0,
2021-01-25,576.0,
2021-01-26,529.0,
2021-01-27,524.0,
2021-01-28,478.0,
2021-01-29,455.0,
2021-01-30,463.0,
2021-01-31,443.0,
2021-02-01,433.0,
2021-02-02,411.0,
2021-02-03,379.0,
2021-02-04,370.0,
2021-02-05,363.0,
2021-02-06,350.0,
2021-02-07,357.0,
2021-02-08,343.0,
2021-02-09,367.0,
2021-02-10,372.0,
2021-02-11,367.0,
2021-02-12,386.0,
2021-02-13,371.0,
2021-02-14,380.0,
2021-02-15,395.0,
2021-02-16,389.0,
2021-02-17,382.0,
2021-02-18,389.0,
2021-02-19,377.0,
2021-02-20,381.0,
2021-02-21,362.0,
2021-02-22,336.0,
2021-02-23,299.0,
2021-02-24,263.0,
2021-02-25,232.0,
2021-02-26,199.0,
2021-02-27,180.0,
2021-02-28,173.0,
2021-03-01,149.0,
2021-03-02,153.0,
2021-03-03,165.0,
2021-03-04,159.0,
2021-03-05,144.0,
2021-03-06,145.0,
2021-03-07,139.0,
2021-03-08,141.0,
2021-03-09,123.0,
2021-03-10,112.0,
2021-03-11,121.0,
2021-03-12,126.0,
2021-03-13,125.0,
2021-03-14,122.0,
2021-03-15,119.0,
2021-03-16,116.0,
2021-03-17,114.0,
2021-03-18,111.0,
2021-03-19,122.0,122.0
2021-03-20,,121.0
2021-03-21,,120.0
2021-03-22,,124.0
2021-03-23,,116.0
2021-03-24,,115.0
