,Hungary,Slovakia,Serbia,Sweden,Portugal,Latvia,United Kingdom,Germany,Czechia,Italy,Lithuania,Ireland,Netherlands,France,Estonia,European Union,Russia,United States
2021-01-01,164.80057142857143,494.44,410.07028571428566,581.1354285714285,405.2941428571429,474.03928571428565,673.876,221.18214285714288,894.5960000000001,239.0642857142857,949.7567142857142,270.46757142857143,512.2465714285714,195.44142857142856,412.23271428571434,262.25642857142856,186.67814285714286,595.3431428571429
2021-01-02,167.94414285714288,512.6217142857143,383.332,581.1354285714285,433.77299999999997,467.5351428571429,722.1847142857143,216.7534285714286,904.4665714285713,242.4247142857143,904.0825714285713,330.6161428571428,501.96471428571425,196.23,405.54914285714295,263.6607142857143,183.84385714285713,628.8007142857143
2021-01-03,176.9744285714286,521.6471428571429,368.2981428571429,581.1354285714285,459.1608571428571,471.89671428571427,769.6535714285716,213.27485714285714,930.8680000000002,254.98585714285713,881.6702857142857,451.7732857142857,488.2472857142857,203.89257142857142,403.06971428571427,268.92785714285714,179.92357142857145,649.649
2021-01-04,180.63685714285717,523.3998571428572,371.52414285714286,581.1354285714285,491.1382857142857,480.5434285714286,806.2291428571428,210.4075714285714,964.0628571428572,260.2322857142857,859.5235714285715,605.0115714285714,481.2262857142858,205.9604285714286,400.2668571428572,275.1245714285714,175.66657142857142,655.9538571428571
2021-01-05,180.1624285714286,546.7875714285714,361.536,579.5044285714285,513.8988571428571,479.4721428571429,822.591,208.50571428571428,991.4898571428572,270.0885714285714,834.7214285714284,713.3821428571428,472.19214285714287,225.7067142857143,395.308,284.239,173.0887142857143,668.8228571428572
2021-01-06,181.27457142857142,596.964,354.2155714285714,455.125,569.7888571428572,468.9124285714285,848.3885714285715,170.3975714285714,1003.6382857142856,279.84785714285715,771.1494285714285,888.6671428571428,453.1007142857143,222.89885714285717,367.71085714285715,273.21585714285715,170.94157142857142,683.6610000000001
2021-01-07,182.71285714285713,487.66400000000004,330.5377142857143,631.3877142857143,602.1034285714286,431.6472857142857,841.5982857142857,214.60985714285715,1013.4155714285715,267.87128571428576,768.016,1028.6027142857142,452.72628571428567,226.63071428571428,405.4412857142857,292.38128571428575,166.91657142857142,696.473
2021-01-08,184.83328571428572,435.7347142857143,333.51557142857143,732.4407142857143,647.414,471.89671428571427,872.458,243.48771428571428,1033.3964285714285,256.794,692.7598571428572,1214.2087142857142,452.926,227.69214285714287,445.32771428571425,309.368,163.7022857142857,755.8317142857143
2021-01-09,204.19885714285715,496.84642857142853,294.0801428571429,732.4407142857143,735.0425714285714,537.3975714285714,877.16,263.7855714285714,1162.1797142857145,276.083,706.4089999999999,1255.7507142857141,442.5027142857143,263.0257142857143,463.54614285714285,331.95185714285714,160.83742857142857,739.7994285714285
2021-01-10,211.183,542.7325714285714,327.1257142857143,732.4407142857143,792.8995714285714,541.0705714285714,876.8857142857142,247.76657142857144,1207.9624285714285,286.44814285714284,719.0491428571429,1310.9394285714286,435.8644285714286,270.3267142857143,472.70914285714287,336.3865714285715,159.5598571428571,743.9352857142857
