date,Cases,Recent
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-05,,
2020-09-06,,
2020-09-07,32.0,
2020-09-08,31.0,
2020-09-09,38.0,
2020-09-10,40.0,
2020-09-11,41.0,
2020-09-12,48.0,
2020-09-13,54.0,
2020-09-14,50.0,
2020-09-15,54.0,
2020-09-16,52.0,
2020-09-17,56.0,
2020-09-18,53.0,
2020-09-19,58.0,
2020-09-20,73.0,
2020-09-21,76.0,
2020-09-22,85.0,
2020-09-23,95.0,
2020-09-24,105.0,
2020-09-25,116.0,
2020-09-26,116.0,
2020-09-27,107.0,
2020-09-28,113.0,
2020-09-29,112.0,
2020-09-30,112.0,
2020-10-01,124.0,
2020-10-02,135.0,
2020-10-03,148.0,
2020-10-04,171.0,
2020-10-05,196.0,
2020-10-06,231.0,
2020-10-07,246.0,
2020-10-08,260.0,
2020-10-09,287.0,
2020-10-10,293.0,
2020-10-11,285.0,
2020-10-12,299.0,
2020-10-13,292.0,
2020-10-14,287.0,
2020-10-15,302.0,
2020-10-16,289.0,
2020-10-17,300.0,
2020-10-18,331.0,
2020-10-19,364.0,
2020-10-20,406.0,
2020-10-21,456.0,
2020-10-22,465.0,
2020-10-23,491.0,
2020-10-24,479.0,
2020-10-25,452.0,
2020-10-26,438.0,
2020-10-27,435.0,
2020-10-28,402.0,
2020-10-29,395.0,
2020-10-30,369.0,
2020-10-31,372.0,
2020-11-01,377.0,
2020-11-02,379.0,
2020-11-03,347.0,
2020-11-04,350.0,
2020-11-05,336.0,
2020-11-06,336.0,
2020-11-07,332.0,
2020-11-08,334.0,
2020-11-09,318.0,
2020-11-10,312.0,
2020-11-11,322.0,
2020-11-12,317.0,
2020-11-13,324.0,
2020-11-14,334.0,
2020-11-15,329.0,
2020-11-16,317.0,
2020-11-17,325.0,
2020-11-18,300.0,
2020-11-19,286.0,
2020-11-20,273.0,
2020-11-21,251.0,
2020-11-22,239.0,
2020-11-23,235.0,
2020-11-24,223.0,
2020-11-25,222.0,
2020-11-26,225.0,
2020-11-27,230.0,
2020-11-28,238.0,
2020-11-29,237.0,
2020-11-30,222.0,
2020-12-01,216.0,
2020-12-02,205.0,
2020-12-03,193.0,
2020-12-04,215.0,
2020-12-05,208.0,
2020-12-06,212.0,
2020-12-07,235.0,
2020-12-08,242.0,
2020-12-09,248.0,
2020-12-10,255.0,
2020-12-11,237.0,
2020-12-12,242.0,
2020-12-13,244.0,
2020-12-14,229.0,
2020-12-15,238.0,
2020-12-16,239.0,
2020-12-17,245.0,
2020-12-18,234.0,
2020-12-19,241.0,
2020-12-20,244.0,
2020-12-21,237.0,
2020-12-22,233.0,
2020-12-23,261.0,
2020-12-24,276.0,
2020-12-25,257.0,
2020-12-26,272.0,
2020-12-27,288.0,
2020-12-28,313.0,
2020-12-29,346.0,
2020-12-30,346.0,
2020-12-31,343.0,
2021-01-01,359.0,
2021-01-02,383.0,
2021-01-03,392.0,
2021-01-04,417.0,
2021-01-05,405.0,
2021-01-06,411.0,
2021-01-07,459.0,
2021-01-08,504.0,
2021-01-09,486.0,
2021-01-10,477.0,
2021-01-11,473.0,
2021-01-12,492.0,
2021-01-13,481.0,
2021-01-14,444.0,
2021-01-15,425.0,
2021-01-16,425.0,
2021-01-17,427.0,
2021-01-18,420.0,
2021-01-19,406.0,
2021-01-20,407.0,
2021-01-21,411.0,
2021-01-22,403.0,
2021-01-23,382.0,
2021-01-24,365.0,
2021-01-25,348.0,
2021-01-26,319.0,
2021-01-27,303.0,
2021-01-28,293.0,
2021-01-29,294.0,
2021-01-30,294.0,
2021-01-31,290.0,
2021-02-01,274.0,
2021-02-02,274.0,
2021-02-03,268.0,
2021-02-04,263.0,
2021-02-05,253.0,
2021-02-06,251.0,
2021-02-07,249.0,
2021-02-08,258.0,
2021-02-09,254.0,
2021-02-10,252.0,
2021-02-11,237.0,
2021-02-12,235.0,
2021-02-13,218.0,
2021-02-14,212.0,
2021-02-15,212.0,
2021-02-16,203.0,
2021-02-17,198.0,
2021-02-18,197.0,
2021-02-19,178.0,
2021-02-20,175.0,
2021-02-21,171.0,
2021-02-22,146.0,
2021-02-23,142.0,
2021-02-24,136.0,
2021-02-25,125.0,
2021-02-26,120.0,
2021-02-27,120.0,
2021-02-28,112.0,
2021-03-01,103.0,
2021-03-02,84.0,
2021-03-03,75.0,
2021-03-04,69.0,
2021-03-05,68.0,
2021-03-06,63.0,
2021-03-07,65.0,
2021-03-08,73.0,
2021-03-09,80.0,
2021-03-10,88.0,
2021-03-11,93.0,
2021-03-12,92.0,
2021-03-13,94.0,94.0
2021-03-14,,93.0
2021-03-15,,79.0
2021-03-16,,79.0
2021-03-17,,66.0
2021-03-18,,53.0
