date,New cases by specimen date,New cases by specimen date (seven-day average),Baseline,recent values,recent average values
2020-09-01,1927.0,1868.142857142857,0,,
2020-09-02,2617.0,2032.2857142857142,0,,
2020-09-03,2666.0,2187.1428571428573,0,,
2020-09-04,2590.0,2502.285714285714,0,,
2020-09-05,2190.0,2656.1428571428573,0,,
2020-09-06,2061.0,2689.714285714286,0,,
2020-09-07,3465.0,2752.285714285714,0,,
2020-09-08,3004.0,2790.5714285714284,0,,
2020-09-09,2852.0,2793.8571428571427,0,,
2020-09-10,3104.0,2743.8571428571427,0,,
2020-09-11,2858.0,2663.1428571428573,0,,
2020-09-12,2213.0,2668.8571428571427,0,,
2020-09-13,1711.0,2797.1428571428573,0,,
2020-09-14,2900.0,2916.5714285714284,0,,
2020-09-15,3044.0,3119.0,0,,
2020-09-16,3750.0,3400.1428571428573,0,,
2020-09-17,3940.0,3817.285714285714,0,,
2020-09-18,4275.0,4074.8571428571427,0,,
2020-09-19,4181.0,4406.571428571428,0,,
2020-09-20,4631.0,4712.714285714285,0,,
2020-09-21,4703.0,5048.857142857143,0,,
2020-09-22,5366.0,5301.571428571428,0,,
2020-09-23,5893.0,5512.428571428572,0,,
2020-09-24,6293.0,5711.714285714285,0,,
2020-09-25,6044.0,6265.857142857143,0,,
2020-09-26,5657.0,6745.285714285715,0,,
2020-09-27,6026.0,7406.571428571428,0,,
2020-09-28,8582.0,8122.571428571428,0,,
2020-09-29,8722.0,8913.285714285714,0,,
2020-09-30,10522.0,9491.42857142857,0,,
2020-10-01,11305.0,10035.285714285714,0,,
2020-10-02,11579.0,10815.857142857143,0,,
2020-10-03,9704.0,11612.42857142857,0,,
2020-10-04,9833.0,12281.57142857143,0,,
2020-10-05,14046.0,12848.42857142857,0,,
2020-10-06,14298.0,13053.0,0,,
2020-10-07,15206.0,13117.714285714286,0,,
2020-10-08,15273.0,13092.714285714286,0,,
2020-10-09,13011.0,13400.42857142857,0,,
2020-10-10,10157.0,13564.857142857143,0,,
2020-10-11,9658.0,13742.714285714286,0,,
2020-10-12,16200.0,13739.0,0,,
2020-10-13,15449.0,13960.142857142857,0,,
2020-10-14,16451.0,14274.714285714286,0,,
2020-10-15,15247.0,14589.285714285714,0,,
2020-10-16,14559.0,15434.857142857143,0,,
2020-10-17,12359.0,16277.285714285714,0,,
2020-10-18,11860.0,16998.85714285714,0,,
2020-10-19,22119.0,17624.0,0,,
2020-10-20,21346.0,18132.285714285714,0,,
2020-10-21,21502.0,18298.571428571428,0,,
2020-10-22,19623.0,18485.285714285714,0,,
2020-10-23,18117.0,18577.714285714286,0,,
2020-10-24,13523.0,18457.0,0,,
2020-10-25,13167.0,18277.285714285714,0,,
2020-10-26,22766.0,18328.85714285714,0,,
2020-10-27,20501.0,18547.85714285714,0,,
2020-10-28,20244.0,18666.85714285714,0,,
2020-10-29,19984.0,18696.428571428572,0,,
2020-10-30,19650.0,19434.428571428572,0,,
2020-10-31,14356.0,19693.428571428572,0,,
2020-11-01,13374.0,19758.285714285714,0,,
2020-11-02,27932.0,19885.85714285714,0,,
2020-11-03,22314.0,20054.571428571428,0,,
2020-11-04,20698.0,20378.714285714286,0,,
2020-11-05,20877.0,21034.85714285714,0,,
2020-11-06,20831.0,21059.428571428572,0,,
2020-11-07,16625.0,21369.714285714286,0,,
2020-11-08,17967.0,21934.285714285714,0,,
2020-11-09,28104.0,22089.285714285714,0,,
2020-11-10,24486.0,22208.285714285714,0,,
2020-11-11,24650.0,22124.285714285714,0,,
2020-11-12,21962.0,21589.714285714286,0,,
2020-11-13,21664.0,20964.428571428572,0,,
2020-11-14,16037.0,20373.14285714286,0,,
2020-11-15,14225.0,19456.14285714286,0,,
2020-11-16,23727.0,18534.428571428572,0,,
2020-11-17,20347.0,17537.714285714286,0,,
2020-11-18,18231.0,16763.571428571428,0,,
2020-11-19,15510.0,16166.0,0,,
2020-11-20,14687.0,15091.142857142857,0,,
2020-11-21,10618.0,14189.0,0,,
2020-11-22,10042.0,13573.57142857143,0,,
2020-11-23,16203.0,13111.0,0,,
2020-11-24,14032.0,12767.0,0,,
2020-11-25,13923.0,12564.714285714286,0,,
2020-11-26,12272.0,12403.42857142857,0,,
2020-11-27,12279.0,12239.142857142857,0,,
2020-11-28,9202.0,12166.714285714286,0,,
2020-11-29,8913.0,12100.857142857143,0,,
2020-11-30,15053.0,12140.285714285714,0,,
2020-12-01,13525.0,12232.857142857143,0,,
2020-12-02,13462.0,12375.285714285714,0,,
2020-12-03,12548.0,12659.57142857143,0,,
2020-12-04,12927.0,12998.142857142857,0,,
2020-12-05,10199.0,13449.857142857143,0,,
2020-12-06,10903.0,14028.142857142857,0,,
2020-12-07,17423.0,14889.0,0,,
2020-12-08,16687.0,15884.142857142857,0,,
2020-12-09,17510.0,16717.571428571428,0,,
2020-12-10,18574.0,17750.571428571428,0,,
2020-12-11,19893.0,19480.428571428572,0,,
2020-12-12,16033.0,21257.0,0,,
2020-12-13,18134.0,23061.0,0,,
2020-12-14,29532.0,24637.0,0,,
2020-12-15,29123.0,26344.85714285714,0,,
2020-12-16,30138.0,27162.428571428572,0,,
2020-12-17,29606.0,28709.571428571428,0,,
2020-12-18,31848.0,30579.571428571428,0,,
2020-12-19,21756.0,32267.428571428572,0,,
2020-12-20,28964.0,33349.142857142855,0,,
2020-12-21,42622.0,33224.0,0,,
2020-12-22,40938.0,30485.285714285714,0,,
2020-12-23,37710.0,32620.0,0,,
2020-12-24,28730.0,34549.42857142857,0,,
2020-12-25,12677.0,34181.57142857143,0,,
2020-12-26,36699.0,38697.28571428572,0,,
2020-12-27,42470.0,42299.57142857143,0,,
2020-12-28,40047.0,44869.28571428572,0,,
2020-12-29,72548.0,47091.0,0,,
2020-12-30,62926.0,49593.42857142857,0,,
2020-12-31,46718.0,50603.142857142855,0,,
2021-01-01,28229.0,54761.57142857143,0,,
2021-01-02,54216.0,52698.71428571428,0,,
2021-01-03,49538.0,51046.857142857145,0,,
2021-01-04,69156.0,51070.28571428572,0,,
2021-01-05,58108.0,53094.0,0,,
2021-01-06,51363.0,50415.42857142857,0,,
2021-01-07,46882.0,48034.857142857145,0,,
2021-01-08,42395.0,45598.71428571428,0,,
2021-01-09,35466.0,43688.857142857145,0,,
2021-01-10,32874.0,42239.142857142855,0,,
2021-01-11,52103.0,41053.142857142855,0,,
2021-01-12,44739.0,40258.857142857145,0,,
2021-01-13,41215.0,39146.857142857145,0,,
2021-01-14,38580.0,38200.0,0,,
2021-01-15,36835.0,36585.71428571428,0,,
2021-01-16,27682.0,35343.0,0,,
2021-01-17,26246.0,34001.57142857143,0,,
2021-01-18,40803.0,32606.285714285714,0,,
2021-01-19,36040.0,31199.0,0,,
2021-01-20,31825.0,30091.0,0,,
2021-01-21,28813.0,28557.428571428572,0,,
2021-01-22,26984.0,26614.0,0,,
2021-01-23,19926.0,24966.571428571428,0,,
2021-01-24,15511.0,23751.14285714286,0,,
2021-01-25,27199.0,22765.285714285714,0,,
2021-01-26,24508.0,21730.285714285714,0,,
2021-01-27,23317.0,21029.285714285714,0,,
2021-01-28,21912.0,20781.285714285714,0,,
2021-01-29,19739.0,19780.0,0,,
2021-01-30,15019.0,18811.85714285714,0,,
2021-01-31,13775.0,17977.428571428572,0,,
2021-02-01,20190.0,17166.0,0,,
2021-02-02,17731.0,16351.57142857143,0,,
2021-02-03,17476.0,15721.714285714286,0,,
2021-02-04,16232.0,15210.42857142857,0,,
2021-02-05,14038.0,14316.42857142857,0,,
2021-02-06,10610.0,13540.57142857143,0,,
2021-02-07,10196.0,12743.285714285714,0,,
2021-02-08,13932.0,12038.142857142857,0,,
2021-02-09,12300.0,11547.285714285714,0,,
2021-02-10,11895.0,11141.285714285714,0,,
2021-02-11,11296.0,10766.42857142857,0,,
2021-02-12,10602.0,10564.714285714286,0,,
2021-02-13,7768.0,10357.57142857143,0,,
2021-02-14,7572.0,10094.714285714286,0,,
2021-02-15,12520.0,9899.285714285714,0,,
2021-02-16,10850.0,9660.42857142857,0,,
2021-02-17,10055.0,9538.57142857143,0,,
2021-02-18,9928.0,9431.857142857143,0,,
2021-02-19,8930.0,9063.57142857143,0,,
2021-02-20,6915.0,8684.42857142857,0,,
2021-02-21,6825.0,8292.142857142857,0,,
2021-02-22,9942.0,7824.428571428572,0,,
2021-02-23,8196.0,7362.857142857143,0,,
2021-02-24,7309.0,6963.428571428572,0,,
2021-02-25,6654.0,6557.285714285715,0,,
2021-02-26,5699.0,5986.285714285715,0,,
2021-02-27,4119.0,5629.714285714285,0,,
2021-02-28,3982.0,5319.285714285715,0,,
2021-03-01,5945.0,5058.285714285715,0,,5058.285714285715
2021-03-02,5700.0,,0,,4904.285714285715
2021-03-03,5136.0,,0,,4831.714285714285
2021-03-04,4827.0,,0,4827.0,4750.571428571428
2021-03-05,,,0,4621.0,4595.714285714285
2021-03-06,,,0,3611.0,3987.714285714286
2021-03-07,,,0,3414.0,
2021-03-08,,,0,4861.0,
2021-03-09,,,0,1444.0,
