Country,Total doses distributed to country,Total doses administered,Unused doses
Germany,3832800.0,2596248,1236552.0
France,3007600.0,2160611,846989.0
Italy,2769600.0,1756455,1013145.0
Spain,2060500.0,1400933,659567.0
Poland,1380000.0,1059481,320519.0
Netherlands,884950.0,387755,497195.0
Romania,691600.0,339148,352452.0
Austria,607200.0,376565,230635.0
Belgium,530400.0,443083,87317.0
Greece,492000.0,277744,214256.0
Sweden,488200.0,224928,263272.0
Portugal,472800.0,336172,136628.0
Hungary,405100.0,394438,10662.0
Bulgaria,312000.0,206835,105165.0
Slovakia,267000.0,234063,32937.0
Finland,254400.0,182510,71890.0
Czechia,230600.0,209929,20671.0
Ireland,228000.0,174664,53336.0
Denmark,202920.0,150636,52284.0
Croatia,187200.0,151446,35754.0
Lithuania,98972.0,98972,0.0
Slovenia,98400.0,75606,22794.0
Estonia,91200.0,86220,4980.0
Latvia,86400.0,71864,14536.0
Cyprus,64800.0,47406,17394.0
Luxembourg,31200.0,21094,10106.0
Iceland,17100.0,13952,3148.0
