,First dose,Both doses
Serbia,44.31,42.41
Greece,62.72,60.32
Croatia,45.4,40.03
Czechia,56.98,56.0
Romania,32.05,28.92
Sweden,70.75,66.15
Italy,75.91,69.19
Belgium,74.21,72.82
United Kingdom,72.11,66.25
Slovenia,54.64,50.37
Spain,80.9,79.02
Netherlands,,
Slovakia,45.26,41.64
Bulgaria,,19.79
Lithuania,65.75,60.88
Germany,67.96,64.73
Latvia,51.59,48.1
France,74.96,66.73
Denmark,76.77,75.49
Portugal,88.1,85.85
Ireland,75.81,74.2
Austria,64.03,60.64
Cyprus,66.86,62.84
Poland,52.61,51.7
Estonia,57.83,54.41
Hungary,61.36,58.98
Finland,75.04,65.31
Norway,76.54,67.53
