,Latest data,Total doses given,Doses per 100 population (raw)
Afghanistan,2021-04-22,240000.0,0.62
Africa,2021-04-25,16952015.0,1.26
Albania,2021-04-24,400064.0,13.9
Algeria,2021-02-19,75000.0,0.17
Andorra,2021-04-19,26414.0,34.19
Angola,2021-04-23,456349.0,1.39
Anguilla,2021-04-22,6898.0,45.98
Antigua and Barbuda,2021-04-22,29754.0,30.38
Argentina,2021-04-25,7134949.0,15.79
Armenia,2021-03-31,565.0,0.02
Aruba,2021-04-25,73103.0,68.47
Asia,2021-04-25,472107397.0,10.18
Australia,2021-04-25,1934077.0,7.58
Austria,2021-04-24,2800520.0,31.09
Azerbaijan,2021-04-25,1423295.0,14.04
Bahamas,2021-04-21,21907.0,5.57
Bahrain,2021-04-25,1180735.0,69.39
Bangladesh,2021-04-24,7954176.0,4.83
Barbados,2021-04-23,71881.0,25.01
Belarus,2021-04-23,328500.0,3.48
Belgium,2021-04-25,3431848.0,29.61
Belize,2021-04-23,39330.0,9.89
Bermuda,2021-04-19,52337.0,84.04
Bhutan,2021-04-25,479686.0,62.17
Bolivia,2021-04-24,656613.0,5.63
Bosnia and Herzegovina,2021-04-09,15000.0,0.46
Botswana,2021-04-19,41612.0,1.77
Brazil,2021-04-25,38027113.0,17.89
Brunei,2021-04-06,2323.0,0.53
Bulgaria,2021-04-25,723240.0,10.41
Cambodia,2021-04-25,2027968.0,12.13
Cameroon,2021-04-12,400.0,0.0
Canada,2021-04-25,12045041.0,31.91
Cape Verde,2021-03-24,2184.0,0.39
Cayman Islands,2021-04-21,63774.0,97.04
Chile,2021-04-24,14131492.0,73.92
China,2021-04-25,224901000.0,15.63
Colombia,2021-04-24,4400615.0,8.65
Congo,2021-04-14,14297.0,0.26
Costa Rica,2021-04-19,698327.0,13.71
Cote d'Ivoire,2021-04-24,117227.0,0.44
Croatia,2021-04-25,795597.0,19.38
Curacao,2021-04-25,84716.0,51.62
Cyprus,2021-04-23,236265.0,26.97
Czech Rep.,2021-04-25,2822491.0,26.36
Denmark,2021-04-24,1780892.0,30.75
Djibouti,2021-04-17,10246.0,1.04
Dominica,2021-04-22,23055.0,32.02
Dominican Republic,2021-04-14,1509898.0,13.92
Ecuador,2021-04-24,732717.0,4.15
Egypt,2021-04-18,660000.0,0.64
El Salvador,2021-04-23,698569.0,10.77
England,2021-04-24,38792402.0,68.92
Equatorial Guinea,2021-04-22,55799.0,3.98
Estonia,2021-04-25,410485.0,30.94
Eswatini,2021-04-25,34897.0,3.01
Ethiopia,2021-04-08,430000.0,0.37
Europe,2021-04-25,204390945.0,27.3
European Union,2021-04-25,130955710.0,29.43
Faeroe Islands,2021-04-24,17280.0,35.36
Falkland Islands,2021-04-14,4407.0,126.53
