Country,Product,Total doses distributed to country,Total doses administered,Unused doses
France,Pfizer/BioNTech,8556015.0,7618429,937586.0
France,AstraZeneca,3007600.0,2160611,846989.0
France,Moderna,1094800.0,674494,420306.0
Germany,Pfizer/BioNTech,10928775.0,9646138,1282637.0
Germany,AstraZeneca,3832800.0,2596248,1236552.0
Germany,Moderna,1111200.0,576099,535101.0
Italy,Pfizer/BioNTech,7682220.0,7201320,480900.0
Italy,AstraZeneca,2769600.0,1756455,1013145.0
Italy,Moderna,982800.0,469485,513315.0
Poland,Pfizer/BioNTech,5192460.0,4584722,607738.0
Poland,AstraZeneca,1380000.0,1059481,320519.0
Poland,Moderna,520000.0,384698,135302.0
Spain,Pfizer/BioNTech,5811195.0,5734276,76919.0
Spain,AstraZeneca,2060500.0,1400933,659567.0
Spain,Moderna,650400.0,437379,213021.0
