,Cases per million
:at: Austria,3368.2709999999997
:be: Belgium,2883.098
:bg: Bulgaria,3556.4790000000003
:hr: Croatia,1605.4979999999998
:cy: Cyprus,4382.925
:cz: Czechia,15698.131000000001
:dk: Denmark,1249.9560000000001
:ee: Estonia,13371.639
:fi: Finland,1514.244
:fr: France,4599.998
:de: Germany,1364.0439999999999
:gr: Greece,2456.9570000000003
:hu: Hungary,6528.438
:ie: Ireland,1601.524
:it: Italy,4341.665
:lv: Latvia,4629.409000000001
:lt: Lithuania,2974.333
:nl: Netherlands,3716.222
:no: Norway,1293.431
:pl: Poland,4185.977
:pt: Portugal,1214.608
:ro: Romania,2559.248
:rs: Serbia,7338.275
:sk: Slovakia,5676.928000000001
:si: Slovenia,5129.557
:es: Spain,149.696
:se: Sweden,5326.6230000000005
:gb: United Kingdom,1439.943
