,Cases per million
Austria,1502.376
Belgium,1845.8770000000002
Bulgaria,1114.782
Croatia,3131.83
Cyprus,4946.917
Czechia,1387.994
Denmark,869.445
Estonia,1846.911
Finland,268.738
France,2477.692
Germany,1582.726
Greece,1409.567
Hungary,1460.506
Ireland,654.746
Italy,1424.039
Latvia,2340.6820000000002
Lithuania,2987.5570000000002
Netherlands,2953.567
Norway,529.215
Poland,1241.4589999999998
Portugal,292.545
Romania,615.979
Serbia,1904.4479999999999
Slovakia,594.178
Slovenia,2258.8520000000003
Spain,1186.1889999999999
Sweden,3491.44
United Kingdom,227.543
