,Cases per million
:at: Austria,1010.276
:be: Belgium,1219.274
:bg: Bulgaria,1484.343
:hr: Croatia,838.385
:cy: Cyprus,2172.285
:cz: Czechia,126.159
:dk: Denmark,1142.208
:ee: Estonia,1741.64
:fi: Finland,708.498
:fr: France,1932.442
:de: Germany,756.73
:gr: Greece,2169.082
:hu: Hungary,96.013
:ie: Ireland,2536.272
:it: Italy,755.39
:lv: Latvia,631.517
:lt: Lithuania,1484.091
:nl: Netherlands,1107.255
:no: Norway,1477.963
:pl: Poland,40.083
:pt: Portugal,1559.512
:ro: Romania,286.338
:rs: Serbia,2178.528
:sk: Slovakia,124.526
:si: Slovenia,1413.368
:es: Spain,1312.562
:se: Sweden,672.135
:gb: United Kingdom,3494.987
