,Cases per million
:ar: Argentina,293.8
:au: Australia,7.3
:br: Brazil,217.2
:ca: Canada,15.1
:cn: China,0.0
:eu: European Union,160.2
:fr: France,302.2
:de: Germany,35.4
:in: India,28.0
:id: Indonesia,158.7
:it: Italy,78.9
:jp: Japan,45.5
:mx: Mexico,107.9
:ru: Russia,157.8
:sa: Saudi Arabia,36.2
:za: South Africa,153.6
:kr: South Korea,30.6
:es: Spain,537.4
:tr: Turkey,179.8
:gb: UK,443.5
:us: United States,192.4
:gb-eng: England,365.15688648693305
:gb-nir: Northern Ireland,689.6671906940344
:gb-sct: Scotland,188.0077713365287
