,Cases per million
:ar: Argentina,972.1039999999999
:au: Australia,3.176
:br: Brazil,2276.94
:ca: Canada,570.2909999999999
:cn: China,0.11800000000000001
:eu: European Union,1906.12
:fr: France,2376.584
:de: Germany,742.6239999999999
:in: India,97.887
:id: Indonesia,155.833
:it: Italy,2479.217
:jp: Japan,60.256
:mx: Mexico,298.194
:ru: Russia,479.14
:sa: Saudi Arabia,75.832
:za: South Africa,134.584
:kr: South Korea,59.451
:es: Spain,769.932
:tr: Turkey,1065.117
:gb: United Kingdom,603.217
:us: United States,1134.2839999999999
