date,Cases,Recent
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-05,,
2020-09-06,,
2020-09-07,2295.0,
2020-09-08,2466.0,
2020-09-09,2489.0,
2020-09-10,2596.0,
2020-09-11,2678.0,
2020-09-12,2736.0,
2020-09-13,2680.0,
2020-09-14,2715.0,
2020-09-15,2813.0,
2020-09-16,3129.0,
2020-09-17,3381.0,
2020-09-18,3619.0,
2020-09-19,3999.0,
2020-09-20,4503.0,
2020-09-21,4645.0,
2020-09-22,5034.0,
2020-09-23,5323.0,
2020-09-24,5709.0,
2020-09-25,6090.0,
2020-09-26,6301.0,
2020-09-27,6674.0,
2020-09-28,7408.0,
2020-09-29,8043.0,
2020-09-30,8877.0,
2020-10-01,9541.0,
2020-10-02,10070.0,
2020-10-03,10413.0,
2020-10-04,10460.0,
2020-10-05,10967.0,
2020-10-06,11290.0,
2020-10-07,11207.0,
2020-10-08,11161.0,
2020-10-09,11106.0,
2020-10-10,11092.0,
2020-10-11,11129.0,
2020-10-12,11210.0,
2020-10-13,11174.0,
2020-10-14,11398.0,
2020-10-15,11456.0,
2020-10-16,11614.0,
2020-10-17,11933.0,
2020-10-18,12156.0,
2020-10-19,12883.0,
2020-10-20,13793.0,
2020-10-21,14432.0,
2020-10-22,14976.0,
2020-10-23,15532.0,
2020-10-24,15626.0,
2020-10-25,15854.0,
2020-10-26,16014.0,
2020-10-27,15820.0,
2020-10-28,15614.0,
2020-10-29,15661.0,
2020-10-30,15783.0,
2020-10-31,15829.0,
2020-11-01,15759.0,
2020-11-02,16138.0,
2020-11-03,15932.0,
2020-11-04,15609.0,
2020-11-05,15310.0,
2020-11-06,14914.0,
2020-11-07,14589.0,
2020-11-08,14497.0,
2020-11-09,13567.0,
2020-11-10,13149.0,
2020-11-11,13062.0,
2020-11-12,12664.0,
2020-11-13,12275.0,
2020-11-14,12009.0,
2020-11-15,11529.0,
2020-11-16,10894.0,
2020-11-17,10305.0,
2020-11-18,9530.0,
2020-11-19,8929.0,
2020-11-20,8392.0,
2020-11-21,7941.0,
2020-11-22,7618.0,
2020-11-23,7032.0,
2020-11-24,6577.0,
2020-11-25,6211.0,
2020-11-26,5919.0,
2020-11-27,5511.0,
2020-11-28,5369.0,
2020-11-29,5143.0,
2020-11-30,4935.0,
2020-12-01,4922.0,
2020-12-02,4735.0,
2020-12-03,4583.0,
2020-12-04,4587.0,
2020-12-05,4491.0,
2020-12-06,4537.0,
2020-12-07,4504.0,
2020-12-08,4315.0,
2020-12-09,4383.0,
2020-12-10,4411.0,
2020-12-11,4412.0,
2020-12-12,4448.0,
2020-12-13,4524.0,
2020-12-14,4546.0,
2020-12-15,4644.0,
2020-12-16,4622.0,
2020-12-17,4676.0,
2020-12-18,4800.0,
2020-12-19,4941.0,
2020-12-20,5070.0,
2020-12-21,5323.0,
2020-12-22,5544.0,
2020-12-23,5811.0,
2020-12-24,5924.0,
2020-12-25,5501.0,
2020-12-26,5771.0,
2020-12-27,6131.0,
2020-12-28,6175.0,
2020-12-29,7087.0,
2020-12-30,7977.0,
2020-12-31,8625.0,
2021-01-01,9152.0,
2021-01-02,10050.0,
2021-01-03,10706.0,
2021-01-04,11793.0,
2021-01-05,12129.0,
2021-01-06,12121.0,
2021-01-07,12350.0,
2021-01-08,13089.0,
2021-01-09,12661.0,
2021-01-10,12419.0,
2021-01-11,12210.0,
2021-01-12,11790.0,
2021-01-13,11545.0,
2021-01-14,11417.0,
2021-01-15,11234.0,
2021-01-16,11062.0,
2021-01-17,10727.0,
2021-01-18,10279.0,
2021-01-19,9946.0,
2021-01-20,9693.0,
2021-01-21,9342.0,
2021-01-22,9120.0,
2021-01-23,8843.0,
2021-01-24,8666.0,
2021-01-25,8384.0,
2021-01-26,8061.0,
2021-01-27,7865.0,
2021-01-28,7720.0,
2021-01-29,7606.0,
2021-01-30,7536.0,
2021-01-31,7395.0,
2021-02-01,7234.0,
2021-02-02,7065.0,
2021-02-03,6902.0,
2021-02-04,6853.0,
2021-02-05,6568.0,
2021-02-06,6417.0,
2021-02-07,6253.0,
2021-02-08,6065.0,
2021-02-09,5910.0,
2021-02-10,5692.0,
2021-02-11,5557.0,
2021-02-12,5522.0,
2021-02-13,5377.0,
2021-02-14,5328.0,
2021-02-15,5334.0,
2021-02-16,5291.0,
2021-02-17,5286.0,
2021-02-18,5159.0,
2021-02-19,5077.0,
2021-02-20,5156.0,
2021-02-21,5137.0,
2021-02-22,4980.0,
2021-02-23,4762.0,
2021-02-24,4579.0,
2021-02-25,4409.0,
2021-02-26,4162.0,
2021-02-27,3832.0,
2021-02-28,3515.0,
2021-03-01,3165.0,
2021-03-02,2998.0,
2021-03-03,2762.0,
2021-03-04,2603.0,
2021-03-05,2516.0,
2021-03-06,2521.0,
2021-03-07,2539.0,
2021-03-08,2550.0,
2021-03-09,2599.0,
2021-03-10,2718.0,
2021-03-11,2703.0,
2021-03-12,2744.0,2744.0
2021-03-13,,2761.0
2021-03-14,,2792.0
2021-03-15,,2776.0
2021-03-16,,2681.0
2021-03-17,,2318.0
