,Latest data,Total doses given,Doses per 100 population (raw)
:ar: Argentina,2021-06-28,19951580.0,44.14
:bh: Bahrain,2021-06-28,2109775.0,123.99
:cl: Chile,2021-06-26,22494947.0,117.67
:cn: China,2021-06-28,1206714000.0,83.84
:dk: Denmark,2021-06-28,,
:fi: Finland,2021-06-28,4213157.0,76.04
:fr: France,2021-06-27,52474306.0,77.67
:de: Germany,2021-06-28,72806699.0,86.9
:gr: Greece,2021-06-28,8202338.0,78.69
:il: Israel,2021-06-28,10729216.0,123.96
:it: Italy,2021-06-28,50452251.0,83.44
:pt: Portugal,2021-06-28,8257211.0,80.98
:ru: Russia,2021-06-28,38773378.0,26.57
:rs: Serbia,2021-06-20,5146241.0,75.63
:ae: UAE,2021-06-28,15111234.0,152.79
:gb: UK,2021-06-28,77303533,113.87255173970968
:us: USA,2021-06-28,324414371.0,97.0
:eu: EU-27,,340773356.0,76.11539646974161
