,East of England,London,Midlands,North East and Yorkshire,North West,South East,South West
2020-08-01,,,,,,,
2020-08-02,,,,,,,
2020-08-03,,,,,,,
2020-08-04,,,,,,,
2020-08-05,,,,,,,
2020-08-06,,,,,,,
2020-08-07,10.0,10.515873015873016,13.203463203463201,12.67387891611494,23.197642693441008,25.238095238095237,
2020-08-08,14.761904761904761,10.515873015873016,12.409812409812409,9.816736058972083,25.718651096802354,20.476190476190474,0.0
2020-08-09,14.761904761904761,10.15873015873016,13.838383838383837,8.96639592291766,23.22432003104272,22.857142857142858,
2020-08-10,12.38095238095238,4.603174603174604,16.11111111111111,5.8608058608058595,18.287345241126754,27.619047619047617,
2020-08-11,12.38095238095238,4.603174603174604,6.587301587301588,4.76190476190476,15.100532054313565,26.66666666666666,
2020-08-12,12.38095238095238,3.0158730158730167,6.587301587301588,3.388278388278387,12.503129456910967,26.66666666666666,
2020-08-13,12.38095238095238,3.0158730158730167,8.373015873015873,5.769230769230767,11.074558028339538,21.56462585034013,
2020-08-14,12.38095238095238,5.056689342403629,8.373015873015873,5.769230769230767,6.992925375278314,18.70748299319727,
2020-08-15,7.619047619047619,5.056689342403629,7.8061224489795915,5.769230769230767,4.471916971916969,18.70748299319727,
2020-08-16,2.857142857142857,3.628117913832201,6.377551020408163,4.578754578754578,2.8846153846153824,11.56462585034013,0.0
2020-08-17,8.571428571428571,2.0408163265306136,3.996598639455781,4.578754578754578,4.670329670329669,9.659863945578225,0.0
2020-08-18,5.714285714285714,2.0408163265306136,5.017006802721086,4.578754578754578,6.746031746031744,9.659863945578225,0.0
2020-08-19,5.714285714285714,2.0408163265306136,5.017006802721086,8.095238095238093,8.249791144527984,11.700680272108839,0.0
2020-08-20,5.714285714285714,6.802721088435375,3.2312925170068008,7.499999999999999,8.249791144527984,9.659863945578227,0.0
2020-08-21,10.476190476190476,4.761904761904762,3.2312925170068008,7.499999999999999,8.249791144527984,16.80272108843537,0.0
2020-08-22,10.476190476190476,9.523809523809522,2.210884353741495,7.499999999999999,8.249791144527984,16.80272108843537,0.0
2020-08-23,10.476190476190476,9.523809523809522,2.210884353741495,9.540816326530612,8.249791144527984,16.80272108843537,0.0
2020-08-24,,12.38095238095238,1.0204081632653046,11.326530612244897,7.535505430242272,13.945578231292513,0.0
2020-08-25,,12.38095238095238,1.2987012987012976,13.707482993197276,4.360902255639097,9.183673469387752,
2020-08-26,,12.38095238095238,1.2987012987012976,7.993197278911562,4.897959183673469,7.14285714285714,
2020-08-27,,7.619047619047619,6.060606060606058,6.207482993197276,10.340136054421768,7.14285714285714,
2020-08-28,,7.619047619047619,6.060606060606058,6.207482993197276,11.927437641723357,2.857142857142853,
2020-08-29,,2.857142857142857,6.060606060606058,6.207482993197276,14.784580498866214,2.857142857142853,
2020-08-30,,2.857142857142857,6.060606060606058,4.166666666666664,17.95918367346939,2.857142857142853,
2020-08-31,,0.0,7.251082251082248,2.3809523809523787,20.296846011131727,2.857142857142853,
2020-09-01,,0.0,12.301587301587299,0.0,23.593549307835023,9.999999999999996,
2020-09-02,,0.0,12.301587301587299,2.04081632653061,27.108288536859966,11.190476190476186,
2020-09-03,,0.0,7.539682539682537,2.04081632653061,26.929269560848507,11.190476190476186,
2020-09-04,,0.0,7.539682539682537,2.04081632653061,26.929269560848507,11.507936507936503,
2020-09-05,,1.5037593984962405,8.253968253968251,2.04081632653061,25.50069813227708,11.507936507936503,
