State,Cases per million
Andaman and Nicobar Islands,76.73198476870094
Andhra Pradesh,189.5534002575947
Arunachal Pradesh,50.849588373036894
Assam,45.071345102779915
Bihar,76.33246284365359
Chandigarh,586.7329542546832
Chhattisgarh,460.3462020276011
Dadra and Nagar Haveli and Daman and Diu,382.8245865262451
Delhi,1155.3374318715328
Goa,924.4624563773499
Gujarat,204.56857608065914
Haryana,341.11852230624805
Himachal Pradesh,213.29014620036918
India,219.34112498179806
Jammu and Kashmir,147.65197349467013
Jharkhand,121.77705019598261
Karnataka,376.6576124578587
Kerala,665.2004546481503
Ladakh,546.6692962151801
Lakshadweep,1875.9235653869655
Madhya Pradesh,152.67289147660117
Maharashtra,451.848816558544
Manipur,32.34628640372371
Meghalaya,47.7363021211467
Mizoram,60.98187973589425
Nagaland,39.878421614612535
Odisha,120.80025877061682
Puducherry,556.656358889331
Punjab,152.00748438746578
Rajasthan,175.97836349723008
Sikkim,95.61739135473906
Tamil Nadu,166.15681683158047
Telangana,158.9901258450687
Tripura,18.05502005272064
Uttar Pradesh,141.12896536368018
Uttarakhand,352.5826335073417
West Bengal,120.50366133257366
European Union,
United States,
