,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,India,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,European Union,United States,United Kingdom
2020-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.633,0.03357142857142857,
2020-03-05,,,,,,,,,,,,,,0.0030020608542176068,,,,0.008003326150334774,,,,,,,,,,,,,,,,,,,,1.0542857142857143,0.06685714285714286,0.4377142857142857
2020-03-06,,,,,,,,,,,,,,0.0030020608542176068,,,,0.004001663075167387,,,,,,,,,,,,,,,,,,,,1.5514285714285714,0.08971428571428572,0.604
2020-03-07,,,,,,,,,,,,,,0.003209099533818821,,,,0.0,,,,,,,,,,,,,,,,,,,,2.193,0.16014285714285714,0.7071428571428571
2020-03-08,,,,,,,,,,,,,,0.0037266962328218567,,,,0.020008315375836937,,,,,,,,,,,,,,,,,,,,2.952428571428572,0.21014285714285716,0.8185714285714286
2020-03-09,,,,,,,,,0.022904880292453172,,,,,0.004451331611426106,,,,0.024009978451004325,,,,,,,,,,,,,,,0.0,,,,,3.7311428571428573,0.2327142857142857,1.0437142857142856
2020-03-10,,,,,,,,,0.022904880292453172,,,,,0.005900602368634606,,,,0.05602328305234342,,,,,,,,,,,,0.003525913914991587,,,0.0,,,,,4.425857142857143,0.3057142857142857,1.473
