date,Cases,Recent
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-05,,
2020-09-06,,
2020-09-07,768.0,
2020-09-08,848.0,
2020-09-09,859.0,
2020-09-10,908.0,
2020-09-11,970.0,
2020-09-12,1042.0,
2020-09-13,1081.0,
2020-09-14,1110.0,
2020-09-15,1144.0,
2020-09-16,1280.0,
2020-09-17,1315.0,
2020-09-18,1374.0,
2020-09-19,1516.0,
2020-09-20,1620.0,
2020-09-21,1651.0,
2020-09-22,1791.0,
2020-09-23,1856.0,
2020-09-24,2004.0,
2020-09-25,2104.0,
2020-09-26,2178.0,
2020-09-27,2287.0,
2020-09-28,2516.0,
2020-09-29,2653.0,
2020-09-30,2781.0,
2020-10-01,2957.0,
2020-10-02,3206.0,
2020-10-03,3337.0,
2020-10-04,3490.0,
2020-10-05,3836.0,
2020-10-06,4202.0,
2020-10-07,4533.0,
2020-10-08,4825.0,
2020-10-09,5048.0,
2020-10-10,5143.0,
2020-10-11,5303.0,
2020-10-12,5492.0,
2020-10-13,5551.0,
2020-10-14,5748.0,
2020-10-15,5894.0,
2020-10-16,6013.0,
2020-10-17,6251.0,
2020-10-18,6309.0,
2020-10-19,6803.0,
2020-10-20,7126.0,
2020-10-21,7462.0,
2020-10-22,7582.0,
2020-10-23,7665.0,
2020-10-24,7536.0,
2020-10-25,7498.0,
2020-10-26,7121.0,
2020-10-27,6891.0,
2020-10-28,6514.0,
2020-10-29,6343.0,
2020-10-30,6204.0,
2020-10-31,6099.0,
2020-11-01,6093.0,
2020-11-02,6135.0,
2020-11-03,6059.0,
2020-11-04,5989.0,
2020-11-05,5865.0,
2020-11-06,5720.0,
2020-11-07,5722.0,
2020-11-08,5707.0,
2020-11-09,5475.0,
2020-11-10,5353.0,
2020-11-11,5248.0,
2020-11-12,5188.0,
2020-11-13,5160.0,
2020-11-14,5100.0,
2020-11-15,4892.0,
2020-11-16,4677.0,
2020-11-17,4538.0,
2020-11-18,4363.0,
2020-11-19,4150.0,
2020-11-20,3917.0,
2020-11-21,3714.0,
2020-11-22,3612.0,
2020-11-23,3411.0,
2020-11-24,3252.0,
2020-11-25,3136.0,
2020-11-26,3060.0,
2020-11-27,3026.0,
2020-11-28,3013.0,
2020-11-29,2947.0,
2020-11-30,2923.0,
2020-12-01,2840.0,
2020-12-02,2781.0,
2020-12-03,2699.0,
2020-12-04,2688.0,
2020-12-05,2670.0,
2020-12-06,2680.0,
2020-12-07,2656.0,
2020-12-08,2708.0,
2020-12-09,2710.0,
2020-12-10,2867.0,
2020-12-11,2927.0,
2020-12-12,3003.0,
2020-12-13,3025.0,
2020-12-14,3134.0,
2020-12-15,3246.0,
2020-12-16,3351.0,
2020-12-17,3339.0,
2020-12-18,3397.0,
2020-12-19,3399.0,
2020-12-20,3563.0,
2020-12-21,3719.0,
2020-12-22,3806.0,
2020-12-23,3947.0,
2020-12-24,3958.0,
2020-12-25,3657.0,
2020-12-26,3892.0,
2020-12-27,4137.0,
2020-12-28,4168.0,
2020-12-29,4786.0,
2020-12-30,5379.0,
2020-12-31,5900.0,
2021-01-01,6218.0,
2021-01-02,6824.0,
2021-01-03,7168.0,
2021-01-04,7941.0,
2021-01-05,7967.0,
2021-01-06,7898.0,
2021-01-07,8071.0,
2021-01-08,8561.0,
2021-01-09,8285.0,
2021-01-10,8143.0,
2021-01-11,8104.0,
2021-01-12,8070.0,
2021-01-13,7961.0,
2021-01-14,7860.0,
2021-01-15,7743.0,
2021-01-16,7599.0,
2021-01-17,7385.0,
2021-01-18,7103.0,
2021-01-19,7039.0,
2021-01-20,6913.0,
2021-01-21,6600.0,
2021-01-22,6431.0,6431.0
2021-01-23,,6194.0
2021-01-24,,5995.0
2021-01-25,,5588.0
2021-01-26,,5017.0
2021-01-27,,4140.0
