date,Cases,Recent
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-05,,
2020-09-06,,
2020-09-07,324.0,
2020-09-08,366.0,
2020-09-09,422.0,
2020-09-10,466.0,
2020-09-11,491.0,
2020-09-12,502.0,
2020-09-13,547.0,
2020-09-14,561.0,
2020-09-15,596.0,
2020-09-16,627.0,
2020-09-17,697.0,
2020-09-18,779.0,
2020-09-19,872.0,
2020-09-20,979.0,
2020-09-21,1065.0,
2020-09-22,1180.0,
2020-09-23,1304.0,
2020-09-24,1402.0,
2020-09-25,1514.0,
2020-09-26,1615.0,
2020-09-27,1719.0,
2020-09-28,1977.0,
2020-09-29,2207.0,
2020-09-30,2477.0,
2020-10-01,2773.0,
2020-10-02,2956.0,
2020-10-03,3087.0,
2020-10-04,3247.0,
2020-10-05,3415.0,
2020-10-06,3611.0,
2020-10-07,3720.0,
2020-10-08,3810.0,
2020-10-09,3807.0,
2020-10-10,3756.0,
2020-10-11,3658.0,
2020-10-12,3642.0,
2020-10-13,3502.0,
2020-10-14,3304.0,
2020-10-15,3104.0,
2020-10-16,3019.0,
2020-10-17,2987.0,
2020-10-18,2885.0,
2020-10-19,2836.0,
2020-10-20,2741.0,
2020-10-21,2676.0,
2020-10-22,2574.0,
2020-10-23,2487.0,
2020-10-24,2376.0,
2020-10-25,2322.0,
2020-10-26,2113.0,
2020-10-27,2008.0,
2020-10-28,1890.0,
2020-10-29,1793.0,
2020-10-30,1744.0,
2020-10-31,1680.0,
2020-11-01,1618.0,
2020-11-02,1559.0,
2020-11-03,1481.0,
2020-11-04,1412.0,
2020-11-05,1355.0,
2020-11-06,1337.0,
2020-11-07,1348.0,
2020-11-08,1407.0,
2020-11-09,1431.0,
2020-11-10,1425.0,
2020-11-11,1466.0,
2020-11-12,1469.0,
2020-11-13,1409.0,
2020-11-14,1390.0,
2020-11-15,1306.0,
2020-11-16,1179.0,
2020-11-17,1156.0,
2020-11-18,1040.0,
2020-11-19,950.0,
2020-11-20,887.0,
2020-11-21,808.0,
2020-11-22,751.0,
2020-11-23,698.0,
2020-11-24,591.0,
2020-11-25,577.0,
2020-11-26,534.0,
2020-11-27,502.0,
2020-11-28,494.0,
2020-11-29,503.0,
2020-11-30,484.0,
2020-12-01,466.0,
2020-12-02,437.0,
2020-12-03,455.0,
2020-12-04,448.0,
2020-12-05,441.0,
2020-12-06,442.0,
2020-12-07,451.0,
2020-12-08,453.0,
2020-12-09,461.0,
2020-12-10,461.0,
2020-12-11,487.0,
2020-12-12,499.0,
2020-12-13,498.0,
2020-12-14,524.0,
2020-12-15,582.0,
2020-12-16,649.0,
2020-12-17,703.0,
2020-12-18,751.0,
2020-12-19,793.0,
2020-12-20,864.0,
2020-12-21,920.0,
2020-12-22,977.0,
2020-12-23,1029.0,
2020-12-24,1060.0,
2020-12-25,972.0,
2020-12-26,1032.0,
2020-12-27,1136.0,
2020-12-28,1206.0,
2020-12-29,1568.0,
2020-12-30,1931.0,
2020-12-31,2297.0,
2021-01-01,2457.0,
2021-01-02,3049.0,
2021-01-03,3610.0,
2021-01-04,4295.0,
2021-01-05,4674.0,
2021-01-06,4811.0,
2021-01-07,4971.0,
2021-01-08,5447.0,
2021-01-09,5257.0,
2021-01-10,5051.0,
2021-01-11,4882.0,
2021-01-12,4634.0,
2021-01-13,4561.0,
2021-01-14,4419.0,
2021-01-15,4205.0,
2021-01-16,4051.0,
2021-01-17,3856.0,
2021-01-18,3614.0,
2021-01-19,3404.0,
2021-01-20,3185.0,
2021-01-21,3029.0,
2021-01-22,2902.0,
2021-01-23,2741.0,
2021-01-24,2583.0,
2021-01-25,2390.0,
2021-01-26,2194.0,
2021-01-27,2087.0,
2021-01-28,1935.0,
2021-01-29,1810.0,
2021-01-30,1737.0,
2021-01-31,1675.0,
2021-02-01,1554.0,
2021-02-02,1536.0,
2021-02-03,1457.0,
2021-02-04,1431.0,
2021-02-05,1383.0,
2021-02-06,1386.0,
2021-02-07,1340.0,
2021-02-08,1306.0,
2021-02-09,1246.0,
2021-02-10,1177.0,
2021-02-11,1093.0,1093.0
2021-02-12,,1046.0
2021-02-13,,968.0
2021-02-14,,929.0
2021-02-15,,885.0
2021-02-16,,719.0
