date,England,London,Kent and Medway
2020-09-01,1.2,1.4,0.6
2020-09-02,1.3,1.5,0.6109071496037124
2020-09-03,1.4,1.6,0.6211903460126533
2020-09-04,1.5,1.6,0.7216862121268173
2020-09-05,1.6,1.7,0.6428026588209654
2020-09-06,1.7,1.7,0.8213533181275119
2020-09-07,1.7,1.8,0.8103959727008583
2020-09-08,1.8,1.8,0.810329371140182
2020-09-09,1.8,1.9,0.8
2020-09-10,1.8,1.9,0.6897867810513791
2020-09-11,1.8,1.9,0.6788035516756854
2020-09-12,1.8,1.8,0.6
2020-09-13,1.7,1.8,0.5104460303300625
2020-09-14,1.7,1.7,0.5205235158989239
2020-09-15,1.7,1.6,0.5204669377918361
2020-09-16,1.8,1.6,0.5206631106800824
2020-09-17,1.8,1.6,0.5107625512138445
2020-09-18,2.0,1.6,0.5110576325922246
2020-09-19,2.1,1.7,0.522550286030633
2020-09-20,2.3,1.9,0.5466041799375133
2020-09-21,2.5,1.9,0.671529857588167
2020-09-22,2.7,2.1,0.7610768281394631
2020-09-23,2.8,2.3,0.8504455106237149
2020-09-24,3.0,2.4,0.8737466010815435
2020-09-25,3.1,2.5,0.8740662966851658
2020-09-26,3.2,2.6,0.8628105357677341
2020-09-27,3.4,2.7,0.9375089777352167
2020-09-28,3.7,2.9,1.02557320277048
2020-09-29,4.0,3.0,1.0383849357233388
2020-09-30,4.3,3.2,1.0616976174837285
2020-10-01,4.7,3.4,1.149756329490075
2020-10-02,5.0,3.6,1.362007845416243
2020-10-03,5.2,3.8,1.47351595562164
2020-10-04,5.5,3.9,1.5731657781162731
2020-10-05,5.8,4.2,1.6613293389702386
2020-10-06,6.1,4.4,1.772908925769961
2020-10-07,6.3,4.6,1.9011089332223503
2020-10-08,6.5,4.7,2.075824775770181
2020-10-09,6.5,4.8,2.0504085448630924
2020-10-10,6.6,4.9,2.0376029981774777
2020-10-11,6.7,4.9,2.025117029023198
2020-10-12,6.9,5.1,2.0624718803758104
2020-10-13,7.0,5.2,2.1627638951589345
2020-10-14,7.1,5.3,2.3247973321042217
2020-10-15,7.2,5.5,2.3609105435636324
2020-10-16,7.2,5.6,2.4616302186878722
2020-10-17,7.3,5.7,2.5613033971521517
2020-10-18,7.4,5.9,2.5613032370216238
2020-10-19,7.8,6.2,2.8741273100616014
2020-10-20,8.1,6.6,3.186083005310014
2020-10-21,8.3,6.9,3.422269951350792
2020-10-22,8.5,7.1,3.6114952529621007
2020-10-23,8.6,7.3,3.8229777553083917
2020-10-24,8.7,7.4,4.060838545984375
2020-10-25,8.8,7.4,4.122540331742785
2020-10-26,9.0,7.7,4.5375486480950435
2020-10-27,9.2,7.7,4.911548976118016
2020-10-28,9.3,7.7,5.1219882619439865
2020-10-29,9.2,7.1,5.359068825910931
2020-10-30,9.2,6.6,5.455883520190495
2020-10-31,9.2,6.3,5.478546224417784
2020-11-01,9.2,6.2,5.804953963407418
2020-11-02,9.2,5.9,6.093088799561483
2020-11-03,9.2,5.6,6.16779582977044
2020-11-04,9.1,5.5,6.2342754475918305
2020-11-05,9.1,5.6,6.313953207425603
2020-11-06,9.0,5.7,6.409740372887263
2020-11-07,9.0,5.8,6.625639767494527
2020-11-08,9.1,5.9,6.9279758353221945
2020-11-09,9.3,6.6,7.42903838704322
2020-11-10,9.6,7.3,7.941720896601591
2020-11-11,9.7,7.9,8.57237193046997
2020-11-12,9.7,8.4,9.183829725410432
2020-11-13,9.8,9.0,9.783871196664597
2020-11-14,9.8,9.3,9.989825208607817
2020-11-15,9.7,9.6,10.092199317550216
2020-11-16,9.5,9.6,10.403178411319699
2020-11-17,9.4,9.5,10.452356597957673
2020-11-18,9.0,9.4,10.515515151515151
2020-11-19,8.7,9.2,10.210846973671103
2020-11-20,8.3,8.9,10.002012059247607
2020-11-21,8.0,8.7,9.935408472134542
2020-11-22,7.7,8.5,9.799855965431703
2020-11-23,7.4,8.3,9.932514476223899
2020-11-24,7.2,8.1,10.197744312617402
2020-11-25,6.9,7.9,10.103485135285602
2020-11-26,6.6,7.7,10.151332213342544
2020-11-27,6.5,7.7,10.34049255530679
2020-11-28,6.4,7.7,10.559213574603971
2020-11-29,6.4,7.7,10.807324905301554
2020-11-30,6.4,7.8,10.92409501547792
2020-12-01,6.4,7.9,11.184143230560894
2020-12-02,6.3,8.1,11.296591087276946
2020-12-03,6.3,8.2,11.573578595317727
2020-12-04,6.3,8.4,11.757460558534545
2020-12-05,6.3,8.6,12.05641344573947
2020-12-06,6.4,8.8,12.268751045738709
2020-12-07,6.6,9.2,12.712035907399876
2020-12-08,6.8,9.6,13.111427044995846
2020-12-09,7.0,10.0,13.583950419482637
2020-12-10,7.2,10.6,13.848916636063166
2020-12-11,7.4,11.0,14.099345182413469
2020-12-12,7.6,11.4,14.058635180076825
2020-12-13,7.9,12.0,14.237378047259025
2020-12-14,8.4,12.7,14.749001463575844
2020-12-15,8.9,13.4,15.418955739816093
2020-12-16,9.3,14.0,15.71854955121178
2020-12-17,9.5,14.5,15.871209044279283
2020-12-18,9.8,14.8,15.740956559539818
2020-12-19,9.8,14.9,15.803760018738988
2020-12-20,9.9,14.9,15.832692326863453
2020-12-21,10.1,15.2,15.644166780374652
2020-12-22,10.4,15.7,15.497056002148765
