date,cases
2020-03-20,841
2020-03-21,1081
2020-03-22,1266
2020-03-23,1559
2020-03-24,1705
2020-03-25,2051
2020-03-26,2244
2020-03-27,2829
2020-03-28,3114
2020-03-29,3464
2020-03-30,3638
2020-03-31,4073
2020-04-01,4219
2020-04-02,4168
2020-04-03,4092
2020-04-04,4691
2020-04-05,4869
2020-04-06,5058
2020-04-07,5025
2020-04-08,5198
2020-04-09,5201
2020-04-10,5168
2020-04-11,4910
2020-04-12,4931
2020-04-13,4799
2020-04-14,4621
2020-04-15,4509
2020-04-16,4395
2020-04-17,4219
2020-04-18,3993
2020-04-19,4021
2020-04-20,3940
2020-04-21,3922
2020-04-22,3768
2020-04-23,3510
2020-04-24,3281
2020-04-25,3198
2020-04-26,3115
2020-04-27,3117
2020-04-28,2794
2020-04-29,2811
2020-04-30,2703
2020-05-01,2596
2020-05-02,2432
2020-05-03,2390
2020-05-04,2328
2020-05-05,2270
2020-05-06,2154
2020-05-07,2086
2020-05-08,1955
2020-05-09,1971
2020-05-10,1889
2020-05-11,1880
2020-05-12,1827
2020-05-13,1777
2020-05-14,1667
2020-05-15,1625
2020-05-16,1552
2020-05-17,1454
2020-05-18,1496
2020-05-19,1390
2020-05-20,1247
2020-05-21,1224
2020-05-22,1240
2020-05-23,1165
2020-05-24,1160
2020-05-25,1174
2020-05-26,1144
2020-05-27,1091
2020-05-28,1029
2020-05-29,1002
2020-05-30,915
2020-05-31,891
2020-06-01,862
2020-06-02,855
2020-06-03,813
2020-06-04,795
2020-06-05,783
2020-06-06,707
2020-06-07,691
2020-06-08,701
2020-06-09,707
2020-06-10,675
2020-06-11,620
2020-06-12,568
2020-06-13,540
2020-06-14,531
2020-06-15,503
2020-06-16,539
2020-06-17,508
2020-06-18,494
2020-06-19,466
2020-06-20,466
2020-06-21,446
2020-06-22,453
2020-06-23,452
2020-06-24,477
2020-06-25,439
2020-06-26,423
2020-06-27,408
2020-06-28,392
2020-06-29,398
2020-06-30,386
2020-07-01,334
2020-07-02,320
2020-07-03,316
2020-07-04,293
2020-07-05,288
2020-07-06,291
2020-07-07,284
2020-07-08,269
2020-07-09,265
2020-07-10,255
2020-07-11,206
2020-07-12,247
2020-07-13,247
2020-07-14,229
2020-07-15,212
2020-07-16,191
2020-07-17,187
2020-07-18,179
2020-07-19,179
2020-07-20,180
2020-07-21,175
2020-07-22,173
2020-07-23,165
2020-07-24,147
2020-07-25,108
2020-07-26,139
2020-07-27,133
2020-07-28,127
2020-07-29,131
2020-07-30,134
2020-07-31,128
2020-08-01,126
2020-08-02,120
2020-08-03,122
2020-08-04,118
2020-08-05,111
2020-08-06,113
2020-08-07,105
2020-08-08,126
2020-08-09,107
2020-08-10,107
2020-08-11,105
2020-08-12,111
2020-08-13,104
2020-08-14,103
2020-08-15,100
2020-08-16,100
2020-08-17,107
2020-08-18,98
2020-08-19,90
2020-08-20,89
2020-08-21,84
2020-08-22,79
2020-08-23,84
2020-08-24,85
2020-08-25,81
2020-08-26,83
2020-08-27,86
2020-08-28,82
2020-08-29,73
2020-08-30,78
2020-08-31,81
2020-09-01,88
2020-09-02,84
2020-09-03,87
2020-09-04,86
2020-09-05,90
2020-09-06,87
2020-09-07,98
2020-09-08,100
2020-09-09,96
2020-09-10,98
2020-09-11,115
2020-09-12,98
2020-09-13,100
2020-09-14,123
2020-09-15,136
2020-09-16,137
2020-09-17,147
2020-09-18,150
2020-09-19,161
2020-09-20,171
2020-09-21,190
2020-09-22,210
2020-09-23,210
2020-09-24,219
2020-09-25,230
2020-09-26,200
2020-09-27,224
2020-09-28,267
2020-09-29,275
2020-09-30,278
2020-10-01,275
2020-10-02,276
2020-10-03,280
2020-10-04,287
2020-10-05,326
2020-10-06,320
2020-10-07,350
2020-10-08,343
2020-10-09,348
2020-10-10,341
2020-10-11,365
2020-10-12,389
2020-10-13,442
2020-10-14,430
2020-10-15,439
2020-10-16,490
2020-10-17,502
2020-10-18,542
2020-10-19,594
2020-10-20,610
2020-10-21,633
2020-10-22,606
2020-10-23,698
2020-10-24,722
2020-10-25,762
2020-10-26,815
2020-10-27,889
2020-10-28,933
2020-10-29,921
2020-10-30,945
2020-10-31,963
2020-11-01,1032
2020-11-02,1067
2020-11-03,1111
2020-11-04,1132
2020-11-05,1102
2020-11-06,1085
2020-11-07,1108
2020-11-08,1114
2020-11-09,1210
2020-11-10,1211
2020-11-11,1223
2020-11-12,1269
2020-11-13,1298
2020-11-14,1357
2020-11-15,1390
2020-11-16,1474
2020-11-17,1520
2020-11-18,1519
2020-11-19,1551
2020-11-20,1576
2020-11-21,1591
2020-11-22,1605
2020-11-23,1675
2020-11-24,1626
2020-11-25,1611
2020-11-26,1643
2020-11-27,1674
2020-11-28,1635
2020-11-29,1663
2020-11-30,1677
2020-12-01,1701
2020-12-02,1637
2020-12-03,1685
2020-12-04,1659
2020-12-05,1710
2020-12-06,1766
2020-12-07,1822
2020-12-08,1849
2020-12-09,1787
2020-12-10,1934
2020-12-11,2031
2020-12-12,2092
2020-12-13,2212
2020-12-14,2330
2020-12-15,2482
2020-12-16,2543
2020-12-17,2607
2020-12-18,2726
2020-12-19,2909
2020-12-20,3067
2020-12-21,3367
2020-12-22,3559
2020-12-23,3578
2020-12-24,3966
2020-12-25,4019
2020-12-26,4276
2020-12-27,4591
2020-12-28,4957
2020-12-29,5371
2020-12-30,5524
2020-12-31,5685
2021-01-01,5511
2021-01-02,5861
2021-01-03,6358
