date,beds
2020-04-02,673
2020-04-03,759
2020-04-04,824
2020-04-05,800
2020-04-06,914
2020-04-07,876
2020-04-08,941
2020-04-09,849
2020-04-10,1057
2020-04-11,1035
2020-04-12,1035
2020-04-13,1046
2020-04-14,1026
2020-04-15,1023
2020-04-16,1012
2020-04-17,982
2020-04-18,992
2020-04-19,991
2020-04-20,1019
2020-04-21,972
2020-04-22,927
2020-04-23,897
2020-04-24,836
2020-04-25,868
2020-04-26,831
2020-04-27,800
2020-04-28,755
2020-04-29,733
2020-04-30,723
2020-05-01,712
2020-05-02,678
2020-05-03,638
2020-05-04,587
2020-05-05,565
2020-05-06,580
2020-05-07,565
2020-05-08,531
2020-05-09,516
2020-05-10,466
2020-05-11,457
2020-05-12,425
2020-05-13,413
2020-05-14,395
2020-05-15,405
2020-05-16,384
2020-05-17,374
2020-05-18,349
2020-05-19,333
2020-05-20,313
2020-05-21,307
2020-05-22,287
2020-05-23,272
2020-05-24,271
2020-05-25,276
2020-05-26,268
2020-05-27,228
2020-05-28,222
2020-05-29,207
2020-05-30,213
2020-05-31,197
2020-06-01,170
2020-06-02,159
2020-06-03,148
2020-06-04,139
2020-06-05,137
2020-06-06,140
2020-06-07,134
2020-06-08,134
2020-06-09,129
2020-06-10,115
2020-06-11,100
2020-06-12,100
2020-06-13,100
2020-06-14,100
2020-06-15,98
2020-06-16,97
2020-06-17,84
2020-06-18,83
2020-06-19,72
2020-06-20,71
2020-06-21,69
2020-06-22,75
2020-06-23,80
2020-06-24,77
2020-06-25,67
2020-06-26,67
2020-06-27,62
2020-06-28,63
2020-06-29,62
2020-06-30,66
2020-07-01,59
2020-07-02,54
2020-07-03,51
2020-07-04,51
2020-07-05,47
2020-07-06,52
2020-07-07,48
2020-07-08,45
2020-07-09,45
2020-07-10,39
2020-07-11,38
2020-07-12,37
2020-07-13,34
2020-07-14,35
2020-07-15,30
2020-07-16,28
2020-07-17,29
2020-07-18,29
2020-07-19,32
2020-07-20,30
2020-07-21,29
2020-07-22,25
2020-07-23,25
2020-07-24,21
2020-07-25,17
2020-07-26,18
2020-07-27,19
2020-07-28,17
2020-07-29,17
2020-07-30,19
2020-07-31,18
2020-08-01,16
2020-08-02,15
2020-08-03,17
2020-08-04,15
2020-08-05,13
2020-08-06,11
2020-08-07,10
2020-08-08,10
2020-08-09,12
2020-08-10,12
2020-08-11,13
2020-08-12,17
2020-08-13,15
2020-08-14,15
2020-08-15,15
2020-08-16,19
2020-08-17,19
2020-08-18,19
2020-08-19,15
2020-08-20,15
2020-08-21,16
2020-08-22,18
2020-08-23,20
2020-08-24,15
2020-08-25,16
2020-08-26,16
2020-08-27,16
2020-08-28,12
2020-08-29,15
2020-08-30,13
2020-08-31,14
2020-09-01,14
2020-09-02,13
2020-09-03,12
2020-09-04,12
2020-09-05,11
2020-09-06,13
2020-09-07,13
2020-09-08,15
2020-09-09,16
2020-09-10,14
2020-09-11,15
2020-09-12,12
2020-09-13,16
2020-09-14,21
2020-09-15,26
2020-09-16,26
2020-09-17,25
2020-09-18,25
2020-09-19,32
2020-09-20,32
2020-09-21,31
2020-09-22,37
2020-09-23,35
2020-09-24,40
2020-09-25,47
2020-09-26,38
2020-09-27,48
2020-09-28,48
2020-09-29,50
2020-09-30,49
2020-10-01,49
2020-10-02,56
2020-10-03,56
2020-10-04,50
2020-10-05,56
2020-10-06,60
2020-10-07,59
2020-10-08,51
2020-10-09,50
2020-10-10,52
2020-10-11,57
2020-10-12,65
2020-10-13,66
2020-10-14,77
2020-10-15,78
2020-10-16,80
2020-10-17,83
2020-10-18,87
2020-10-19,89
2020-10-20,88
2020-10-21,90
2020-10-22,81
2020-10-23,99
2020-10-24,98
2020-10-25,111
2020-10-26,117
2020-10-27,119
2020-10-28,124
2020-10-29,131
2020-10-30,134
2020-10-31,132
2020-11-01,136
2020-11-02,142
2020-11-03,147
2020-11-04,151
2020-11-05,154
2020-11-06,155
2020-11-07,156
2020-11-08,167
2020-11-09,179
2020-11-10,179
2020-11-11,181
2020-11-12,178
2020-11-13,194
2020-11-14,202
2020-11-15,214
2020-11-16,209
2020-11-17,218
2020-11-18,220
2020-11-19,222
2020-11-20,233
2020-11-21,251
2020-11-22,248
2020-11-23,252
2020-11-24,253
2020-11-25,261
2020-11-26,251
2020-11-27,267
2020-11-28,248
2020-11-29,260
2020-11-30,253
2020-12-01,259
2020-12-02,256
2020-12-03,256
2020-12-04,249
2020-12-05,238
2020-12-06,242
2020-12-07,244
2020-12-08,249
2020-12-09,241
2020-12-10,256
2020-12-11,261
2020-12-12,256
