date,20-24,30-34,40-44,50-54,60+
2021-01-01,800.5,742.0,794.2,688.6,423.0
2021-01-02,899.4,783.2,931.1,746.0,455.1
2021-01-03,980.4,803.8,903.7,791.9,483.9
2021-01-04,989.4,927.5,958.5,906.7,535.2
2021-01-05,1016.4,906.8,903.7,803.4,506.3
2021-01-06,872.5,865.6,849.0,769.0,477.5
2021-01-07,872.5,875.9,766.8,711.6,474.3
2021-01-08,899.4,865.6,753.1,757.5,467.9
2021-01-09,836.5,845.0,643.6,700.1,442.3
2021-01-10,728.5,814.1,643.6,619.8,435.8
2021-01-11,683.6,711.0,547.7,573.9,419.8
2021-01-12,611.6,731.7,506.6,642.7,426.2
2021-01-13,638.6,690.4,465.6,631.2,442.3
2021-01-14,647.6,711.0,575.1,539.4,435.8
2021-01-15,656.6,690.4,588.8,493.5,442.3
2021-01-16,665.6,762.6,643.6,539.4,477.5
2021-01-17,665.6,772.9,602.5,539.4,442.3
2021-01-18,710.6,772.9,671.0,459.1,451.9
2021-01-19,665.6,783.2,629.9,401.7,439.0
2021-01-20,611.6,793.5,657.3,355.8,394.2
2021-01-21,575.6,752.3,712.0,390.2,455.1
2021-01-22,521.7,762.6,712.0,436.1,458.3
2021-01-23,476.7,680.1,657.3,401.7,477.5
2021-01-24,494.7,680.1,629.9,413.2,477.5
2021-01-25,467.7,659.5,575.1,447.6,432.6
2021-01-26,440.7,628.6,602.5,459.1,451.9
2021-01-27,440.7,597.7,616.2,470.6,445.5
2021-01-28,413.7,577.1,575.1,424.7,375.0
2021-01-29,458.7,535.9,520.3,378.7,352.5
2021-01-30,467.7,484.3,520.3,413.2,285.2
2021-01-31,413.7,474.0,588.8,390.2,266.0
2021-02-01,368.8,463.7,602.5,459.1,272.4
2021-02-02,368.8,443.1,588.8,459.1,233.9
2021-02-03,359.8,546.2,534.0,413.2,221.1
2021-02-04,350.8,618.3,561.4,470.6,198.7
2021-02-05,296.8,628.6,561.4,493.5,201.9
2021-02-06,332.8,711.0,616.2,459.1,230.7
2021-02-07,386.8,762.6,588.8,424.7,250.0
2021-02-08,422.7,731.7,547.7,367.3,208.3
2021-02-09,404.7,700.7,506.6,321.4,185.9
2021-02-10,413.7,577.1,575.1,355.8,217.9
2021-02-11,431.7,535.9,520.3,332.8,198.7
2021-02-12,440.7,484.3,643.6,344.3,185.9
2021-02-13,386.8,401.9,561.4,390.2,179.5
2021-02-14,368.8,340.1,561.4,390.2,182.7
2021-02-15,377.8,391.6,561.4,367.3,224.3
2021-02-16,422.7,432.8,588.8,355.8,256.4
2021-02-17,377.8,401.9,492.9,332.8,253.2
2021-02-18,413.7,350.4,451.9,298.4,250.0
2021-02-19,404.7,371.0,342.3,241.0,240.4
2021-02-20,395.8,360.7,314.9,206.6,217.9
2021-02-21,350.8,309.2,301.2,229.5,189.1
2021-02-22,305.8,226.7,287.6,195.1,150.6
2021-02-23,260.8,154.6,246.5,195.1,121.8
2021-02-24,251.8,154.6,314.9,172.2,89.7
2021-02-25,197.9,154.6,314.9,183.6,86.5
2021-02-26,152.9,144.3,287.6,206.6,92.9
2021-02-27,179.9,134.0,301.2,195.1,86.5
2021-02-28,197.9,154.6,314.9,160.7,92.9
2021-03-01,179.9,175.2,301.2,160.7,86.5
2021-03-02,170.9,185.5,301.2,160.7,80.1
2021-03-03,152.9,206.1,246.5,206.6,70.5
