date,Cases,Recent
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-05,,
2020-09-06,,
2020-09-07,181.0,
2020-09-08,195.0,
2020-09-09,200.0,
2020-09-10,214.0,
2020-09-11,222.0,
2020-09-12,214.0,
2020-09-13,206.0,
2020-09-14,208.0,
2020-09-15,228.0,
2020-09-16,270.0,
2020-09-17,277.0,
2020-09-18,341.0,
2020-09-19,402.0,
2020-09-20,518.0,
2020-09-21,641.0,
2020-09-22,700.0,
2020-09-23,784.0,
2020-09-24,880.0,
2020-09-25,967.0,
2020-09-26,1163.0,
2020-09-27,1255.0,
2020-09-28,1432.0,
2020-09-29,1722.0,
2020-09-30,1899.0,
2020-10-01,2178.0,
2020-10-02,2383.0,
2020-10-03,2526.0,
2020-10-04,2761.0,
2020-10-05,2852.0,
2020-10-06,2922.0,
2020-10-07,2958.0,
2020-10-08,2844.0,
2020-10-09,2681.0,
2020-10-10,2416.0,
2020-10-11,2104.0,
2020-10-12,1924.0,
2020-10-13,1649.0,
2020-10-14,1485.0,
2020-10-15,1331.0,
2020-10-16,1244.0,
2020-10-17,1162.0,
2020-10-18,1127.0,
2020-10-19,1058.0,
2020-10-20,1072.0,
2020-10-21,1045.0,
2020-10-22,1043.0,
2020-10-23,1015.0,
2020-10-24,1034.0,
2020-10-25,1037.0,
2020-10-26,1046.0,
2020-10-27,976.0,
2020-10-28,920.0,
2020-10-29,884.0,
2020-10-30,896.0,
2020-10-31,906.0,
2020-11-01,899.0,
2020-11-02,898.0,
2020-11-03,945.0,
2020-11-04,999.0,
2020-11-05,1059.0,
2020-11-06,1123.0,
2020-11-07,1160.0,
2020-11-08,1200.0,
2020-11-09,1279.0,
2020-11-10,1288.0,
2020-11-11,1364.0,
2020-11-12,1350.0,
2020-11-13,1372.0,
2020-11-14,1361.0,
2020-11-15,1330.0,
2020-11-16,1265.0,
2020-11-17,1263.0,
2020-11-18,1185.0,
2020-11-19,1158.0,
2020-11-20,1043.0,
2020-11-21,970.0,
2020-11-22,914.0,
2020-11-23,837.0,
2020-11-24,728.0,
2020-11-25,659.0,
2020-11-26,599.0,
2020-11-27,568.0,
2020-11-28,547.0,
2020-11-29,519.0,
2020-11-30,470.0,
2020-12-01,452.0,
2020-12-02,415.0,
2020-12-03,390.0,
2020-12-04,366.0,
2020-12-05,344.0,
2020-12-06,349.0,
2020-12-07,336.0,
2020-12-08,341.0,
2020-12-09,355.0,
2020-12-10,382.0,
2020-12-11,411.0,
2020-12-12,446.0,
2020-12-13,467.0,
2020-12-14,486.0,
2020-12-15,511.0,
2020-12-16,500.0,
2020-12-17,468.0,
2020-12-18,464.0,
2020-12-19,438.0,
2020-12-20,426.0,
2020-12-21,428.0,
2020-12-22,416.0,
2020-12-23,437.0,
2020-12-24,447.0,
2020-12-25,400.0,
2020-12-26,428.0,
2020-12-27,440.0,
2020-12-28,450.0,
2020-12-29,515.0,
2020-12-30,559.0,
2020-12-31,606.0,
2021-01-01,653.0,
2021-01-02,714.0,
2021-01-03,771.0,
2021-01-04,854.0,
2021-01-05,844.0,
2021-01-06,836.0,
2021-01-07,850.0,
2021-01-08,900.0,
2021-01-09,867.0,
2021-01-10,837.0,837.0
2021-01-11,,812.0
2021-01-12,,803.0
2021-01-13,,817.0
2021-01-14,,827.0
2021-01-15,,718.0
