,Number of not spots
2020-03-10,0
2020-03-17,0
2020-03-24,0
2020-03-31,0
2020-04-07,0
2020-04-14,0
2020-04-21,0
2020-04-28,0
2020-05-05,0
2020-05-12,0
2020-05-19,0
2020-05-26,0
2020-06-02,0
2020-06-09,0
2020-06-16,0
2020-06-23,0
2020-06-30,0
2020-07-07,0
2020-07-14,0
2020-07-21,0
2020-07-28,0
2020-08-04,0
2020-08-11,0
2020-08-18,0
2020-08-25,0
2020-09-01,0
2020-09-08,0
2020-09-15,0
2020-09-22,0
2020-09-29,0
2020-10-06,0
2020-10-13,0
2020-10-20,0
2020-10-27,0
2020-11-03,0
2020-11-10,0
2020-11-17,0
2020-11-24,0
2020-12-01,0
2020-12-08,0
2020-12-15,0
2020-12-22,0
2020-12-29,0
2021-01-05,0
2021-01-12,0
2021-01-19,0
2021-01-26,0
2021-02-02,0
2021-02-09,0
2021-02-16,0
2021-02-23,0
2021-03-02,0
2021-03-09,0
2021-03-16,0
2021-03-23,0
2021-03-30,0
2021-04-06,0
2021-04-13,0
