,India,Germany,United Kingdom,United States,Canada,France
2020-03-01,,,,0.0,,0.0
2020-03-02,,,,5.0,,1.0
2020-03-03,,,,1.0,,1.0
2020-03-04,,,,4.0,,0.0
2020-03-05,,,,1.0,,3.0
2020-03-06,,,1.0,2.0,,2.0
2020-03-07,,,1.0,3.0,,7.0
2020-03-08,,,0.0,4.0,,3.0
2020-03-09,,2.0,1.0,1.0,1.0,6.0
2020-03-10,,0.0,4.0,6.0,0.0,8.0
2020-03-11,1.0,1.0,0.0,5.0,0.0,15.0
2020-03-12,0.0,0.0,2.0,10.0,0.0,0.0
2020-03-13,1.0,4.0,1.0,8.0,0.0,31.0
2020-03-14,0.0,2.0,19.0,7.0,0.0,12.0
2020-03-15,0.0,2.0,14.0,12.0,0.0,0.0
2020-03-16,0.0,6.0,23.0,27.0,3.0,58.0
2020-03-17,1.0,7.0,17.0,37.0,2.0,0.0
2020-03-18,0.0,4.0,34.0,60.0,5.0,0.0
2020-03-19,1.0,16.0,46.0,72.0,0.0,95.0
2020-03-20,1.0,23.0,32.0,106.0,4.0,207.0
2020-03-21,-1.0,17.0,58.0,103.0,4.0,112.0
2020-03-22,3.0,10.0,36.0,113.0,3.0,113.0
2020-03-23,3.0,29.0,76.0,191.0,7.0,186.0
2020-03-24,0.0,34.0,148.0,241.0,4.0,240.0
2020-03-25,2.0,49.0,191.0,330.0,9.0,231.0
2020-03-26,8.0,61.0,182.0,417.0,15.0,364.0
2020-03-27,0.0,75.0,288.0,516.0,9.0,299.0
2020-03-28,4.0,91.0,292.0,637.0,16.0,318.0
2020-03-29,3.0,100.0,213.0,608.0,14.0,294.0
2020-03-30,5.0,112.0,374.0,709.0,29.0,418.0
2020-03-31,3.0,130.0,404.0,1097.0,27.0,500.0
2020-04-01,23.0,145.0,673.0,1315.0,23.0,1252.0
2020-04-02,14.0,187.0,657.0,1507.0,49.0,609.0
2020-04-03,0.0,168.0,737.0,1429.0,53.0,1122.0
2020-04-04,14.0,169.0,757.0,1566.0,83.0,1053.0
2020-04-05,13.0,140.0,601.0,1624.0,75.0,519.0
2020-04-06,37.0,226.0,570.0,1767.0,85.0,833.0
2020-04-07,14.0,206.0,1105.0,2579.0,61.0,1416.0
2020-04-08,28.0,333.0,1032.0,2151.0,67.0,544.0
2020-04-09,48.0,258.0,1117.0,2216.0,123.0,1340.0
2020-04-10,20.0,160.0,1123.0,2217.0,96.0,985.0
2020-04-11,42.0,-31.0,844.0,2105.0,119.0,636.0
2020-04-12,43.0,286.0,657.0,1869.0,109.0,561.0
2020-04-13,27.0,172.0,725.0,2005.0,130.0,573.0
2020-04-14,35.0,100.0,1080.0,2445.0,136.0,743.0
2020-04-15,12.0,510.0,884.0,2596.0,154.0,1438.0
2020-04-16,43.0,248.0,1040.0,2153.0,203.0,753.0
2020-04-17,38.0,300.0,914.0,2117.0,126.0,761.0
2020-04-18,35.0,107.0,1108.0,1992.0,143.0,641.0
2020-04-19,38.0,127.0,433.0,1980.0,158.0,389.0
2020-04-20,33.0,276.0,576.0,2232.0,146.0,547.0
2020-04-21,53.0,171.0,1224.0,2519.0,193.0,528.0
2020-04-22,36.0,246.0,857.0,2447.0,195.0,544.0
2020-04-23,40.0,296.0,684.0,2466.0,171.0,516.0
2020-04-24,59.0,185.0,1018.0,2193.0,180.0,390.0
2020-04-25,45.0,117.0,816.0,1713.0,187.0,369.0
2020-04-26,56.0,99.0,364.0,1394.0,157.0,242.0
2020-04-27,58.0,150.0,323.0,1517.0,185.0,437.0
2020-04-28,69.0,188.0,971.0,2220.0,197.0,367.0
2020-04-29,71.0,153.0,771.0,2410.0,244.0,426.0
2020-04-30,75.0,156.0,636.0,2288.0,179.0,289.0
2020-05-01,69.0,113.0,700.0,1899.0,202.0,217.0
2020-05-02,100.0,76.0,585.0,1723.0,148.0,197.0
2020-05-03,68.0,54.0,253.0,1178.0,140.0,135.0
2020-05-04,175.0,127.0,273.0,1365.0,242.0,306.0
2020-05-05,127.0,0.0,725.0,2234.0,170.0,333.0
2020-05-06,92.0,282.0,647.0,2292.0,159.0,275.0
2020-05-07,104.0,117.0,458.0,1922.0,147.0,179.0
2020-05-08,96.0,118.0,580.0,1748.0,153.0,242.0
2020-05-09,116.0,39.0,275.0,1541.0,164.0,80.0
2020-05-10,111.0,20.0,217.0,973.0,118.0,70.0
2020-05-11,82.0,92.0,188.0,1032.0,134.0,263.0
2020-05-12,121.0,77.0,615.0,1585.0,151.0,348.0
2020-05-13,136.0,123.0,448.0,1729.0,103.0,85.0
2020-05-14,98.0,23.0,353.0,1776.0,121.0,351.0
2020-05-15,104.0,13.0,351.0,1661.0,121.0,102.0
2020-05-16,118.0,41.0,411.0,1262.0,119.0,98.0
2020-05-17,154.0,24.0,67.0,818.0,90.0,483.0
2020-05-18,131.0,41.0,146.0,1213.0,92.0,129.0
2020-05-19,146.0,78.0,501.0,1451.0,75.0,-217.0
2020-05-20,132.0,63.0,329.0,1482.0,122.0,111.0
2020-05-21,150.0,59.0,273.0,1182.0,96.0,82.0
2020-05-22,142.0,25.0,291.0,1242.0,98.0,148.0
2020-05-23,142.0,33.0,220.0,1113.0,94.0,86.0
2020-05-24,156.0,22.0,379.0,634.0,88.0,-80.0
2020-05-25,148.0,26.0,104.0,583.0,94.0,89.0
2020-05-26,172.0,63.0,131.0,678.0,92.0,137.0
2020-05-27,190.0,56.0,422.0,1472.0,94.0,1.0
2020-05-28,177.0,42.0,343.0,1125.0,111.0,67.0
2020-05-29,269.0,34.0,274.0,1142.0,80.0,51.0
2020-05-30,205.0,26.0,154.0,961.0,60.0,57.0
2020-05-31,223.0,10.0,60.0,725.0,49.0,31.0
2020-06-01,200.0,15.0,86.0,774.0,46.0,32.0
2020-06-02,221.0,8.0,250.0,974.0,56.0,106.0
2020-06-03,259.0,39.0,254.0,1006.0,54.0,81.0
2020-06-04,275.0,33.0,130.0,1002.0,64.0,45.0
2020-06-05,286.0,23.0,258.0,882.0,40.0,45.0
2020-06-06,297.0,15.0,143.0,688.0,62.0,31.0
2020-06-07,261.0,12.0,54.0,455.0,41.0,13.0
2020-06-08,266.0,10.0,47.0,508.0,44.0,55.0
2020-06-09,277.0,41.0,197.0,917.0,34.0,88.0
2020-06-10,352.0,16.0,164.0,870.0,35.0,21.0
2020-06-11,396.0,20.0,76.0,830.0,31.0,27.0
2020-06-12,386.0,11.0,131.0,830.0,29.0,28.0
2020-06-13,311.0,10.0,107.0,744.0,28.0,24.0
2020-06-14,325.0,8.0,27.0,341.0,19.0,10.0
2020-06-15,380.0,6.0,29.0,395.0,8.0,28.0
2020-06-16,2003.0,13.0,120.0,809.0,24.0,114.0
2020-06-17,334.0,31.0,110.0,735.0,21.0,25.0
2020-06-18,336.0,24.0,67.0,691.0,13.0,28.0
2020-06-19,375.0,12.0,84.0,638.0,25.0,14.0
2020-06-20,306.0,8.0,71.0,574.0,29.0,18.0
2020-06-21,445.0,0.0,31.0,314.0,17.0,6.0
2020-06-22,312.0,4.0,13.0,411.0,20.0,24.0
2020-06-23,465.0,15.0,94.0,746.0,24.0,54.0
2020-06-24,418.0,14.0,87.0,751.0,30.0,13.0
2020-06-25,407.0,12.0,99.0,542.0,23.0,19.0
2020-06-26,384.0,25.0,77.0,635.0,7.0,26.0
2020-06-27,410.0,3.0,40.0,502.0,9.0,1.0
2020-06-28,380.0,0.0,31.0,315.0,10.0,0.0
2020-06-29,418.0,8.0,21.0,403.0,19.0,35.0
2020-06-30,507.0,14.0,54.0,591.0,12.0,30.0
2020-07-01,434.0,5.0,97.0,709.0,10.0,19.0
2020-07-02,379.0,11.0,41.0,743.0,16.0,13.0
2020-07-03,442.0,4.0,49.0,639.0,7.0,18.0
2020-07-04,613.0,10.0,32.0,308.0,8.0,0.0
2020-07-05,425.0,3.0,19.0,325.0,2.0,-1.0
2020-07-06,466.0,-1.0,11.0,371.0,13.0,30.0
2020-07-07,483.0,10.0,54.0,1163.0,7.0,11.0
2020-07-08,487.0,14.0,57.0,841.0,12.0,31.0
2020-07-09,475.0,11.0,31.0,1027.0,10.0,16.0
2020-07-10,519.0,6.0,34.0,810.0,14.0,26.0
2020-07-11,550.0,7.0,17.0,733.0,3.0,3.0
2020-07-12,501.0,1.0,9.0,470.0,5.0,0.0
2020-07-13,553.0,3.0,10.0,445.0,8.0,23.0
2020-07-14,582.0,4.0,44.0,927.0,5.0,2.0
2020-07-15,605.0,2.0,26.0,975.0,14.0,88.0
2020-07-16,688.0,7.0,24.0,956.0,12.0,17.0
2020-07-17,671.0,1.0,26.0,933.0,10.0,13.0
2020-07-18,543.0,3.0,9.0,870.0,3.0,3.0
2020-07-19,681.0,1.0,11.0,466.0,4.0,0.0
2020-07-20,585.0,2.0,10.0,565.0,4.0,24.0
2020-07-21,650.0,5.0,25.0,1096.0,7.0,-13.0
2020-07-22,1129.0,3.0,17.0,1226.0,4.0,6.0
2020-07-23,740.0,8.0,9.0,1093.0,8.0,11.0
2020-07-24,757.0,10.0,32.0,1103.0,4.0,10.0
2020-07-25,702.0,4.0,15.0,915.0,4.0,0.0
2020-07-26,711.0,0.0,8.0,534.0,4.0,0.0
2020-07-27,637.0,1.0,3.0,1125.0,13.0,18.0
2020-07-28,785.0,6.0,21.0,1344.0,10.0,13.0
2020-07-29,762.0,4.0,34.0,1433.0,5.0,14.0
2020-07-30,763.0,9.0,0.0,1228.0,13.0,16.0
2020-07-31,793.0,3.0,20.0,1232.0,6.0,11.0
