,Black,Mixed,Other,South Asian,Unknown,White,All
2020-12-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-12-02,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-12-04,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-12-06,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-12-07,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-12-08,100.0,100.0,99.99313940724478,99.98280161664803,99.98902023935878,99.98421978451776,99.98502123890636
2020-12-09,99.98320268756999,99.94462134847016,99.95883644346871,99.95700404162008,99.96889067818321,99.94888371917412,99.95156324537653
2020-12-10,99.96640537513997,99.91693202270525,99.92453347969264,99.92260727491616,99.94693115690077,99.90996564172715,99.91476759312475
2020-12-11,99.94400895856663,99.88924269694033,99.903951701427,99.89036030613123,99.92680159572521,99.87095075314225,99.87821615980384
2020-12-12,99.91601343784994,99.86155337117542,99.86964873765093,99.86241293318427,99.90850199465652,99.83997118900535,99.84850285654743
2020-12-13,99.90481522956327,99.8338640454105,99.84220636663008,99.83231576231834,99.89386231380156,99.81421942631655,99.8237553382188
2020-12-14,99.88801791713325,99.82001938252803,99.81476399560923,99.78717000601944,99.86732789225195,99.7750109154558,99.78606421655381
2020-12-15,99.77043673012318,99.68157275370345,99.69127332601536,99.63453435377075,99.72001610364894,99.4813827341208,99.51628370424761
2020-12-16,99.59686450167973,99.48774747334902,99.52661909989023,99.39375698684324,99.47754638948871,99.00429744641262,99.07880619274084
2020-12-17,99.41209406494961,99.34930084452444,99.32080131723382,99.13578123656376,99.25886615671779,98.56409720225493,98.67348417379921
2020-12-18,99.27771556550952,99.16932022705247,99.18358946212953,98.88855447587926,99.11704424843538,98.2651444083339,98.39548162415358
2020-12-19,99.12094064949608,98.98933960958051,99.00521405049396,98.56823458594891,98.97613732020642,97.91652750065589,98.07221716598583
2020-12-20,98.98656215005599,98.83704831787345,98.8748627881449,98.33390661277839,98.81052593053471,97.59375916680462,97.77280475673352
2020-12-21,98.87458006718926,98.74013567769624,98.72392974753019,98.1339754063118,98.69340848369505,97.36838283770871,97.56131116259608
2020-12-22,98.76259798432251,98.53246573445936,98.57299670691548,97.89534783730329,98.53145701423709,97.00388890341056,97.22673122729782
2020-12-23,98.66181410974244,98.38017444275232,98.38090010976948,97.67606844956575,98.38506020568751,96.71713431286842,96.95963712323125
2020-12-24,98.61142217245241,98.31095112834002,98.32601536772778,97.55782956402098,98.33382132269517,96.63862048000898,96.88278956631602
2020-12-25,98.61142217245241,98.31095112834002,98.32601536772778,97.55352996818299,98.33382132269517,96.63862048000898,96.88262675369543
2020-12-26,98.61142217245241,98.29710646545756,98.31915477497256,97.549230372345,98.33290634264173,96.63755555749178,96.88132425273078
2020-12-27,98.60582306830906,98.26941713969265,98.29857299670691,97.53848138275002,98.32375654210738,96.626519087768,96.87033440084141
2020-12-28,98.60022396416574,98.24172781392772,98.28485181119649,97.51268380772207,98.31003184130586,96.60570469311354,96.8502270421994
2020-12-29,98.51063829787233,98.15865983663298,98.1888035126235,97.36864734714936,98.23957837719138,96.46329550922175,96.71582522390806
2020-12-30,98.33146696528556,97.90945590474873,97.96240395170143,97.06982543640898,98.05200746623724,96.09425145144098,96.37074387458219
2020-12-31,98.2026875699888,97.7156306243943,97.78402854006586,96.79465130277754,97.86535153533653,95.80188181489905,96.09274132493654
2021-01-01,98.16909294512878,97.67409663574692,97.72914379802415,96.75380514231662,97.81594261245105,95.73953544207355,96.03298909318255
2021-01-02,98.12989921612542,97.646407309982,97.68798024149287,96.69576059850374,97.77751345020678,95.67447835738606,95.97144592260214
2021-01-03,98.10190369540874,97.61871798421708,97.66739846322723,96.65276464012383,97.75097902865717,95.63255913466332,95.9313940179387
2021-01-04,98.04591265397536,97.54949466980479,97.59879253567509,96.58397110671596,97.71254986641291,95.57331071825152,95.8735141313214
2021-01-05,97.94512877939529,97.4110480409802,97.46844127332602,96.43563505030527,97.61922190096256,95.45210317356592,95.75384685519283
2021-01-06,97.77155655095184,97.18953343486086,97.29692645444567,96.21420586464872,97.45635545145116,95.21801384205651,95.52826996937495
2021-01-07,97.48040313549832,96.81572753703448,96.8715697036224,95.71975234327974,97.05376422793984,94.49512507514964,94.85438853278151
2021-01-08,96.99888017917134,96.27578568461858,96.2403951701427,95.01461862584917,96.57156973977968,93.64783399600557,94.05465294047734
2021-01-09,96.51175811870101,95.86044579814481,95.83562019758507,94.3610800584745,96.14244409471874,92.89861259958235,93.34739491666436
2021-01-10,96.27099664053752,95.63893119202547,95.62294182217343,94.04290996646316,95.92193390184094,92.54534875728383,93.01134966778085
2021-01-11,96.0582306830907,95.38972726014121,95.43770581778266,93.79783300369765,95.73619295099367,92.26798484712069,92.74555806467895
2021-01-12,95.75027995520716,95.08514467672713,95.15642151481887,93.48611230544329,95.37477582988691,91.69321712124336,92.20868344830618
2021-01-13,95.26875699888018,94.61442613872352,94.7310647639956,92.93576403818041,94.85232221937562,90.820851957376,91.39299221918486
2021-01-14,94.63605823068309,94.00526097189534,94.11361141602634,92.1059420414481,94.30150422720784,89.90192063616536,90.51974672868742
2021-01-15,93.90257558790593,93.32687249065485,93.55790340285401,91.31696620517671,93.61069428686454,88.77145697858248,89.4565803162798
2021-01-16,93.34266517357223,92.73155198670912,93.00905598243688,90.60968268982715,92.93635398748307,87.60284973265604,88.36899201078471
2021-01-17,93.02911534154535,92.39928007753011,92.6797475301866,90.28936279989681,92.6115360685137,87.05354333605372,87.85564381808621
2021-01-18,92.65397536394177,92.03931884258618,92.39160263446762,89.97119270788546,92.32789225194891,86.6226369611371,87.44503038897562
2021-01-19,92.07726763717805,91.43015367575799,91.8427552140505,89.2639091925359,91.65080701240713,85.47755482172713,86.37665397270935
2021-01-20,91.29339305711086,90.62716322857538,91.13611416026345,88.25350417060797,90.87947882736157,84.14320690766831,85.12324101315038
2021-01-21,90.52631578947368,89.7826387927454,90.55982436882546,87.34413965087282,90.06514657980456,82.781364630438,83.84825538136414
2021-01-22,89.46808510638297,88.66122109926623,89.3523600439078,86.03921231404249,88.9342312337591,80.84010769270984,82.02955700314065
2021-01-23,88.65061590145577,87.71978402325904,88.32327113062568,84.84177487316192,87.70815796215642,78.78112841126146,80.1141479282908
2021-01-24,88.20828667413214,87.22137615949052,87.76070252469813,84.24413105168114,87.26164769608022,78.04245942887238,79.41462350395554
2021-01-25,87.73236282194848,86.70912363283954,87.33534577387486,83.61209046349643,86.82794715075211,77.36574957475707,78.76809458762006
2021-01-26,87.0996640537514,86.03073515159906,86.69731064763995,82.81666523346806,86.27438421842405,76.47954041816602,77.92277146155261
2021-01-27,86.3605823068309,85.36619133324103,85.99066959385291,81.92234929916587,85.70984152545475,75.62731197098763,77.09902100771244
2021-01-28,85.57670772676371,84.56320088605842,85.2085620197585,80.8367013500731,84.9494931010504,74.2946098462736,75.84422414087851
2021-01-29,84.74804031354984,83.62176381005122,84.30982436882547,79.74460400722333,83.82315265527211,72.38433247268232,74.06810126293749
2021-01-30,84.03695408734603,82.83261802575107,83.397365532382,78.61596009975062,82.66021300735645,70.44568943567819,72.26592836570319
2021-01-31,83.61142217245241,82.20960819604042,82.88282107574095,77.88287900937311,81.93554880503605,69.3207440129572,71.21179805373794
2021-02-01,83.16349384098544,81.69735566938945,82.38199780461032,77.23793963367444,81.32891702960876,68.32291161433541,70.27888173779678
2021-02-02,82.60358342665174,81.04665651391389,81.7371020856202,76.34147390145327,80.61706254803646,67.186445666201,69.20635359970564
2021-02-03,82.02687569988802,80.42364668420325,81.05790340285401,75.40846160460916,79.68927277385353,65.75141416869728,67.86168416630983
2021-02-04,81.24860022396416,79.57912224837325,80.25521405049396,74.31851405967839,78.74592833876221,64.24086998360987,66.44049280123998
2021-02-05,80.5599104143337,78.73459781254326,79.3427552140505,73.25866368561356,77.76140980126632,62.812712076899025,65.0860546106092
2021-02-06,79.90481522956327,77.8485393880659,78.53320526893523,72.1622667469258,76.45664824506825,61.00060119716653,63.38034819107038
2021-02-07,79.58566629339306,77.35013152429738,78.06668496158068,71.55602373376902,75.73747392306848,60.08012089774905,62.50628863747002
2021-02-08,79.13213885778276,76.93479163782362,77.57272228320527,70.87453779344742,75.11437250667936,59.23428198567389,61.698900851998445
2021-02-09,78.56103023516238,76.2702478194656,76.87294182217343,69.92862670908934,74.21128719393917,58.033339819679576,60.552374377852274
2021-02-10,77.8555431131019,75.4949466980479,76.11141602634467,68.66884512855792,73.23317351681733,56.76211276754968,59.324848624966016
2021-02-11,76.95408734602464,74.48428630762841,75.05488474204171,67.161836787342,72.06748892874135,55.23559474470419,57.848870813069944
2021-02-12,75.9350503919373,73.36286861414925,73.97091108671789,65.68707541491099,70.82220107601654,53.60384301493118,56.27585667930635
2021-02-13,75.13437849944009,72.37989754949467,72.95554335894622,64.28755696964485,69.52292940013908,51.86918104554093,54.61915685856305
2021-02-14,74.72004479283315,71.82611103419632,72.38611416026345,63.45773497291255,68.91446766460491,51.15636063697856,53.91816712064252
2021-02-15,74.28331466965285,71.28616918178042,71.83726673984633,62.67305873247915,68.27947150752114,50.405009395520935,53.18412642074363
2021-02-16,73.54983202687569,70.41395542018552,70.97969264544457,61.50571846246453,67.32972221205577,49.212489798526335,52.02669150101839
2021-02-17,72.63157894736841,69.25100373805898,69.88199780461032,60.02020810043856,66.12560846173554,47.599132184959615,50.473459100655646
2021-02-18,71.8141097424412,68.18496469610966,68.96953896816684,58.710981167770235,65.0688065000183,46.222187370212566,49.143035771560875
2021-02-19,71.14221724524076,67.34044026027966,68.18057080131723,57.599535643649496,64.24166453171321,45.15523181911032,48.106082191067124
2021-02-20,70.56550951847704,66.52360515021459,67.50823271130625,56.65362455929143,63.476741207041684,44.13087316869632,47.11968192926443
2021-02-21,70.26315789473685,66.23286722968297,67.1857848518112,56.1269240691375,63.19584233063719,43.76763777919122,46.75937759991403
2021-02-22,69.84322508398657,65.80368268032674,66.76042810098792,55.50348267262877,62.797826007393034,43.30681676265491,46.299187727835914
2021-02-23,69.12653975363942,65.02838155890905,66.03320526893523,54.514575629890786,62.11891080774439,42.43290262058069,45.44287474987912
2021-02-24,68.32026875699889,64.08694448290184,65.11388583973655,53.29349041190128,61.162756651904985,41.204078846863176,44.25010949148734
2021-02-25,67.33482642777156,62.9239928007753,64.07793633369923,51.838077220741255,60.08948504922593,39.90835857683754,42.97650776697607
2021-02-26,66.29339305711086,61.67797314135401,62.90477497255763,50.46435635050305,58.96131464334077,38.52250713740114,41.62239520158645
2021-02-27,65.41433370660694,60.59808943652222,62.04034028540066,49.355060624301316,58.06280423086776,37.474913813884456,40.590163187089615
2021-02-28,65.01119820828667,60.0996815727537,61.63556531284303,48.798262963281445,57.57786480254731,36.98379091117675,40.09936454234187
2021-03-01,64.7424412094065,59.725875674927316,61.31311745334797,48.424198125376215,57.127694616257365,36.55423989219112,39.67401657106853
2021-03-02,64.3505039193729,59.227467811158796,60.688803512623494,47.94909278527818,56.59426124510485,36.030007580312095,39.15171368423794
2021-03-03,63.756998880179175,58.50754534127094,60.0096048298573,47.11067159686989,55.83757274091425,35.29521104344012,38.413846887755355
2021-03-04,63.00111982082866,57.593797591028654,59.23435784851811,46.0271734456961,54.837499542509974,34.2582669450955,37.38633643925543
2021-03-05,62.10526315789473,56.48622456043195,58.21899012074643,44.943675294522315,53.74775829886909,33.16894802113194,36.300783291517625
2021-03-06,61.097424412094064,55.2263602381282,57.0801317233809,43.791383609940674,52.6186729129305,32.03325656210096,35.16614213867402
2021-03-07,60.778275475923856,54.88024366606673,56.723380900109774,43.331326855275606,52.16118288621308,31.6042864099429,34.73639822664494
2021-03-08,60.36394176931691,54.354146476533295,56.25,42.796027173445694,51.57742561212166,31.072696451581365,34.202454237442666
2021-03-09,59.72004479283315,53.758825972587566,55.57080131723381,42.07369507266316,50.97170881674779,30.513515318910407,33.630086469782796
2021-03-10,59.12653975363942,53.094282154229546,54.82985729967069,41.39005933442257,50.23789481389306,29.887340878793424,32.99104693399414
2021-03-11,58.49384098544233,52.346670358576766,54.08205268935236,40.762318342075844,49.451011967939095,29.217117370919283,32.31122283674941
2021-03-12,57.463605823068306,51.12834002492039,53.03238199780461,39.702467968011,48.20023423489368,28.159358877920184,31.235764071487765
2021-03-13,56.06382978723404,49.28699986155337,51.502469813391876,38.21480780806604,46.3043955641767,26.45335300535656,29.526882805847578
2021-03-14,55.39753639417693,48.45632008860584,50.7340834248079,37.488176111445526,45.3692859495663,25.63481483417705,28.704190634041197
2021-03-15,54.42889137737962,47.334902395126676,49.61580680570802,36.3745807894058,43.96753650770413,24.451395484147668,27.50825052954805
2021-03-16,53.43784994400896,45.936591443998346,48.40148188803512,35.323329607016944,42.227244446071076,23.075225158504026,26.119377469663945
2021-03-17,52.33482642777156,44.42752318981032,47.015642151481885,33.91091237423683,40.36526003733118,21.64880985227589,24.659436700895313
2021-03-18,50.96864501679732,42.544649037795935,45.369099890230515,32.58663685613553,38.01284631995022,19.889945098403686,22.870533032238527
2021-03-19,49.42889137737963,40.50948359407448,43.52360043907794,31.058130535729646,35.551549976210524,18.018198557707663,20.963508807348703
2021-03-20,47.402015677491605,37.79592966911256,41.23902305159166,29.20930432539342,32.034366650807016,15.418916315484267,18.322362476249708
2021-03-21,46.595744680851055,36.75757995292814,40.14132821075741,28.392381116175073,30.539289243494494,14.38555422924297,17.25862621967005
