,Black,Mixed,Other,South Asian,Unknown,White,All
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-08,0.0,0.0,0.00691945751453086,0.012931313174852906,0.011448902666713636,0.015530180965433701,0.014638561712516538
2020-12-09,0.016852039096730706,0.055741360089186176,0.0345972875726543,0.0409491583870342,0.03170465353859161,0.05066721539972745,0.04790062693706801
2020-12-10,0.03370407819346141,0.08361204013377926,0.07611403265983947,0.07327744132416647,0.05284108923098601,0.09007504959951547,0.08498498327544324
2020-12-11,0.056173463655769015,0.11148272017837235,0.10379186271796291,0.10560572426129874,0.07309684010286399,0.12899756564413367,0.12150006221388727
2020-12-12,0.07302550275249972,0.13935340022296544,0.13146969277608636,0.13577878833595552,0.09159122133370909,0.1599608639439671,0.1510211616674623
2020-12-13,0.08987754184923043,0.16722408026755853,0.1591475228342098,0.16595185241061228,0.10656286328248846,0.1856827261679667,0.1758253912358931
2020-12-14,0.11234692731153803,0.18115942028985507,0.18682535289233326,0.21336666738507293,0.13298340789798146,0.22470230584361886,0.21347902497419954
2020-12-15,0.23031120098865296,0.30657748049052397,0.3113755881538887,0.36638720662083235,0.2835805122062916,0.5204551896040969,0.4848616940556867
2020-12-16,0.40444893832153694,0.5156075808249722,0.4774425685026294,0.6099269380805621,0.5284108923098602,1.0013084177463378,0.9252384255738926
2020-12-17,0.5898213683855746,0.6688963210702341,0.6781068364240244,0.8663979827151447,0.7521048367210342,1.444598020678436,1.332922369267478
2020-12-18,0.7190203347938434,0.822185061315496,0.8095765292001107,1.1185585896247763,0.8947757776446965,1.7457864677768158,1.6122749219480024
2020-12-19,0.8875407257611505,1.0172798216276477,0.9894824245779131,1.437530981271148,1.0409694578504245,2.0972538757507873,1.9379829200514953
2020-12-20,1.0167396921694192,1.1845039018952062,1.134791032383061,1.6746050561434516,1.2091802585690634,2.42154346703525,2.238724037900863
2020-12-21,1.1234692731153804,1.2681159420289856,1.2662607251591473,1.8793508480786223,1.3271920245182653,2.648672363654718,2.4512271587608945
2020-12-22,1.2470508931580722,1.4492753623188406,1.432327705507888,2.1164249229509258,1.4954028252369043,3.0162523343803262,2.788483355548706
2020-12-23,1.3481631277384565,1.6164994425863992,1.6260725159147522,2.3384124657859005,1.6468806143657306,3.304628382182223,3.057182288316232
2020-12-24,1.3874845522974946,1.7001114827201784,1.68834763354553,2.4569495032220523,1.6988410187762002,3.383249923319732,3.134116062649791
2020-12-25,1.3874845522974946,1.7001114827201784,1.68834763354553,2.4591047220845277,1.699721703596717,3.383346986950765,3.1343600386783335
2020-12-26,1.3874845522974946,1.7001114827201784,1.695267091060061,2.4634151598094784,1.7006023884172332,3.384414686892139,3.135579918821043
2020-12-27,1.3931018986630717,1.7279821627647716,1.7021865485745917,2.4720360352593804,1.7076478669813648,3.3954799408300103,3.1461522133911934
2020-12-28,1.4099539377598023,1.7558528428093645,1.736783836147246,2.502209099334037,1.7217388241096274,3.41654274876438,3.1670528265029536
2020-12-29,1.4942141332434558,1.8534002229654405,1.8267367838361475,2.6422983253949437,1.7939549793919751,3.5600998590636075,3.3021342209723423
