date,Over 65 cases
2020-09-01,177
2020-09-02,271
2020-09-03,245
2020-09-04,240
2020-09-05,175
2020-09-06,164
2020-09-07,355
2020-09-08,280
2020-09-09,241
2020-09-10,273
2020-09-11,258
2020-09-12,179
2020-09-13,187
2020-09-14,274
2020-09-15,314
2020-09-16,347
2020-09-17,304
2020-09-18,295
2020-09-19,298
2020-09-20,336
2020-09-21,373
2020-09-22,513
2020-09-23,504
2020-09-24,506
2020-09-25,498
2020-09-26,443
2020-09-27,394
2020-09-28,686
2020-09-29,762
2020-09-30,722
2020-10-01,840
2020-10-02,874
2020-10-03,777
2020-10-04,701
2020-10-05,1178
2020-10-06,1180
2020-10-07,1319
2020-10-08,1244
2020-10-09,1207
2020-10-10,883
2020-10-11,903
2020-10-12,1611
2020-10-13,1565
2020-10-14,1660
2020-10-15,1581
2020-10-16,1675
2020-10-17,1368
2020-10-18,1196
2020-10-19,2364
2020-10-20,2295
2020-10-21,2316
2020-10-22,2210
2020-10-23,2190
2020-10-24,1626
2020-10-25,1530
2020-10-26,2608
2020-10-27,2395
2020-10-28,2357
2020-10-29,2562
2020-10-30,2590
2020-10-31,1699
2020-11-01,1658
2020-11-02,3682
2020-11-03,2879
2020-11-04,2683
2020-11-05,2497
2020-11-06,2724
2020-11-07,1928
2020-11-08,2095
2020-11-09,3613
2020-11-10,3360
2020-11-11,3148
2020-11-12,2788
2020-11-13,2911
2020-11-14,1909
2020-11-15,1830
2020-11-16,3127
2020-11-17,2738
2020-11-18,2342
2020-11-19,2032
2020-11-20,2051
2020-11-21,1428
2020-11-22,1253
2020-11-23,2155
2020-11-24,2054
2020-11-25,1827
2020-11-26,1600
2020-11-27,1747
2020-11-28,1096
2020-11-29,1115
2020-11-30,2144
2020-12-01,1966
2020-12-02,1736
2020-12-03,1647
2020-12-04,1776
2020-12-05,1212
2020-12-06,1336
2020-12-07,2131
2020-12-08,2170
2020-12-09,2032
2020-12-10,2079
2020-12-11,2385
2020-12-12,1679
2020-12-13,1966
2020-12-14,3133
2020-12-15,3017
2020-12-16,3048
2020-12-17,3012
2020-12-18,3247
2020-12-19,2328
2020-12-20,2595
2020-12-21,4269
2020-12-22,4278
2020-12-23,3909
2020-12-24,2933
2020-12-25,1599
2020-12-26,3573
2020-12-27,4088
2020-12-28,4343
2020-12-29,7961
2020-12-30,6910
2020-12-31,5330
2021-01-01,3540
2021-01-02,5926
2021-01-03,5105
2021-01-04,8367
2021-01-05,7541
2021-01-06,6675
2021-01-07,6362
2021-01-08,6064
2021-01-09,4618
2021-01-10,4081
2021-01-11,7127
2021-01-12,6341
2021-01-13,5562
2021-01-14,5286
2021-01-15,5034
2021-01-16,3448
2021-01-17,3137
2021-01-18,5502
2021-01-19,5033
2021-01-20,4452
2021-01-21,3842
2021-01-22,3682
2021-01-23,2555
2021-01-24,2021
2021-01-25,3863
2021-01-26,3486
2021-01-27,3092
2021-01-28,2969
2021-01-29,2834
2021-01-30,1837
2021-01-31,1696
2021-02-01,2779
2021-02-02,2492
2021-02-03,2328
2021-02-04,2048
2021-02-05,1916
2021-02-06,1323
2021-02-07,1254
2021-02-08,1847
2021-02-09,1556
2021-02-10,1513
2021-02-11,1366
2021-02-12,1320
2021-02-13,868
2021-02-14,820
2021-02-15,1572
2021-02-16,1261
2021-02-17,1130
2021-02-18,1114
2021-02-19,1008
2021-02-20,725
2021-02-21,669
2021-02-22,1102
2021-02-23,870
2021-02-24,741
2021-02-25,745
2021-02-26,573
2021-02-27,394
2021-02-28,362
2021-03-01,636
2021-03-02,577
2021-03-03,456
2021-03-04,446
2021-03-05,388
2021-03-06,301
2021-03-07,283
2021-03-08,472
2021-03-09,381
2021-03-10,376
2021-03-11,339
2021-03-12,367
2021-03-13,242
2021-03-14,223
2021-03-15,353
2021-03-16,299
2021-03-17,270
2021-03-18,224
2021-03-19,242
