Group,% not vaccinated
Black African,33.93708293612965
Bangladeshi,16.367713004484308
Black Caribbean,23.258049014896688
 Chinese,20.706455542021928
Asian other,16.224719101123597
White British / Mixed British,2.8298075845515136
Indian,9.172467130703787
Irish,5.88898281205974
Black other,26.55677655677655
White other,10.880771575854997
Mixed other,15.428571428571425
Pakistani,19.580924855491332
Mixed White/Asian,12.5
Mixed White/Black African,25.24271844660194
Mixed White/Black Caribbean,20.3125
