,New cases by specimen date,New cases by specimen date (seven-day average),projection using three week rate of change,Projection using three week rate of change
2020-09-01,2248.0,1522.142857142857,,
2020-09-02,2995.0,1757.0,,
2020-09-03,3098.0,1978.142857142857,,
2020-09-04,3040.0,2180.1428571428573,,
2020-09-05,2545.0,2369.4285714285716,,
2020-09-06,2450.0,2553.714285714286,,
2020-09-07,3863.0,2891.285714285714,,
2020-09-08,3304.0,3042.1428571428573,,
2020-09-09,3331.0,3090.1428571428573,,
2020-09-10,3597.0,3161.4285714285716,,
2020-09-11,3289.0,3197.0,,
2020-09-12,2672.0,3215.1428571428573,,
2020-09-13,2144.0,3171.4285714285716,,
2020-09-14,3398.0,3105.0,,
2020-09-15,3552.0,3140.4285714285716,,
2020-09-16,4367.0,3288.4285714285716,,
2020-09-17,4637.0,3437.0,,
2020-09-18,4958.0,3675.4285714285716,,
2020-09-19,4857.0,3987.5714285714284,,
2020-09-20,5323.0,4441.714285714285,,
2020-09-21,5606.0,4757.142857142857,,
2020-09-22,6407.0,5165.0,,
2020-09-23,7062.0,5550.0,,
2020-09-24,7606.0,5974.142857142857,,
2020-09-25,7246.0,6301.0,,
2020-09-26,6766.0,6573.714285714285,,
2020-09-27,6972.0,6809.285714285715,,
2020-09-28,9930.0,7427.0,,
2020-09-29,10238.0,7974.285714285715,,
2020-09-30,12559.0,8759.57142857143,,
2020-10-01,13189.0,9557.142857142857,,
2020-10-02,13694.0,10478.285714285714,,
2020-10-03,11547.0,11161.285714285714,,
2020-10-04,11807.0,11852.0,,
2020-10-05,16553.0,12798.142857142857,,
2020-10-06,17062.0,13773.0,,
2020-10-07,18341.0,14599.0,,
2020-10-08,18250.0,15322.0,,
2020-10-09,15733.0,15613.285714285714,,
2020-10-10,12517.0,15751.857142857143,,
2020-10-11,12076.0,15790.285714285714,,
2020-10-12,19451.0,16204.285714285714,,
2020-10-13,18907.0,16467.85714285714,,
2020-10-14,19706.0,16662.85714285714,,
2020-10-15,18441.0,16690.14285714286,,
2020-10-16,17729.0,16975.285714285714,,
2020-10-17,14771.0,17297.285714285714,,
2020-10-18,14195.0,17600.0,,
2020-10-19,25623.0,18481.714285714286,,
2020-10-20,25330.0,19399.285714285714,,
2020-10-21,25462.0,20221.571428571428,,
2020-10-22,23262.0,20910.285714285714,,
2020-10-23,21485.0,21446.85714285714,,
2020-10-24,16245.0,21657.428571428572,,
2020-10-25,15726.0,21876.14285714286,,
2020-10-26,26556.0,22009.428571428572,,
2020-10-27,24102.0,21834.0,,
2020-10-28,23618.0,21570.571428571428,,
2020-10-29,23360.0,21584.571428571428,,
2020-10-30,22683.0,21755.714285714286,,
2020-10-31,16493.0,21791.14285714286,,
2020-11-01,15756.0,21795.428571428572,,
2020-11-02,31516.0,22504.0,,
2020-11-03,25591.0,22716.714285714286,,
2020-11-04,23685.0,22726.285714285714,,
2020-11-05,23744.0,22781.14285714286,,
2020-11-06,23333.0,22874.0,,
2020-11-07,18532.0,23165.285714285714,,
2020-11-08,19962.0,23766.14285714286,,
2020-11-09,31054.0,23700.14285714286,,
2020-11-10,27434.0,23963.428571428572,,
2020-11-11,27364.0,24489.0,,
2020-11-12,24479.0,24594.0,,
2020-11-13,24056.0,24697.285714285714,,
2020-11-14,18007.0,24622.285714285714,,
2020-11-15,16041.0,24062.14285714286,,
2020-11-16,26577.0,23422.571428571428,,
2020-11-17,23181.0,22815.0,,
2020-11-18,20764.0,21872.14285714286,,
2020-11-19,17761.0,20912.428571428572,,
2020-11-20,16854.0,19883.571428571428,,
2020-11-21,12354.0,19076.0,,
2020-11-22,11736.0,18461.0,,
2020-11-23,18768.0,17345.428571428572,,
2020-11-24,16451.0,16384.0,,
2020-11-25,16614.0,15791.142857142857,,
2020-11-26,14569.0,15335.142857142857,,
2020-11-27,14383.0,14982.142857142857,,
2020-11-28,10963.0,14783.42857142857,,
2020-11-29,10688.0,14633.714285714286,,
2020-11-30,18030.0,14528.285714285714,,
2020-12-01,16463.0,14530.0,,
2020-12-02,16462.0,14508.285714285714,,
2020-12-03,15659.0,14664.0,,
2020-12-04,15707.0,14853.142857142857,,
2020-12-05,12798.0,15115.285714285714,,
2020-12-06,13613.0,15533.142857142857,,
2020-12-07,21358.0,16008.57142857143,,
2020-12-08,20796.0,16627.571428571428,,
2020-12-09,21647.0,17368.285714285714,,
2020-12-10,22633.0,18364.571428571428,,
2020-12-11,24095.0,19562.85714285714,,
2020-12-12,19363.0,20500.714285714286,,
2020-12-13,21991.0,21697.571428571428,,
2020-12-14,34740.0,23609.285714285714,,
2020-12-15,33872.0,25477.285714285714,,
2020-12-16,34947.0,27377.285714285714,,
2020-12-17,33901.0,28987.0,,
2020-12-18,35857.0,30667.285714285714,,
2020-12-19,25170.0,31496.85714285714,,
2020-12-20,32491.0,32996.857142857145,,
2020-12-21,47430.0,34809.71428571428,,
2020-12-22,45710.0,36500.857142857145,,
2020-12-23,42295.0,37550.57142857143,,
2020-12-24,31852.0,37257.857142857145,,
2020-12-25,14180.0,34161.142857142855,,
2020-12-26,40374.0,36333.142857142855,,
2020-12-27,47763.0,38514.857142857145,,
2020-12-28,45623.0,38256.71428571428,,
2020-12-29,81569.0,43379.42857142857,,
2020-12-30,70831.0,47456.0,,
2020-12-31,52833.0,50453.28571428572,,
2021-01-01,31853.0,52978.0,,
2021-01-02,60452.0,55846.28571428572,,
2021-01-03,55201.0,56908.857142857145,,
2021-01-04,76208.0,61278.142857142855,,
2021-01-05,65164.0,58934.57142857143,,
2021-01-06,57441.0,57021.71428571428,,
2021-01-07,51993.0,56901.71428571428,,
2021-01-08,47077.0,59076.57142857143,,
2021-01-09,39110.0,56027.71428571428,,
2021-01-10,36365.0,53336.857142857145,,
2021-01-11,57205.0,50622.142857142855,,
2021-01-12,49444.0,48376.42857142857,,
2021-01-13,45445.0,46662.71428571428,,
2021-01-14,42431.0,45296.71428571428,,
2021-01-15,40451.0,44350.142857142855,,
2021-01-16,30554.0,43127.857142857145,,
2021-01-17,28879.0,42058.42857142857,,
