,Aggregate,Delayable,Social,Staple,Work Related
2020-01-13,93.97,97.08,88.84,95.79,91.24
2020-01-14,92.8,94.55,89.5,94.28,90.9
2020-01-15,92.67,93.91,90.9,93.12,91.72
2020-01-16,93.02,93.19,92.4,93.54,92.39
2020-01-17,93.13,92.13,93.56,93.82,93.35
2020-01-20,94.8,93.66,95.41,95.19,96.36
2020-01-21,95.19,93.67,96.0,95.74,97.02
2020-01-22,95.73,94.51,95.94,96.47,97.62
2020-01-23,95.67,94.65,95.73,96.21,98.26
2020-01-24,95.31,94.87,93.94,96.39,98.45
2020-01-27,98.09,99.28,96.82,97.72,99.07
2020-01-28,98.32,99.31,96.33,98.87,99.16
2020-01-29,98.99,100.1,96.49,100.07,98.91
2020-01-30,98.68,100.16,94.91,100.4,99.0
2020-01-31,100.66,101.89,98.85,101.22,99.4
2020-02-03,101.76,101.81,99.34,104.16,100.62
2020-02-04,102.05,102.51,100.12,103.54,100.93
2020-02-05,101.76,102.04,100.27,103.02,100.82
2020-02-06,101.96,101.02,102.25,103.03,100.61
2020-02-07,101.41,101.27,100.58,102.48,100.75
2020-02-10,96.99,96.47,96.71,97.26,99.59
2020-02-11,96.76,96.81,96.49,96.77,97.57
2020-02-12,96.62,96.54,96.37,96.62,98.02
2020-02-13,97.76,99.22,96.39,97.23,98.47
2020-02-14,98.55,99.71,96.19,99.43,98.47
2020-02-17,98.44,97.45,95.66,102.12,98.38
2020-02-18,100.59,98.84,100.86,102.54,99.52
2020-02-19,101.59,100.91,102.48,102.02,99.37
2020-02-20,101.72,100.92,104.22,100.84,99.34
2020-02-21,101.41,100.65,106.27,98.32,99.11
2020-02-24,103.0,104.21,108.63,97.14,100.04
2020-02-25,100.59,101.6,103.02,97.13,101.08
2020-02-26,99.51,99.7,100.3,98.11,101.57
2020-02-27,98.69,99.09,97.92,98.14,102.4
2020-02-28,98.83,99.21,95.93,100.09,103.34
2020-03-02,103.76,104.89,98.08,106.84,107.72
2020-03-03,104.85,106.72,98.47,107.61,109.46
2020-03-04,105.83,107.27,99.06,109.51,110.11
2020-03-05,106.7,108.74,98.75,111.02,109.9
2020-03-06,107.15,109.89,98.86,111.18,109.54
2020-03-09,104.42,107.68,95.75,108.29,106.41
2020-03-10,104.02,107.3,94.6,108.85,104.66
2020-03-11,103.55,107.17,94.49,107.79,103.59
2020-03-12,103.09,106.2,93.99,108.04,102.74
2020-03-13,102.59,106.02,91.05,109.61,101.32
2020-03-16,100.48,103.52,80.76,115.72,97.85
2020-03-17,100.2,103.21,76.5,119.41,96.18
2020-03-18,99.92,102.3,72.4,123.52,95.02
2020-03-19,98.65,100.52,66.16,127.38,93.7
2020-03-20,97.16,99.05,61.06,129.11,92.6
2020-03-23,81.26,80.93,39.26,118.92,86.73
2020-03-24,76.9,76.06,36.36,113.7,82.75
2020-03-25,70.54,69.34,30.95,106.52,78.12
2020-03-26,65.43,63.73,28.19,100.3,70.71
2020-03-27,60.19,57.43,25.65,94.11,63.94
2020-03-30,49.92,44.14,17.26,87.2,45.65
2020-03-31,50.05,44.51,18.94,86.74,40.81
2020-04-01,51.45,46.72,19.04,89.54,36.92
2020-04-02,52.68,48.2,19.22,91.84,36.36
2020-04-03,53.48,49.3,19.48,93.14,35.55
2020-04-06,55.59,51.77,23.42,93.8,34.85
2020-04-07,54.88,51.23,20.92,94.29,35.24
2020-04-08,54.58,51.87,20.36,93.13,35.27
2020-04-09,55.14,53.09,20.54,93.41,35.2
2020-04-14,52.04,53.38,19.91,83.71,34.72
2020-04-15,53.3,53.31,20.42,87.54,34.06
2020-04-16,52.69,52.71,20.34,86.25,34.3
2020-04-17,53.88,54.01,20.1,88.79,34.8
2020-04-20,54.17,54.41,21.71,87.7,35.27
2020-04-21,57.53,56.4,20.64,97.43,35.04
2020-04-22,56.8,56.79,20.79,94.23,36.23
2020-04-23,57.27,57.04,21.36,94.94,36.28
2020-04-24,57.56,57.17,21.58,95.36,37.13
2020-04-27,60.02,59.87,22.76,98.63,39.94
2020-04-28,60.63,60.68,23.03,99.35,40.46
2020-04-29,61.47,61.88,23.48,100.3,40.65
2020-04-30,61.93,62.33,23.56,101.16,40.94
2020-05-01,63.47,64.02,24.19,103.71,40.81
2020-05-04,64.08,64.92,25.16,103.69,41.31
2020-05-05,65.36,65.89,25.47,106.44,41.58
2020-05-06,65.39,65.95,25.39,106.36,42.38
2020-05-07,65.91,66.98,25.51,106.59,43.33
2020-05-11,64.12,65.53,26.68,101.02,44.72
2020-05-12,63.74,64.92,26.91,100.22,44.87
2020-05-13,63.46,65.38,27.31,98.41,44.97
2020-05-14,63.21,65.27,27.55,97.39,45.4
2020-05-15,64.11,66.3,27.33,99.27,46.02
2020-05-18,66.19,68.01,29.79,101.29,48.59
2020-05-19,65.89,68.6,30.04,99.14,49.83
2020-05-20,66.65,69.35,30.05,100.61,50.68
2020-05-21,67.31,70.5,30.37,100.99,51.42
2020-05-22,68.22,71.95,30.99,101.55,52.38
2020-05-26,69.31,73.56,33.6,100.44,54.62
2020-05-27,70.37,73.04,34.91,103.18,55.06
2020-05-28,70.36,72.67,35.35,102.98,55.8
2020-05-29,70.91,72.57,35.62,104.39,56.97
2020-06-01,72.02,73.13,38.38,104.17,60.1
2020-06-02,76.0,77.09,36.91,113.29,63.53
2020-06-03,75.42,76.94,36.93,111.26,64.79
2020-06-04,75.83,76.75,37.84,111.91,65.17
2020-06-05,75.58,77.29,38.49,110.04,64.41
2020-06-08,77.1,83.55,40.79,106.55,61.38
2020-06-09,76.04,83.12,40.81,103.72,60.6
2020-06-10,75.98,84.63,40.86,101.89,60.22
2020-06-11,76.59,87.03,41.16,100.92,60.08
2020-06-12,76.41,86.8,41.04,100.69,60.19
2020-06-15,75.43,84.23,41.36,99.64,62.26
2020-06-16,76.49,85.93,42.07,100.29,63.33
2020-06-17,77.28,87.22,42.75,100.72,63.78
2020-06-18,77.55,87.19,43.17,101.12,64.38
2020-06-19,78.33,88.45,43.71,101.6,64.97
2020-06-22,82.48,96.39,44.65,104.9,67.2
2020-06-23,82.38,96.41,44.68,104.43,67.53
2020-06-24,82.63,97.1,44.47,104.41,68.67
2020-06-25,81.12,95.34,41.47,104.34,68.19
2020-06-26,83.69,98.67,45.39,104.71,71.32
2020-06-29,85.8,100.23,48.37,106.15,75.56
2020-06-30,86.59,100.92,49.58,106.74,76.02
2020-07-01,87.5,100.76,50.61,108.91,76.15
2020-07-02,89.45,103.34,52.06,110.65,77.9
2020-07-03,88.1,102.92,48.04,110.73,76.44
2020-07-06,87.31,102.2,49.36,108.07,75.01
2020-07-07,87.36,101.6,49.84,108.28,75.91
2020-07-08,86.93,102.5,50.37,105.3,76.34
2020-07-09,86.89,101.65,53.02,103.69,76.39
2020-07-10,85.96,99.38,53.8,102.43,76.6
2020-07-13,84.49,94.06,55.49,101.37,79.75
2020-07-14,84.3,94.17,55.48,100.56,80.22
2020-07-15,84.06,93.12,55.7,100.67,80.58
2020-07-16,84.03,93.58,55.51,100.07,81.2
2020-07-17,83.98,92.38,56.49,100.18,82.02
2020-07-20,83.19,91.14,55.23,100.0,82.83
2020-07-21,82.4,89.9,53.96,99.81,83.65
2020-07-22,81.05,89.65,51.64,97.68,84.27
2020-07-23,79.35,87.27,48.95,97.14,84.82
2020-07-24,80.37,88.67,50.51,97.4,85.28
2020-07-27,81.7,90.5,51.62,98.74,84.79
2020-07-28,83.02,92.33,52.73,100.08,84.31
2020-07-29,84.87,92.43,55.37,103.59,84.25
2020-07-30,87.0,94.98,58.87,104.34,84.66
2020-07-31,87.39,95.52,58.58,105.06,85.6
2020-08-03,90.33,98.18,59.22,110.0,90.64
2020-08-04,90.54,99.79,59.58,108.22,92.07
2020-08-05,90.12,99.2,60.06,107.01,92.41
2020-08-06,90.25,98.98,60.21,107.53,92.49
2020-08-07,90.1,99.36,60.19,106.68,92.23
2020-08-10,87.29,95.98,59.18,102.51,91.08
2020-08-11,86.7,94.72,59.54,101.6,91.36
2020-08-12,86.55,94.28,59.75,101.26,92.06
