Dates,On full or partial furlough leave ,Working at their normal place of work 
2020-06-14,29.599999999999998,34.8
2020-06-28,24.6,34.599999999999994
2020-07-12,22.3,43.0
2020-07-26,19.2,46.7
2020-08-09,15.5,49.6
2020-08-23,13.700000000000001,54.1
2020-09-06,11.899999999999999,57.199999999999996
2020-09-20,9.4,58.9
2020-10-04,9.3,59.3
2020-10-18,7.7,61.9
2020-11-01,9.0,59.8
2020-11-15,15.1,50.8
2020-11-29,15.5,51.4
2020-12-13,10.8,55.800000000000004
2020-12-27,13.700000000000001,51.0
2021-01-10,16.900000000000002,45.1
2021-01-24,18.3,43.7
2021-02-07,19.900000000000002,43.1
2021-02-21,19.0,44.2
2021-03-07,18.8,45.7
2021-03-21,18.6,46.800000000000004
2021-04-04,17.1,49.0
2021-04-18,12.6,54.7
