date,Cases,Recent
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-05,,
2020-09-06,,
2020-09-07,492.0,
2020-09-08,547.0,
2020-09-09,558.0,
2020-09-10,568.0,
2020-09-11,559.0,
2020-09-12,561.0,
2020-09-13,566.0,
2020-09-14,515.0,
2020-09-15,513.0,
2020-09-16,550.0,
2020-09-17,582.0,
2020-09-18,639.0,
2020-09-19,674.0,
2020-09-20,776.0,
2020-09-21,852.0,
2020-09-22,885.0,
2020-09-23,958.0,
2020-09-24,1043.0,
2020-09-25,1133.0,
2020-09-26,1242.0,
2020-09-27,1344.0,
2020-09-28,1604.0,
2020-09-29,1810.0,
2020-09-30,2170.0,
2020-10-01,2654.0,
2020-10-02,3192.0,
2020-10-03,3494.0,
2020-10-04,3810.0,
2020-10-05,4167.0,
2020-10-06,4597.0,
2020-10-07,5014.0,
2020-10-08,5056.0,
2020-10-09,4849.0,
2020-10-10,4956.0,
2020-10-11,4903.0,
2020-10-12,5084.0,
2020-10-13,5134.0,
2020-10-14,5098.0,
2020-10-15,5159.0,
2020-10-16,5408.0,
2020-10-17,5607.0,
2020-10-18,5830.0,
2020-10-19,6182.0,
2020-10-20,6584.0,
2020-10-21,6853.0,
2020-10-22,7058.0,
2020-10-23,7161.0,
2020-10-24,7127.0,
2020-10-25,7080.0,
2020-10-26,7038.0,
2020-10-27,6930.0,
2020-10-28,6750.0,
2020-10-29,6730.0,
2020-10-30,6848.0,
2020-10-31,6789.0,
2020-11-01,6832.0,
2020-11-02,6751.0,
2020-11-03,6627.0,
2020-11-04,6387.0,
2020-11-05,6242.0,
2020-11-06,5971.0,
2020-11-07,5816.0,
2020-11-08,5715.0,
2020-11-09,5495.0,
2020-11-10,5280.0,
2020-11-11,5245.0,
2020-11-12,5026.0,
2020-11-13,4896.0,
2020-11-14,4845.0,
2020-11-15,4637.0,
2020-11-16,4359.0,
2020-11-17,4246.0,
2020-11-18,4037.0,
2020-11-19,3876.0,
2020-11-20,3684.0,
2020-11-21,3477.0,
2020-11-22,3374.0,
2020-11-23,3174.0,
2020-11-24,2994.0,
2020-11-25,2862.0,
2020-11-26,2756.0,
2020-11-27,2709.0,
2020-11-28,2674.0,
2020-11-29,2605.0,
2020-11-30,2617.0,
2020-12-01,2508.0,
2020-12-02,2459.0,
2020-12-03,2426.0,
2020-12-04,2330.0,
2020-12-05,2294.0,
2020-12-06,2263.0,
2020-12-07,2193.0,
2020-12-08,2208.0,
2020-12-09,2252.0,
2020-12-10,2317.0,
2020-12-11,2443.0,
2020-12-12,2498.0,
2020-12-13,2563.0,
2020-12-14,2656.0,
2020-12-15,2748.0,
2020-12-16,2691.0,
2020-12-17,2647.0,
2020-12-18,2666.0,
2020-12-19,2667.0,
2020-12-20,2800.0,
2020-12-21,2823.0,
2020-12-22,2801.0,
2020-12-23,2834.0,
2020-12-24,2832.0,
2020-12-25,2590.0,
2020-12-26,2764.0,
2020-12-27,2886.0,
2020-12-28,2893.0,
2020-12-29,3260.0,
2020-12-30,3553.0,
2020-12-31,3738.0,
2021-01-01,3933.0,
2021-01-02,4124.0,
2021-01-03,4170.0,
2021-01-04,4413.0,
2021-01-05,4274.0,
2021-01-06,4224.0,
2021-01-07,4337.0,
2021-01-08,4504.0,
2021-01-09,4300.0,
2021-01-10,4128.0,
2021-01-11,4020.0,
2021-01-12,3970.0,
2021-01-13,3935.0,
2021-01-14,3601.0,
2021-01-15,3560.0,
2021-01-16,3581.0,
2021-01-17,3609.0,
2021-01-18,3595.0,
2021-01-19,3571.0,
2021-01-20,3543.0,
2021-01-21,3743.0,
2021-01-22,3682.0,
2021-01-23,3600.0,
2021-01-24,3517.0,
2021-01-25,3415.0,
2021-01-26,3318.0,
2021-01-27,3245.0,
2021-01-28,3241.0,
2021-01-29,3203.0,
2021-01-30,3128.0,
2021-01-31,3103.0,
2021-02-01,3019.0,
2021-02-02,2818.0,
2021-02-03,2796.0,
2021-02-04,2739.0,
2021-02-05,2700.0,
2021-02-06,2681.0,
2021-02-07,2636.0,
2021-02-08,2535.0,
2021-02-09,2594.0,
2021-02-10,2486.0,
2021-02-11,2387.0,
2021-02-12,2348.0,
2021-02-13,2325.0,
2021-02-14,2291.0,
2021-02-15,2317.0,
2021-02-16,2295.0,
2021-02-17,2287.0,
2021-02-18,2303.0,
2021-02-19,2313.0,
2021-02-20,2288.0,
2021-02-21,2303.0,
2021-02-22,2271.0,
2021-02-23,2225.0,
2021-02-24,2204.0,
2021-02-25,2090.0,
2021-02-26,1987.0,
2021-02-27,1880.0,
2021-02-28,1748.0,
2021-03-01,1670.0,
2021-03-02,1631.0,
2021-03-03,1590.0,
2021-03-04,1552.0,
2021-03-05,1518.0,
2021-03-06,1524.0,
2021-03-07,1519.0,
2021-03-08,1490.0,
2021-03-09,1490.0,
2021-03-10,1458.0,
2021-03-11,1530.0,
2021-03-12,1613.0,
