,Israel cases,UK cases,Israel deaths,UK deaths
-10,-12.985346842412852,,-30.839076899248823,-15.17500952617948
-9,-14.510208562319761,,-30.839076899248823,-14.136850372881867
-8,-27.308991724830932,-23.17524738930183,-26.434600789901637,-14.683536428888019
-7,-33.6105691860526,-17.667846882471338,-25.112289940370175,-11.673263707977853
-6,-26.275130809802306,-12.256193690025583,-31.938743901494618,-10.362150350330097
-5,-36.451716640938194,-8.086421763744028,-19.823046542244242,-9.530067733080315
-4,-36.10970030924271,-6.221099913356738,-17.40106869046697,-5.357212289937991
-3,-31.700930552259464,-3.2800661876315047,-21.586773019437786,-2.416150179247694
-2,-29.18885168420894,-4.054187866035193,-15.859986060559123,-1.92623237656791
-1,-13.901300149451373,-0.53604815541064,-8.810888252149013,-0.6042319566383725
0,0.0,0.0,0.0,0.0
1,-19.254549247664272,-0.03126974717106634,-4.625183923178199,-0.8095308453803511
2,-19.065400573845864,-3.0513247298098207,-6.607682180748071,-0.9005155801637699
3,-25.949979570576716,-6.7377999127052846,-6.607682180748085,-0.6267837285077746
4,-29.11371604604797,-10.294163631981121,-4.404476109347172,-1.7668146788705457
5,-27.60957982802846,-11.245203676801111,-12.55517695345776,-2.4169278265535326
6,-33.91245548002769,-14.183827026181902,-16.959653062804918,-4.1611907335547045
7,-38.48835021816438,-18.64180178889012,-29.95624564392473,-5.83702067764186
8,-41.15459493486955,-22.54724663361627,-17.621776504297998,-6.076536047840847
9,-40.47183768697933,-24.616245285108434,-24.450166498877095,-8.208844960456602
10,-41.49662265420343,-27.52789847755419,-26.872144350654366,-10.318602101203012
11,-44.87673564690668,-29.598086030891906,-29.514830016262678,-14.924607093698711
12,-50.669160407641016,-32.18334495091301,-26.651436536823354,-18.61843179644302
13,-54.440518492841505,-35.899689256887484,-28.41516301401687,-21.274874993195553
14,-58.36993699902932,-37.75641192680273,-21.807480833268798,-25.573709299884115
15,-61.6036391248281,-39.80011791300496,-27.534267792147446,-28.013188898307064
16,-63.8967678693683,-43.469183012709856,-31.938743901494618,-28.856936225144437
17,-62.46776728950975,-46.64182458974743,-37.8862386742043,-33.405395317007915
18,-67.56965704532689,-49.89469261187078,-37.44675907999691,-37.05333882870762
19,-69.00642399457402,-52.083314332618905,-38.32765430186633,-39.73233379732955
20,-69.85501942047853,-54.75189409978958,-41.191047781305656,-42.65084413615048
21,-71.56514662950956,-57.199842999811075,-46.47641911252226,-45.0102260620718
22,-72.38005742102786,-59.32998052155333,-50.441415627662046,-46.3446688388948
23,-75.70834527137426,-60.183840055243216,-52.42391388523194,-47.46214801738818
24,-77.70738825424314,-60.96248933245605,-50.22070781383103,-50.347219522057955
25,-78.78010379149143,-62.431939440922974,-51.10160303570046,-53.35749224296812
26,-79.8126665157425,-64.36054995667837,-61.453573917757296,-55.92295070493727
