,United Kingdom,Sweden
2020-03-06,0.015,
2020-03-07,0.029,
2020-03-08,0.029,
2020-03-09,0.044,
2020-03-10,0.103,0.098
2020-03-11,0.103,0.098
2020-03-12,0.132,0.197
2020-03-13,0.147,0.295
2020-03-14,0.425,0.492
2020-03-15,0.63,0.689
2020-03-16,0.968,0.787
2020-03-17,1.217,1.378
2020-03-18,1.73,2.067
2020-03-19,2.404,2.953
2020-03-20,2.874,3.74
2020-03-21,3.724,4.823
2020-03-22,4.237,5.905
2020-03-23,5.351,7.972
2020-03-24,7.521,10.138
2020-03-25,10.322,13.189
2020-03-26,12.99,16.338
2020-03-27,17.212,19.783
2020-03-28,21.493,23.523
2020-03-29,24.616,27.952
2020-03-30,30.099,32.677
2020-03-31,36.023,37.893
2020-04-01,45.89,44.783
2020-04-02,55.522,52.657
2020-04-03,66.327,59.546
2020-04-04,77.426,36.712
2020-04-05,86.237,39.468
2020-04-06,94.594,46.948
2020-04-07,110.795,58.168
2020-04-08,125.925,67.617
2020-04-09,142.302,78.05
2020-04-10,158.766,85.629
2020-04-11,171.141,87.302
2020-04-12,180.773,88.483
2020-04-13,191.402,90.451
2020-04-14,207.236,101.672
2020-04-15,220.197,118.404
2020-04-16,235.445,131.199
2020-04-17,248.845,137.793
2020-04-18,265.09,148.718
2020-04-19,271.438,151.572
2020-04-20,279.883,155.509
2020-04-21,297.828,173.718
2020-04-22,310.393,190.647
2020-04-23,320.421,198.914
2020-04-24,335.346,211.808
2020-04-25,347.31,215.745
2020-04-26,352.646,215.942
2020-04-27,357.382,223.815
2020-04-28,371.618,231.788
2020-04-29,382.922,242.319
2020-04-30,392.246,254.524
2020-05-01,402.509,261.118
2020-05-02,411.086,262.693
2020-05-03,414.795,263.677
2020-05-04,418.798,272.535
2020-05-05,429.427,280.901
2020-05-06,438.913,289.464
2020-05-07,445.628,299.208
2020-05-08,454.132,312.495
2020-05-09,458.163,316.924
2020-05-10,461.345,317.416
2020-05-11,464.101,320.467
2020-05-12,473.118,326.078
2020-05-13,479.686,340.546
2020-05-14,484.861,347.337
2020-05-15,490.008,358.853
2020-05-16,496.033,361.609
2020-05-17,497.016,362.101
2020-05-18,499.156,363.971
2020-05-19,506.501,368.4
2020-05-20,511.325,377.061
2020-05-21,515.327,380.998
2020-05-22,519.594,386.313
2020-05-23,522.819,392.907
2020-05-24,528.376,393.498
2020-05-25,529.901,396.549
2020-05-26,531.821,405.998
2020-05-27,538.008,415.348
2020-05-28,543.037,419.875
2020-05-29,547.054,428.143
2020-05-30,549.312,432.572
2020-05-31,550.192,432.572
2020-06-01,551.453,433.359
2020-06-02,555.118,439.757
2020-06-03,558.842,447.04
2020-06-04,560.748,449.009
2020-06-05,564.531,456.587
2020-06-06,566.627,458.261
2020-06-07,567.419,458.556
2020-06-08,568.108,462.001
2020-06-09,570.996,464.264
2020-06-10,573.401,471.941
2020-06-11,574.515,473.811
2020-06-12,576.435,477.748
2020-06-13,578.004,479.717
2020-06-14,578.4,479.717
2020-06-15,578.825,481.39
2020-06-16,580.585,486.114
2020-06-17,582.197,496.154
2020-06-18,583.18,497.335
2020-06-19,584.411,497.335
2020-06-20,585.452,497.335
2020-06-21,585.907,497.335
2020-06-22,586.097,497.335
2020-06-23,587.475,507.964
2020-06-24,588.751,512.689
2020-06-25,590.202,514.756
2020-06-26,591.331,519.677
2020-06-27,591.918,519.677
2020-06-28,592.372,519.677
2020-06-29,592.68,519.677
2020-06-30,593.472,524.893
2020-07-01,594.894,528.535
2020-07-02,595.495,532.57
