date,New cases by specimen date,New cases by specimen date (seven-day average),Baseline,recent values,recent average values
2020-09-01,2250.0,1522.4285714285713,0,,
2020-09-02,2994.0,1757.4285714285713,0,,
2020-09-03,3098.0,1978.5714285714287,0,,
2020-09-04,3041.0,2180.714285714286,0,,
2020-09-05,2543.0,2369.5714285714284,0,,
2020-09-06,2445.0,2553.1428571428573,0,,
2020-09-07,3862.0,2890.4285714285716,0,,
2020-09-08,3302.0,3040.714285714286,0,,
2020-09-09,3329.0,3088.5714285714284,0,,
2020-09-10,3594.0,3159.4285714285716,0,,
2020-09-11,3290.0,3195.0,0,,
2020-09-12,2669.0,3213.0,0,,
2020-09-13,2141.0,3169.5714285714284,0,,
2020-09-14,3392.0,3102.4285714285716,0,,
2020-09-15,3546.0,3137.285714285714,0,,
2020-09-16,4359.0,3284.4285714285716,0,,
2020-09-17,4623.0,3431.4285714285716,0,,
2020-09-18,4957.0,3669.5714285714284,0,,
2020-09-19,4854.0,3981.714285714286,0,,
2020-09-20,5319.0,4435.714285714285,0,,
2020-09-21,5599.0,4751.0,0,,
2020-09-22,6404.0,5159.285714285715,0,,
2020-09-23,7055.0,5544.428571428572,0,,
2020-09-24,7605.0,5970.428571428572,0,,
2020-09-25,7240.0,6296.571428571428,0,,
2020-09-26,6761.0,6569.0,0,,
2020-09-27,6972.0,6805.142857142857,0,,
2020-09-28,9927.0,7423.428571428572,0,,
2020-09-29,10238.0,7971.142857142857,0,,
2020-09-30,12557.0,8757.142857142857,0,,
2020-10-01,13187.0,9554.57142857143,0,,
2020-10-02,13693.0,10476.42857142857,0,,
2020-10-03,11544.0,11159.714285714286,0,,
2020-10-04,11806.0,11850.285714285714,0,,
2020-10-05,16547.0,12796.0,0,,
2020-10-06,17061.0,13770.714285714286,0,,
2020-10-07,18328.0,14595.142857142857,0,,
2020-10-08,18246.0,15317.857142857143,0,,
2020-10-09,15726.0,15608.285714285714,0,,
2020-10-10,12517.0,15747.285714285714,0,,
2020-10-11,12071.0,15785.142857142857,0,,
2020-10-12,19446.0,16199.285714285714,0,,
2020-10-13,18900.0,16462.0,0,,
2020-10-14,19707.0,16659.0,0,,
2020-10-15,18440.0,16686.714285714286,0,,
2020-10-16,17726.0,16972.428571428572,0,,
2020-10-17,14764.0,17293.428571428572,0,,
2020-10-18,14192.0,17596.428571428572,0,,
2020-10-19,25611.0,18477.14285714286,0,,
2020-10-20,25326.0,19395.14285714286,0,,
2020-10-21,25448.0,20215.285714285714,0,,
2020-10-22,23246.0,20901.85714285714,0,,
2020-10-23,21475.0,21437.428571428572,0,,
2020-10-24,16239.0,21648.14285714286,0,,
2020-10-25,15726.0,21867.285714285714,0,,
2020-10-26,26547.0,22001.0,0,,
2020-10-27,24104.0,21826.428571428572,0,,
2020-10-28,23611.0,21564.0,0,,
2020-10-29,23358.0,21580.0,0,,
2020-10-30,22684.0,21752.714285714286,0,,
2020-10-31,16480.0,21787.14285714286,0,,
2020-11-01,15755.0,21791.285714285714,0,,
2020-11-02,31507.0,22499.85714285714,0,,
2020-11-03,25592.0,22712.428571428572,0,,
2020-11-04,23682.0,22722.571428571428,0,,
2020-11-05,23749.0,22778.428571428572,0,,
2020-11-06,23333.0,22871.14285714286,0,,
2020-11-07,18530.0,23164.0,0,,
2020-11-08,19960.0,23764.714285714286,0,,
2020-11-09,31046.0,23698.85714285714,0,,
2020-11-10,27414.0,23959.14285714286,0,,
2020-11-11,27359.0,24484.428571428572,0,,
2020-11-12,24469.0,24587.285714285714,0,,
2020-11-13,24042.0,24688.571428571428,0,,
2020-11-14,18008.0,24614.0,0,,
2020-11-15,16036.0,24053.428571428572,0,,
2020-11-16,26577.0,23415.0,0,,
2020-11-17,23166.0,22808.14285714286,0,,
2020-11-18,20764.0,21866.0,0,,
2020-11-19,17757.0,20907.14285714286,0,,
2020-11-20,16852.0,19880.0,0,,
2020-11-21,12359.0,19073.0,0,,
2020-11-22,11739.0,18459.14285714286,0,,
2020-11-23,18782.0,17345.571428571428,0,,
2020-11-24,16453.0,16386.571428571428,0,,
2020-11-25,16616.0,15794.0,0,,
2020-11-26,14579.0,15340.0,0,,
2020-11-27,14377.0,14986.42857142857,0,,
2020-11-28,10965.0,14787.285714285714,0,,
2020-11-29,10686.0,14636.857142857143,0,,
2020-11-30,18010.0,14526.57142857143,0,,
2020-12-01,16459.0,14527.42857142857,0,,
2020-12-02,16475.0,14507.285714285714,0,,
2020-12-03,15645.0,14659.57142857143,0,,
2020-12-04,15656.0,14842.285714285714,0,,
2020-12-05,12740.0,15095.857142857143,0,,
2020-12-06,13578.0,15509.0,0,,
2020-12-07,21335.0,15984.0,0,,
2020-12-08,20785.0,16602.0,0,,
2020-12-09,21614.0,17336.14285714286,0,,
2020-12-10,22614.0,18331.714285714286,0,,
2020-12-11,24089.0,19536.428571428572,0,,
2020-12-12,19366.0,20483.0,0,,
2020-12-13,21981.0,21683.428571428572,0,,
2020-12-14,34727.0,23596.571428571428,0,,
2020-12-15,33850.0,25463.0,0,,
2020-12-16,34924.0,27364.428571428572,0,,
2020-12-17,33889.0,28975.14285714286,0,,
2020-12-18,35833.0,30652.85714285714,0,,
2020-12-19,25147.0,31478.714285714286,0,,
2020-12-20,32459.0,32975.57142857143,0,,
2020-12-21,47378.0,34782.857142857145,0,,
2020-12-22,45665.0,36470.71428571428,0,,
2020-12-23,42191.0,37508.857142857145,0,,
2020-12-24,31820.0,37213.28571428572,0,,
2020-12-25,14179.0,34119.857142857145,0,,
2020-12-26,40370.0,36294.57142857143,0,,
2020-12-27,47730.0,38476.142857142855,0,,
2020-12-28,45600.0,38222.142857142855,0,,
2020-12-29,81527.0,43345.28571428572,0,,
2020-12-30,70792.0,47431.142857142855,0,,
2020-12-31,52792.0,50427.142857142855,0,,
2021-01-01,31847.0,52951.142857142855,0,,
2021-01-02,60390.0,55811.142857142855,0,,
2021-01-03,55175.0,56874.71428571428,0,,
2021-01-04,76151.0,61239.142857142855,0,,
2021-01-05,65095.0,58891.71428571428,0,,
2021-01-06,57382.0,56976.0,0,,
2021-01-07,51932.0,56853.142857142855,0,,
2021-01-08,47010.0,59019.28571428572,0,,
2021-01-09,39083.0,55975.42857142857,0,,
2021-01-10,36341.0,53284.857142857145,0,,
2021-01-11,57098.0,50563.0,0,,
2021-01-12,49381.0,48318.142857142855,0,,
2021-01-13,45379.0,46603.42857142857,0,,
2021-01-14,42367.0,45237.0,0,,
2021-01-15,40396.0,44292.142857142855,0,,
2021-01-16,30528.0,43070.0,0,,
2021-01-17,28840.0,41998.42857142857,0,,
2021-01-18,44769.0,40237.142857142855,0,,
2021-01-19,39468.0,38821.0,0,,
2021-01-20,35084.0,37350.28571428572,0,,
2021-01-21,31662.0,35821.0,0,,
2021-01-22,29525.0,34268.0,0,,
2021-01-23,21822.0,33024.28571428572,0,,
2021-01-24,17158.0,31355.428571428572,0,,
2021-01-25,29903.0,29231.714285714286,0,,
2021-01-26,26969.0,27446.14285714286,0,,
2021-01-27,25669.0,26101.14285714286,0,,
2021-01-28,24139.0,25026.428571428572,0,,
2021-01-29,21769.0,23918.428571428572,0,,
2021-01-30,16666.0,23181.85714285714,0,,
2021-01-31,15373.0,22926.85714285714,0,,
2021-02-01,22338.0,21846.14285714286,0,,
2021-02-02,19751.0,20815.0,0,,
2021-02-03,19395.0,19918.714285714286,0,,
2021-02-04,17954.0,19035.14285714286,0,,
2021-02-05,15840.0,18188.14285714286,0,,
2021-02-06,11967.0,17516.85714285714,0,,
2021-02-07,11357.0,16943.14285714286,0,,
2021-02-08,15695.0,15994.142857142857,0,,
2021-02-09,13793.0,15143.0,0,,
2021-02-10,13480.0,14298.0,0,,
