date,Daily deaths,Daily deaths (seven-day average),Baseline,recent values,recent average values
2020-09-01,3.0,7.0,0,,
2020-09-02,9.0,8.0,0,,
2020-09-03,10.0,8.0,0,,
2020-09-04,7.0,9.0,0,,
2020-09-05,13.0,10.0,0,,
2020-09-06,8.0,10.0,0,,
2020-09-07,15.0,11.0,0,,
2020-09-08,9.0,11.0,0,,
2020-09-09,9.0,12.0,0,,
2020-09-10,13.0,13.0,0,,
2020-09-11,13.0,14.0,0,,
2020-09-12,18.0,15.0,0,,
2020-09-13,16.0,18.0,0,,
2020-09-14,21.0,20.0,0,,
2020-09-15,18.0,21.0,0,,
2020-09-16,26.0,22.0,0,,
2020-09-17,27.0,24.0,0,,
2020-09-18,24.0,25.0,0,,
2020-09-19,20.0,28.0,0,,
2020-09-20,32.0,32.0,0,,
2020-09-21,27.0,33.0,0,,
2020-09-22,39.0,34.0,0,,
2020-09-23,56.0,37.0,0,,
2020-09-24,35.0,39.0,0,,
2020-09-25,32.0,43.0,0,,
2020-09-26,39.0,44.0,0,,
2020-09-27,47.0,45.0,0,,
2020-09-28,54.0,49.0,0,,
2020-09-29,48.0,54.0,0,,
2020-09-30,57.0,58.0,0,,
2020-10-01,66.0,60.0,0,,
2020-10-02,69.0,63.0,0,,
2020-10-03,67.0,66.0,0,,
2020-10-04,60.0,72.0,0,,
2020-10-05,72.0,76.0,0,,
2020-10-06,71.0,78.0,0,,
2020-10-07,102.0,83.0,0,,
2020-10-08,93.0,92.0,0,,
2020-10-09,79.0,98.0,0,,
2020-10-10,103.0,103.0,0,,
2020-10-11,123.0,105.0,0,,
2020-10-12,113.0,114.0,0,,
2020-10-13,110.0,124.0,0,,
2020-10-14,116.0,134.0,0,,
2020-10-15,151.0,139.0,0,,
2020-10-16,149.0,151.0,0,,
2020-10-17,178.0,163.0,0,,
2020-10-18,159.0,178.0,0,,
2020-10-19,191.0,190.0,0,,
2020-10-20,195.0,200.0,0,,
2020-10-21,221.0,205.0,0,,
2020-10-22,236.0,218.0,0,,
2020-10-23,222.0,231.0,0,,
2020-10-24,214.0,241.0,0,,
2020-10-25,250.0,250.0,0,,
2020-10-26,277.0,261.0,0,,
2020-10-27,266.0,278.0,0,,
2020-10-28,286.0,293.0,0,,
2020-10-29,311.0,308.0,0,,
2020-10-30,339.0,316.0,0,,
2020-10-31,320.0,330.0,0,,
2020-11-01,358.0,336.0,0,,
2020-11-02,335.0,346.0,0,,
2020-11-03,360.0,354.0,0,,
2020-11-04,329.0,365.0,0,,
2020-11-05,379.0,373.0,0,,
2020-11-06,400.0,394.0,0,,
2020-11-07,392.0,398.0,0,,
2020-11-08,415.0,406.0,0,,
2020-11-09,480.0,412.0,0,,
2020-11-10,389.0,417.0,0,,
2020-11-11,390.0,423.0,0,,
2020-11-12,421.0,428.0,0,,
2020-11-13,435.0,420.0,0,,
2020-11-14,430.0,428.0,0,,
2020-11-15,454.0,441.0,0,,
2020-11-16,423.0,447.0,0,,
2020-11-17,440.0,450.0,0,,
2020-11-18,487.0,455.0,0,,
2020-11-19,462.0,458.0,0,,
2020-11-20,453.0,464.0,0,,
2020-11-21,465.0,467.0,0,,
2020-11-22,475.0,466.0,0,,
2020-11-23,464.0,462.0,0,,
2020-11-24,461.0,458.0,0,,
2020-11-25,484.0,458.0,0,,
2020-11-26,433.0,457.0,0,,
2020-11-27,423.0,451.0,0,,
2020-11-28,467.0,442.0,0,,
2020-11-29,464.0,428.0,0,,
2020-11-30,423.0,434.0,0,,
2020-12-01,399.0,441.0,0,,
2020-12-02,386.0,430.0,0,,
2020-12-03,474.0,424.0,0,,
2020-12-04,472.0,424.0,0,,
2020-12-05,395.0,429.0,0,,
2020-12-06,420.0,435.0,0,,
2020-12-07,420.0,432.0,0,,
2020-12-08,435.0,429.0,0,,
2020-12-09,431.0,435.0,0,,
2020-12-10,448.0,434.0,0,,
2020-12-11,452.0,443.0,0,,
2020-12-12,437.0,446.0,0,,
2020-12-13,418.0,447.0,0,,
2020-12-14,479.0,459.0,0,,
2020-12-15,459.0,468.0,0,,
2020-12-16,433.0,476.0,0,,
2020-12-17,537.0,488.0,0,,
2020-12-18,514.0,502.0,0,,
