Date,New cases,7 day rolling average
2020-09-01,1295,
2020-09-02,1508,
2020-09-03,1735,
2020-09-04,1940,
2020-09-05,1813,
2020-09-06,2988,
2020-09-07,2948,2032.4285714285713
2020-09-08,2460,2198.8571428571427
2020-09-09,2659,2363.285714285714
2020-09-10,2919,2532.4285714285716
2020-09-11,3539,2760.8571428571427
2020-09-12,3497,3001.4285714285716
2020-09-13,3330,3050.285714285714
2020-09-14,2621,3003.5714285714284
2020-09-15,3105,3095.714285714286
2020-09-16,3991,3286.0
2020-09-17,3395,3354.0
2020-09-18,4322,3465.8571428571427
2020-09-19,4422,3598.0
2020-09-20,3899,3679.285714285714
2020-09-21,4368,3928.8571428571427
2020-09-22,4926,4189.0
2020-09-23,6178,4501.428571428572
2020-09-24,6634,4964.142857142857
2020-09-25,6874,5328.714285714285
2020-09-26,6042,5560.142857142857
2020-09-27,5693,5816.428571428572
2020-09-28,4044,5770.142857142857
2020-09-29,7143,6086.857142857143
2020-09-30,7108,6219.714285714285
2020-10-01,6914,6259.714285714285
2020-10-02,6968,6273.142857142857
2020-10-03,12872,7248.857142857143
2020-10-04,22961,9715.714285714286
2020-10-05,12594,10937.142857142857
2020-10-06,14542,11994.142857142857
2020-10-07,14162,13001.857142857143
2020-10-08,17540,14519.857142857143
2020-10-09,13864,15505.0
2020-10-10,15166,15832.714285714286
2020-10-11,12872,14391.42857142857
2020-10-12,13972,14588.285714285714
2020-10-13,17234,14972.857142857143
2020-10-14,19724,15767.42857142857
2020-10-15,18980,15973.142857142857
2020-10-16,15650,16228.285714285714
2020-10-17,16171,16371.857142857143
2020-10-18,16982,16959.0
2020-10-19,18804,17649.285714285714
2020-10-20,21331,18234.571428571428
2020-10-21,26688,19229.428571428572
2020-10-22,21242,19552.571428571428
2020-10-23,20530,20249.714285714286
2020-10-24,23012,21227.0
2020-10-25,19790,21628.14285714286
2020-10-26,20890,21926.14285714286
2020-10-27,22885,22148.14285714286
2020-10-28,24701,21864.285714285714
2020-10-29,23065,22124.714285714286
