,Administered per 100 population,Total administered,Latest data
Alabama,38.54328286395374,1896920.0,2021-04-07
Alaska,60.22815861961437,440363.0,2021-04-07
Arizona,52.07761984563292,3864889.0,2021-04-07
Arkansas,43.726493323592436,1325141.0,2021-04-07
California,52.03619795713674,20485651.0,2021-04-07
Colorado,51.963671107365904,3017904.0,2021-04-07
Connecticut,61.46124015534413,2186180.0,2021-04-07
Delaware,52.60035123311604,519065.0,2021-04-07
District of Columbia,57.853359071625775,412388.0,2021-04-07
Florida,48.983238265755354,10645680.0,2021-04-07
Georgia,39.97600564032718,4281437.0,2021-04-07
Hawaii,54.78860786663312,770879.0,2021-04-07
Idaho,45.36702076125136,828816.0,2021-04-07
Illinois,52.654802014374546,6627939.0,2021-04-07
Indiana,45.31591855635413,3061069.0,2021-04-07
Iowa,54.24984692882483,1716227.0,2021-04-07
Kansas,50.126278182651205,1460582.0,2021-04-07
Kentucky,52.125310821305305,2333781.0,2021-04-07
Louisiana,45.94673604691864,2134372.0,2021-04-07
Maine,59.1199733953713,798203.0,2021-04-07
Maryland,52.419233653940466,3174405.0,2021-04-07
Massachusetts,59.18227613136524,4079774.0,2021-04-07
Michigan,49.5412607465669,4937557.0,2021-04-07
Minnesota,54.52601239239204,3084723.0,2021-04-07
Mississippi,46.39438099006804,1376422.0,2021-04-07
Missouri,46.50913883789901,2861032.0,2021-04-07
Montana,53.23942671369093,575293.0,2021-04-07
Nebraska,53.47226809912715,1036053.0,2021-04-07
Nevada,47.38856799263541,1487176.0,2021-04-07
New Hampshire,58.62084865784707,800922.0,2021-04-07
New Jersey,56.0640734326454,4979819.0,2021-04-07
New Mexico,65.37727666132243,1377054.0,2021-04-07
New York,55.652203862732854,10761342.0,2021-04-07
North Carolina,49.760589342921776,5275032.0,2021-04-07
North Dakota,59.18302280516758,452933.0,2021-04-07
Ohio,51.29116307342967,5997587.0,2021-04-07
Oklahoma,53.47756961381718,2128826.0,2021-04-07
Oregon,49.25782275026305,2089274.0,2021-04-07
Pennsylvania,53.21518292603745,6802632.0,2021-04-07
Rhode Island,60.66217334752276,641275.0,2021-04-07
South Carolina,44.8821588182536,2341969.0,2021-04-07
South Dakota,60.96064038211437,544206.0,2021-04-07
Tennessee,44.21979678906156,3045344.0,2021-04-07
Texas,45.290760364880214,13297711.0,2021-04-07
Utah,48.43346475361083,1574029.0,2021-04-07
Vermont,60.36108299229803,376259.0,2021-04-07
Virginia,53.44717220512788,4591413.0,2021-04-07
Washington,52.53051492588917,4041494.0,2021-04-07
West Virginia,53.34093087858663,952022.0,2021-04-07
Wisconsin,55.87609759191997,3259060.0,2021-04-07
Wyoming,49.50302922064541,288270.0,2021-04-07
