,Weekly change in weekly cases per million
World,-4.760498777774725
2020 Summer Olympics athletes & staff,
Afghanistan,-18.944993386757957
Africa,-26.800563304721024
Albania,17.86991452991453
Algeria,-11.557420561692656
Andorra,-18.91892456932598
Angola,-1.0411939696465367
Antigua and Barbuda,0.6622620475921215
Argentina,-24.746352974294606
Armenia,5.711810768592351
Asia,-6.691133339908539
Australia,46.91892382721608
Austria,11.540150750786404
Azerbaijan,6.649511924697893
Bahamas,-22.903884318651315
Bahrain,-7.960844064833383
Bangladesh,-26.76801324369612
Barbados,144.72055683127977
Belarus,15.401891816015656
Belgium,-0.5922376758628278
Belize,23.618066935072534
Benin,12.472568954119257
Bhutan,-66.66666666666667
Bolivia,-24.61998308230333
Bosnia and Herz.,18.094576684193562
Botswana,-24.659009578825287
Brazil,-13.453909851220791
Brunei,-31.90066668381627
Bulgaria,4.653702760852063
Burkina Faso,5.063752276867017
Burundi,-25.3162291169451
Cambodia,-2.52598606128267
Cameroon,-19.154961168587214
Canada,20.659368282526213
Cape Verde,52.073725559246896
Central African Republic,36.846193682030034
Chad,50.42372881355932
Chile,-14.835162313372896
China,5.4263565891472965
Colombia,-20.387610045490923
Comoros,154.543251756724
Congo,-59.26081126382836
Costa Rica,9.209250500087585
Cote d'Ivoire,54.814890780432776
Croatia,25.99043284925917
Cuba,-28.45497915381231
Cyprus,-13.764207750219581
Czech Rep.,12.089125789334677
Democratic Republic of Congo,31.204490291262132
Denmark,-19.63472704713577
Djibouti,51.6132160869003
Dominica,27.720197033282325
Dominican Republic,3.3989703615368905
Ecuador,-58.502683807514664
Egypt,40.19688269073009
El Salvador,46.06969186611949
Equatorial Guinea,373.38524858519247
Eritrea,-66.66095009432344
Estonia,12.931046922725397
Eswatini,-48.15442236719241
Ethiopia,-2.723876400984604
Europe,-1.1210319509806776
European Union,-2.846502413956775
Fiji,-6.192371792914553
Finland,6.6499589268061765
France,1.5261145165744505
Gabon,233.68595279217038
Gambia,20.119196527113537
Georgia,-21.288368749557975
Germany,15.889334943481614
Ghana,-17.023575259482193
Greece,-12.8487293463179
Grenada,313.2232261776447
Guatemala,-9.116108081780306
Guinea,-22.188725345313387
Guinea-Bissau,-41.608586267891
Guyana,24.45656282429265
Haiti,0.0
Honduras,22.068046409532748
Hong Kong,-60.003356831151386
Hungary,44.215887431910275
Iceland,-17.228441782154157
India,15.311950313796174
Indonesia,-42.91752663289344
International,
Iran,-15.492000710091647
Iraq,-5.033078928952062
Ireland,-38.38319099439492
Israel,24.706172538645287
Italy,-7.948663682847734
Jamaica,10.859236809180729
Japan,-19.53417431971648
Jordan,30.408321657880677
Kazakhstan,-20.931721014213633
Kenya,-24.881016633138707
Kiribati,
Kosovo,-21.38096025629912
