,Occupied beds,Available but unoccupied
2020-11-02,673.0,250.0
2020-11-03,708.0,206.0
2020-11-04,719.0,193.0
2020-11-05,716.0,211.0
2020-11-06,732.0,203.0
2020-11-07,704.0,226.0
2020-11-08,682.0,244.0
2020-11-09,693.0,221.0
2020-11-10,730.0,187.0
2020-11-11,747.0,176.0
2020-11-12,747.0,173.0
2020-11-13,771.0,158.0
2020-11-14,752.0,194.0
2020-11-15,741.0,212.0
2020-11-16,732.0,208.0
2020-11-17,745.0,206.0
2020-11-18,756.0,209.0
2020-11-19,773.0,176.0
2020-11-20,781.0,166.0
2020-11-21,761.0,181.0
2020-11-22,761.0,187.0
2020-11-23,757.0,187.0
2020-11-24,787.0,154.0
2020-11-25,793.0,169.0
2020-11-26,806.0,152.0
2020-11-27,819.0,144.0
2020-11-28,798.0,161.0
2020-11-29,789.0,170.0
2020-11-30,743.0,209.0
2020-12-01,788.0,167.0
2020-12-02,806.0,156.0
2020-12-03,859.0,170.0
2020-12-04,801.0,232.0
2020-12-05,826.0,145.0
2020-12-06,845.0,183.0
2020-12-07,819.0,166.0
2020-12-08,836.0,182.0
2020-12-09,853.0,169.0
2020-12-10,872.0,154.0
2020-12-11,840.0,160.0
2020-12-12,811.0,197.0
2020-12-13,840.0,152.0
2020-12-14,799.0,183.0
2020-12-15,841.0,140.0
2020-12-16,863.0,121.0
2020-12-17,855.0,133.0
2020-12-18,870.0,119.0
2020-12-19,875.0,131.0
2020-12-20,863.0,137.0
2020-12-21,887.0,97.0
2020-12-22,926.0,95.0
2020-12-23,921.0,95.0
2020-12-24,894.0,130.0
2020-12-25,927.0,121.0
2020-12-26,903.0,136.0
2020-12-27,913.0,135.0
2020-12-28,964.0,132.0
2020-12-29,963.0,145.0
2020-12-30,1004.0,140.0
2020-12-31,1028.0,148.0
2021-01-01,1038.0,147.0
2021-01-02,1040.0,132.0
2021-01-03,1074.0,150.0
2021-01-04,1080.0,175.0
2021-01-05,1095.0,188.0
2021-01-06,1139.0,170.0
2021-01-07,1200.0,189.0
2021-01-08,1215.0,205.0
2021-01-09,1361.0,104.0
2021-01-10,1339.0,132.0
2021-01-11,1331.0,157.0
2021-01-12,1381.0,132.0
2021-01-13,1428.0,99.0
2021-01-14,1474.0,96.0
2021-01-15,1492.0,94.0
2021-01-16,1488.0,105.0
2021-01-17,1486.0,109.0
2021-01-18,1490.0,105.0
2021-01-19,1500.0,110.0
2021-01-20,1501.0,117.0
2021-01-21,1520.0,105.0
2021-01-22,1505.0,121.0
2021-01-23,1516.0,100.0
2021-01-24,1508.0,112.0
2021-01-25,1505.0,124.0
2021-01-26,1515.0,136.0
2021-01-27,1498.0,116.0
2021-01-28,1500.0,120.0
2021-01-29,1525.0,103.0
2021-01-30,1499.0,123.0
2021-01-31,1472.0,143.0
2021-02-01,1462.0,150.0
2021-02-02,1459.0,159.0
2021-02-03,1459.0,142.0
2021-02-04,1465.0,139.0
2021-02-05,1436.0,158.0
2021-02-06,1367.0,204.0
2021-02-07,1388.0,182.0
