,Occupied beds,Available but unoccupied
2020-11-02,516.0,211.0
2020-11-03,505.0,177.0
2020-11-04,515.0,175.0
2020-11-05,518.0,172.0
2020-11-06,522.0,198.0
2020-11-07,517.0,206.0
2020-11-08,496.0,231.0
2020-11-09,489.0,223.0
2020-11-10,517.0,198.0
2020-11-11,544.0,187.0
2020-11-12,560.0,162.0
2020-11-13,547.0,181.0
2020-11-14,576.0,171.0
2020-11-15,555.0,189.0
2020-11-16,556.0,191.0
2020-11-17,583.0,163.0
2020-11-18,588.0,157.0
2020-11-19,607.0,146.0
2020-11-20,576.0,163.0
2020-11-21,584.0,162.0
2020-11-22,570.0,179.0
2020-11-23,572.0,175.0
2020-11-24,580.0,180.0
2020-11-25,582.0,175.0
2020-11-26,568.0,185.0
2020-11-27,571.0,185.0
2020-11-28,553.0,202.0
2020-11-29,536.0,216.0
2020-11-30,534.0,207.0
2020-12-01,532.0,210.0
2020-12-02,518.0,210.0
2020-12-03,535.0,206.0
2020-12-04,539.0,199.0
2020-12-05,496.0,223.0
2020-12-06,514.0,225.0
2020-12-07,502.0,222.0
2020-12-08,527.0,212.0
2020-12-09,531.0,203.0
2020-12-10,519.0,212.0
2020-12-11,512.0,205.0
2020-12-12,521.0,190.0
2020-12-13,478.0,227.0
2020-12-14,490.0,216.0
2020-12-15,516.0,190.0
2020-12-16,536.0,174.0
2020-12-17,514.0,189.0
2020-12-18,512.0,199.0
2020-12-19,520.0,195.0
2020-12-20,487.0,211.0
2020-12-21,473.0,219.0
2020-12-22,494.0,202.0
2020-12-23,499.0,199.0
2020-12-24,509.0,185.0
2020-12-25,476.0,208.0
2020-12-26,500.0,183.0
2020-12-27,491.0,203.0
2020-12-28,476.0,206.0
2020-12-29,486.0,178.0
2020-12-30,506.0,179.0
2020-12-31,535.0,174.0
2021-01-01,506.0,188.0
2021-01-02,519.0,176.0
2021-01-03,504.0,184.0
2021-01-04,522.0,171.0
2021-01-05,545.0,156.0
2021-01-06,537.0,182.0
2021-01-07,552.0,170.0
2021-01-08,567.0,164.0
2021-01-09,571.0,196.0
2021-01-10,557.0,204.0
2021-01-11,574.0,192.0
2021-01-12,593.0,183.0
2021-01-13,605.0,163.0
2021-01-14,633.0,147.0
2021-01-15,613.0,167.0
2021-01-16,613.0,185.0
2021-01-17,604.0,187.0
2021-01-18,610.0,179.0
2021-01-19,626.0,165.0
2021-01-20,617.0,179.0
2021-01-21,634.0,188.0
2021-01-22,664.0,165.0
2021-01-23,673.0,153.0
2021-01-24,646.0,175.0
2021-01-25,633.0,189.0
2021-01-26,659.0,175.0
2021-01-27,666.0,164.0
2021-01-28,665.0,179.0
2021-01-29,668.0,179.0
2021-01-30,664.0,170.0
2021-01-31,660.0,181.0
2021-02-01,647.0,193.0
2021-02-02,655.0,207.0
2021-02-03,652.0,206.0
2021-02-04,661.0,180.0
2021-02-05,665.0,184.0
2021-02-06,638.0,200.0
2021-02-07,640.0,202.0
