,Occupied beds,Available but unoccupied
2020-11-02,437.0,126.0
2020-11-03,454.0,125.0
2020-11-04,470.0,91.0
2020-11-05,455.0,114.0
2020-11-06,456.0,123.0
2020-11-07,465.0,115.0
2020-11-08,458.0,122.0
2020-11-09,452.0,123.0
2020-11-10,469.0,107.0
2020-11-11,484.0,123.0
2020-11-12,497.0,102.0
2020-11-13,497.0,101.0
2020-11-14,493.0,105.0
2020-11-15,465.0,126.0
2020-11-16,456.0,142.0
2020-11-17,465.0,134.0
2020-11-18,489.0,121.0
2020-11-19,484.0,119.0
2020-11-20,479.0,127.0
2020-11-21,477.0,121.0
2020-11-22,469.0,132.0
2020-11-23,451.0,157.0
2020-11-24,455.0,155.0
2020-11-25,464.0,147.0
2020-11-26,472.0,145.0
2020-11-27,468.0,153.0
2020-11-28,458.0,156.0
2020-11-29,434.0,181.0
2020-11-30,419.0,197.0
2020-12-01,428.0,177.0
2020-12-02,422.0,186.0
2020-12-03,441.0,173.0
2020-12-04,439.0,175.0
2020-12-05,421.0,200.0
2020-12-06,420.0,195.0
2020-12-07,417.0,193.0
2020-12-08,440.0,172.0
2020-12-09,432.0,178.0
2020-12-10,437.0,164.0
2020-12-11,427.0,210.0
2020-12-12,417.0,176.0
2020-12-13,418.0,176.0
2020-12-14,408.0,187.0
2020-12-15,423.0,168.0
2020-12-16,422.0,172.0
2020-12-17,432.0,154.0
2020-12-18,431.0,159.0
2020-12-19,420.0,161.0
2020-12-20,398.0,181.0
2020-12-21,391.0,186.0
2020-12-22,417.0,164.0
2020-12-23,407.0,175.0
2020-12-24,410.0,169.0
2020-12-25,399.0,181.0
2020-12-26,382.0,197.0
2020-12-27,376.0,202.0
2020-12-28,395.0,185.0
2020-12-29,409.0,175.0
2020-12-30,433.0,144.0
2020-12-31,434.0,142.0
2021-01-01,441.0,139.0
2021-01-02,434.0,149.0
2021-01-03,429.0,151.0
2021-01-04,436.0,150.0
2021-01-05,450.0,134.0
2021-01-06,478.0,115.0
2021-01-07,484.0,111.0
2021-01-08,488.0,105.0
2021-01-09,474.0,117.0
2021-01-10,482.0,109.0
2021-01-11,472.0,123.0
2021-01-12,496.0,120.0
2021-01-13,520.0,105.0
2021-01-14,527.0,100.0
2021-01-15,532.0,98.0
2021-01-16,536.0,117.0
2021-01-17,542.0,114.0
2021-01-18,539.0,113.0
2021-01-19,548.0,122.0
2021-01-20,530.0,160.0
2021-01-21,588.0,101.0
2021-01-22,602.0,91.0
2021-01-23,587.0,105.0
2021-01-24,583.0,120.0
2021-01-25,570.0,134.0
2021-01-26,563.0,151.0
2021-01-27,574.0,145.0
2021-01-28,570.0,151.0
2021-01-29,587.0,135.0
2021-01-30,586.0,147.0
2021-01-31,550.0,181.0
2021-02-01,559.0,185.0
2021-02-02,570.0,138.0
2021-02-03,559.0,152.0
2021-02-04,587.0,140.0
2021-02-05,575.0,135.0
2021-02-06,546.0,160.0
2021-02-07,542.0,172.0
