,First wave from 1 Mar,Second wave from 1 Sep,Recent deaths
0,0,3.0,
1,1,9.0,
2,2,10.0,
3,0,7.0,
4,3,13.0,
5,0,8.0,
6,0,15.0,
7,3,9.0,
8,5,9.0,
9,3,13.0,
10,8,13.0,
11,13,18.0,
12,16,16.0,
13,22,21.0,
14,32,18.0,
15,46,26.0,
16,52,27.0,
17,68,23.0,
18,74,20.0,
19,109,31.0,
20,131,27.0,
21,165,39.0,
22,186,56.0,
23,237,35.0,
24,302,32.0,
25,360,39.0,
26,398,47.0,
27,436,54.0,
28,507,48.0,
29,587,57.0,
30,661,66.0,
31,767,68.0,
32,806,66.0,
33,839,60.0,
34,905,70.0,
35,915,70.0,
36,892,101.0,
37,999,92.0,
38,1073,79.0,
39,999,103.0,
40,941,122.0,
41,956,112.0,
42,957,110.0,
43,893,115.0,
44,859,151.0,
45,879,147.0,
46,840,176.0,
47,818,159.0,
48,799,191.0,
49,766,194.0,
50,783,222.0,
51,742,234.0,
52,729,222.0,
53,675,213.0,
54,683,247.0,
55,647,277.0,
56,634,266.0,
57,595,283.0,
58,560,310.0,
59,570,338.0,
60,551,319.0,
61,568,358.0,
62,494,331.0,
63,448,361.0,
64,484,328.0,
65,464,375.0,
66,461,402.0,
67,461,390.0,
68,383,414.0,
69,378,480.0,
70,347,387.0,
71,308,387.0,
72,320,419.0,
73,316,433.0,
74,333,427.0,
75,312,452.0,
76,313,424.0,
77,267,440.0,
78,293,485.0,
79,275,462.0,
80,267,451.0,
81,237,464.0,
82,222,475.0,
83,218,463.0,
84,195,458.0,
85,201,482.0,
86,212,431.0,
87,197,420.0,
88,217,463.0,
89,186,460.0,
90,163,422.0,
91,126,403.0,
92,135,386.0,
93,169,470.0,
94,155,474.0,
95,135,395.0,
96,123,416.0,
97,111,420.0,
98,127,436.0,
99,123,431.0,
100,90,445.0,
101,109,451.0,
102,80,436.0,
103,80,420.0,
104,63,478.0,
105,87,456.0,
106,70,434.0,
107,84,535.0,
108,59,513.0,
109,61,487.0,
110,52,504.0,
111,60,572.0,
112,54,563.0,
113,64,565.0,
114,64,582.0,
115,74,609.0,
116,68,651.0,
117,41,642.0,
118,49,674.0,
119,45,656.0,
120,39,718.0,
121,47,751.0,
122,27,743.0,
123,43,752.0,
124,29,754.0,
125,33,838.0,
126,27,903.0,
127,36,929.0,
128,27,990.0,
129,24,980.0,
130,37,1014.0,
131,21,1090.0,
132,21,1127.0,
133,13,1205.0,
134,24,1209.0,
135,21,1215.0,
136,20,1223.0,
137,13,1301.0,
138,18,1258.0,
139,15,1291.0,
140,14,1353.0,
141,12,1287.0,
142,20,1230.0,
143,17,1234.0,
144,16,1155.0,
145,7,1148.0,
146,16,1153.0,
147,16,1053.0,
148,11,1109.0,
149,12,1101.0,
150,12,1061.0,
151,10,893.0,
152,14,881.0,
153,11,878.0,
154,10,832.0,
155,15,837.0,
156,14,698.0,
157,6,732.0,
158,9,667.0,
159,13,612.0,
160,14,649.0,
161,8,556.0,
162,13,552.0,
163,10,501.0,501.0
164,7,,440.0
165,9,,410.0
166,7,,372.0
167,12,,345.0
168,4,,128.0
169,12,,
170,9,,
171,3,,
172,8,,
173,7,,
174,8,,
175,14,,
176,6,,
177,12,,
178,11,,
179,8,,
180,10,,
181,5,,
182,6,,
183,9,,
