,OECD Weekly Tracker of GDP
:ar: Argentina,-1.72617553564432
:au: Australia,0.5396931827831688
:br: Brazil,1.605266491099986
:ca: Canada,-2.840916833861297
:cl: Chile,1.03571391539245
:dk: Denmark,-3.974901406986305
:fr: France,-3.615705284271242
:de: Germany,-8.296284881749747
:in: India,2.817406201173393
:id: Indonesia,-0.7476005149172398
:ie: Ireland,-1.253142274004276
:il: Israel,1.216347952110007
:it: Italy,-3.218830069342768
:jp: Japan,-1.48252861707063
:mx: Mexico,-1.531516560777667
:nl: Netherlands,-3.440356143387257
:nz: New Zealand,2.696926539813197
:no: Norway,-2.702835144940771
:pl: Poland,-1.891728472774979
:ru: Russia,1.818687637211981
:za: South Africa,-2.52515806575903
:es: Spain,-6.635856998259691
:se: Sweden,-2.335142464408174
:ch: Switzerland,-3.24769264398942
:tr: Turkey,-0.2394134571500702
:gb: United Kingdom,-8.425305727200307
:us: United States,-1.262092751812633
