,Stringency index,Economic activity,Weekly cases per million
Argentina,68.06,-2.682758745664154,1019.697
Australia,50.46,6.130987885122947,3.2939999999999996
Austria,75.93,-4.09955209019217,2053.873
Belgium,60.19,-5.253017583333072,1759.506
Brazil,64.35,-3.534837912999444,2183.041
Bulgaria,53.7,-1.787405779236177,2626.343
Canada,75.46,-2.322351324842731,593.395
Chile,79.17,-2.253826302484569,1847.908
Colombia,81.02,-0.7537367291848281,520.568
Denmark,62.96,-1.296434938554085,970.788
Estonia,41.67,-0.4458525851275341,7390.661
Finland,52.31,-4.718422960754551,867.3969999999999
France,78.7,-0.06699730787792893,2570.66
Germany,77.78,-5.377100504444569,837.7139999999999
Greece,88.89,-3.622488066326096,1537.649
Hungary,79.63,-2.392172482892554,5224.759
Iceland,40.74,9.891844896279451,38.095
India,63.43,2.932647592730691,113.0
Indonesia,68.98,-1.696280053684283,145.483
Ireland,84.26,-1.128988685809094,713.2739999999999
Israel,54.63,1.437111685348574,2010.504
Italy,84.26,3.615543244475572,2574.451
Japan,45.37,3.115887748951266,62.707
South Korea,58.33,2.667828069965333,62.416000000000004
Latvia,56.48,-1.590114337391834,1829.0720000000001
Lithuania,66.67,3.352556927098685,1164.828
Luxembourg,61.11,-2.513816740991197,1928.1889999999999
Mexico,60.65,-4.557272257922062,292.323
Netherlands,75.0,-2.505850811588954,2201.1839999999997
New Zealand,22.22,3.155035862792343,5.184
Norway,69.44,-0.3905380896396927,1014.159
Poland,73.15,-0.2899944804448636,2951.863
Portugal,87.96,-5.504797530945359,408.269
Romania,73.15,-1.669625853501905,1633.565
Russia,40.28,2.811235115941782,459.91900000000004
Slovenia,69.44,-3.206003584693568,2359.866
South Africa,48.15,-0.9220294115614075,140.82299999999998
Spain,71.3,-2.09883016471566,741.9989999999999
Sweden,69.44,-1.227973063778629,2729.5040000000004
Switzerland,60.19,2.669267476705909,965.3810000000001
Turkey,64.81,-1.129243508973411,1173.513
United Kingdom,82.41,-5.936399701644588,597.237
United States,64.35,-0.674226787511482,1135.015
