,GDP growth
Argentina,-2.682758745664154
Australia,6.130987885122947
Austria,-4.09955209019217
Belgium,-5.253017583333072
Brazil,-3.534837912999444
Bulgaria,-1.787405779236177
Canada,-2.322351324842731
Chile,-2.253826302484569
Colombia,-0.7537367291848281
Denmark,-1.296434938554085
Estonia,-0.4458525851275341
Finland,-4.718422960754551
France,-0.06699730787792893
Germany,-5.377100504444569
Greece,-3.622488066326096
Hungary,-2.392172482892554
Iceland,9.891844896279451
India,2.932647592730691
Indonesia,-1.696280053684283
Ireland,-1.128988685809094
Israel,1.437111685348574
Italy,3.615543244475572
Japan,3.115887748951266
South Korea,2.667828069965333
Latvia,-1.590114337391834
Lithuania,3.352556927098685
Luxembourg,-2.513816740991197
Mexico,-4.557272257922062
Netherlands,-2.505850811588954
New Zealand,3.155035862792343
Norway,-0.3905380896396927
Poland,-0.2899944804448636
Portugal,-5.504797530945359
Romania,-1.669625853501905
Russia,2.811235115941782
Slovenia,-3.206003584693568
South Africa,-0.9220294115614075
Spain,-2.09883016471566
Sweden,-1.227973063778629
Switzerland,2.669267476705909
Turkey,-1.129243508973411
United Kingdom,-5.936399701644588
United States,-0.674226787511482
