,Vaccination complete,Cumulative %,Extrapolated %
2020-12-08,0.0,0.0,
2020-12-09,0.0,0.0,
2020-12-10,0.0,0.0,
2020-12-11,0.0,0.0,
2020-12-12,0.0,0.0,
2020-12-13,0.0,0.0,
2020-12-14,0.0,0.0,
2020-12-15,0.0,0.0,
2020-12-16,0.0,0.0,
2020-12-17,0.0,0.0,
2020-12-18,0.0,0.0,
2020-12-19,0.0,0.0,
2020-12-20,0.0,0.0,
2020-12-21,0.0,0.0,
2020-12-22,0.0,0.0,
2020-12-23,0.0,0.0,
2020-12-24,0.0,0.0,
2020-12-25,0.0,0.0,
2020-12-26,0.0,0.0,
2020-12-27,0.0,0.0,
2020-12-28,0.0,0.0,
2020-12-29,1508.0,0.007166052792234888,
2020-12-30,4130.0,0.019625860763879368,
2020-12-31,7214.0,0.034281104007415436,
2021-01-01,7923.0,0.037650289305621365,
2021-01-02,10894.0,0.05176855379217962,
2021-01-03,13253.0,0.06297857934714123,
2021-01-04,19103.0,0.09077792207563865,
2021-01-05,61923.0,0.29425960679944363,
2021-01-06,137788.0,0.6547719377562736,
2021-01-07,211064.0,1.0029812775465945,
2021-01-08,264279.0,1.2558602558879604,
2021-01-09,323710.0,1.5382778178875038,
2021-01-10,363131.0,1.725607371682392,
2021-01-11,375372.0,1.7837769023387229,
2021-01-12,383619.0,1.8229668475493073,
2021-01-13,388238.0,1.8449164482438254,
2021-01-14,390715.0,1.856687212677755,
2021-01-15,392034.0,1.8629551328587612,
2021-01-16,392793.0,1.866561919376869,
2021-01-17,393205.0,1.868519753428859,
2021-01-18,393803.0,1.871361464018883,
2021-01-19,394639.0,1.8753341564156392,
2021-01-20,395697.0,1.880361798228759,
2021-01-21,396704.0,1.885147086797579,
2021-01-22,397048.0,1.8867817831905027,
2021-01-23,397329.0,1.88811710204635,
2021-01-24,397580.0,1.8893098601702563,
2021-01-25,397798.0,1.8903458014890278,
2021-01-26,398001.0,1.8913104624418289,
2021-01-27,398285.0,1.8926600373708702,
2021-01-28,398873.0,1.895454227716914,
2021-01-29,400110.0,1.9013324818972819,
2021-01-30,401313.0,1.9070491672481162,
2021-01-31,402657.0,1.9134358880390736,
2021-02-01,403303.0,1.9165056958002036,
2021-02-02,403966.0,1.9196562879761,
2021-02-03,405204.0,1.9255392941808658,
2021-02-04,406545.0,1.931911758898629,
2021-02-05,407431.0,1.9361220525152867,
2021-02-06,407685.0,1.9373290667123875,
2021-02-07,407859.0,1.9381559189576454,
2021-02-08,408262.0,1.940070984790053,
2021-02-09,409441.0,1.9456736215553347,
2021-02-10,412083.0,1.95822847001494,
2021-02-11,414648.0,1.9704174125958964,
2021-02-12,417085.0,1.9819980960539048,
2021-02-13,418422.0,1.988351552674076,
2021-02-14,418836.0,1.990318890774862,
2021-02-15,419688.0,1.9943676155619865,
2021-02-16,421653.0,2.003705343504123,
2021-02-17,424393.0,2.0167258903547354,
2021-02-18,427109.0,2.029632388619795,
2021-02-19,429457.0,2.040790141906378,
2021-02-20,430848.0,2.0474002078440434,
2021-02-21,432014.0,2.0529410682921507,
2021-02-22,434567.0,2.0650729865803306,
2021-02-23,440209.0,2.091883908234037,
2021-02-24,448891.0,2.133140984057766,
2021-02-25,458994.0,2.181150686551101,
2021-02-26,468735.0,2.2274401562123476,
2021-02-27,478009.0,2.2715104304797125,
2021-02-28,483477.0,2.297494499888161,
2021-03-01,490068.0,2.3288150926956015,
2021-03-02,510529.0,2.4260462639037703,
2021-03-03,545693.0,2.5931464498362287,
2021-03-04,580793.0,2.7599425062072127,
2021-03-05,608361.0,2.8909463148122074,
2021-03-06,624205.0,2.966237389374654,
2021-03-07,629046.0,2.9892419394855354,
2021-03-08,641562.0,3.048718276851326,
2021-03-09,674371.0,3.2046274453264147,
2021-03-10,726991.0,3.4546789691509505,
2021-03-11,765646.0,3.638368472256945,
2021-03-12,817553.0,3.8850318026856825,
2021-03-13,846115.0,4.020759123542322,
2021-03-14,853001.0,4.053481563547183,
2021-03-15,868887.0,4.128972223134347,
2021-03-16,912258.0,4.335072273301469,
2021-03-17,977736.0,4.646225326835922,
2021-03-18,1053418.0,5.005868037327912,
2021-03-19,1125985.0,5.350708191820027,
2021-03-20,1178473.0,5.600132448424022,
2021-03-21,1194977.0,5.678559859089171,
2021-03-22,1231352.0,5.851414746567649,
2021-03-23,1329566.0,6.318130070796135,
2021-03-24,1497687.0,7.117045164617966,
2021-03-25,1677862.0,7.973241160533696,
2021-03-26,1857225.0,8.825578512638224,
2021-03-27,2049286.0,9.738257070548983,
2021-03-28,2118267.0,10.066056465549748,
2021-03-29,2207528.0,10.490226915342637,
2021-03-30,2395080.0,11.381478595242662,
2021-03-31,2683138.0,12.750337239291468,
2021-04-01,3036544.0,14.429731173702981,
2021-04-02,3219368.0,15.298515282249102,
2021-04-03,3343816.0,15.889895214535606,
2021-04-04,3367050.0,16.00030374939952,
2021-04-05,3394139.0,16.12903133831786,
2021-04-06,3505620.0,16.65879177023506,
2021-04-07,3822400.0,18.164138059044188,
2021-04-08,4161688.0,19.77644291300426,
2021-04-09,4504859.0,21.4071998777019,
2021-04-10,4893870.0,23.255789640805403,
2021-04-11,5020490.0,23.857490970084438,
2021-04-12,5145799.0,24.452962395377646,
2021-04-13,5327746.0,25.317578978526694,
2021-04-14,5563817.0,26.43939413019492,
2021-04-15,5870791.0,27.898142067756933,
2021-04-16,6257355.0,29.73510362715845,
2021-04-17,6677024.0,31.729380954256868,
2021-04-18,6840838.0,32.50782907899637,
2021-04-19,7006501.0,33.29506369684784,
2021-04-20,7232126.0,34.3672392016542,
2021-04-21,7518642.0,35.72877022408124,
2021-04-22,7814075.0,37.132675048065536,
2021-04-23,8149698.0,38.72756373260682,
2021-04-24,8578099.0,40.76333573674887,
2021-04-25,8769593.0,41.673319896825944,
2021-04-26,8968815.0,42.62002770145102,
2021-04-27,9228084.0,43.852080315104836,
2021-04-28,9556952.0,45.4148690748374,
2021-04-29,9890820.0,47.00141795656013,
2021-04-30,10183805.0,48.39368982481805,
2021-05-01,10456859.0,49.69124909479875,
2021-05-02,10563345.0,50.19727316484778,
2021-05-03,10638820.0,50.55593220628937,
2021-05-04,10800289.0,51.32323683381548,
2021-05-05,11071685.0,52.61291724734425,
2021-05-06,11398054.0,54.16383069810612,
2021-05-07,11706374.0,55.62897486050788,
2021-05-08,11998191.0,57.0156963642689,
2021-05-09,12107377.0,57.53455090019261,
2021-05-10,12235142.0,58.14169329740739,
2021-05-11,12449853.0,59.16200520793362,
2021-05-12,12731553.0,60.50065048085973,
2021-05-13,12989184.0,61.724919278549564,
2021-05-14,13220027.0,62.821890846664864,
2021-05-15,13455054.0,63.93874488486154,
2021-05-16,13559113.0,64.43323579169653,
2021-05-17,13703508.0,65.11940435465061,
2021-05-18,13893933.0,66.02430860064618,
2021-05-19,14109866.0,67.05042748498681,
2021-05-20,14367069.0,68.27266241623428,
2021-05-21,14621143.0,69.48002826314031,
2021-05-22,14983471.0,71.20181975923107,
2021-05-23,15140766.0,71.9492894369198,
2021-05-24,15330374.0,72.85031127898219,
2021-05-25,15563340.0,73.95737139489451,
2021-05-26,15825304.0,75.20223071430102,
2021-05-27,16071428.0,76.37181796724268,
2021-05-28,16325724.0,77.58023876356506,
2021-05-29,16590709.0,78.83945394867804,
2021-05-30,16717764.0,79.44322240857022,
2021-05-31,16829221.0,79.97286879190186,
2021-06-01,17015044.0,80.85590422161769,80.85590422161769
2021-06-02,,,81.84140891114957
2021-06-03,,,82.82691360068146
2021-06-04,,,83.81241829021334
2021-06-05,,,84.79792297974522
2021-06-06,,,85.7834276692771
2021-06-07,,,86.768932358809
2021-06-08,,,87.75443704834088
2021-06-09,,,88.73994173787275
2021-06-10,,,89.72544642740465
2021-06-11,,,90.71095111693653
2021-06-12,,,91.6964558064684
2021-06-13,,,92.6819604960003
2021-06-14,,,93.66746518553218
2021-06-15,,,94.65296987506406
2021-06-16,,,95.63847456459594
2021-06-17,,,96.62397925412783
2021-06-18,,,97.60948394365971
2021-06-19,,,98.59498863319159
2021-06-20,,,99.58049332272347
2021-06-21,,,100.56599801225536
