,Both Doses,First Dose,Unvaccinated
16,204661.0,535952.0,617759.0
18,2866624.0,644922.0,1801975.0
25,2475598.0,410305.0,1609702.0
30,2833000.0,355461.0,1598526.0
35,2952633.0,268641.0,1314049.0
40,2978364.0,191744.0,972986.0
45,3146159.0,146948.0,719991.0
50,3545726.0,117343.0,571044.0
55,3521136.0,105963.0,454069.0
60,3050172.0,77895.0,323305.0
65,2630517.0,39845.0,217266.0
70,2678951.0,29470.0,155022.0
75,1953648.0,20261.0,91591.0
80,1339770.0,19751.0,61621.0
85,799987.0,13971.0,36907.0
90,429438.0,9085.0,27836.0
