,First Dose,Second Dose
16-17,51.094740514712846,12.557804664585106
18-24,65.41221413062203,48.60147617542219
25-29,63.51358708749181,51.604580320277904
30-34,66.04728294290189,57.01761472974687
35-39,70.61731121030093,63.579775729948565
40-44,76.2522127293736,71.06107592168665
45-49,81.88421555067988,77.82876226890517
50-59,87.58479439299558,84.72260919150287
60-69,91.44037847445468,89.48904308125049
70-79,94.98703696047124,93.92038310281174
80-89,95.65235695772868,93.96439895275559
90+,94.03560301870135,91.9044304281021
